mM1	mM2	mM3	mM4	mM5	mM6
18.2452	15.8265	16.1298	12.9928	13.004000000000001	20.7343
65.4464	128.86700000000002	105.085	113.964	105.429	108.838
147.703	185.826	163.002	172.93200000000002	152.16299999999998	199.392
114.338	131.22799999999998	126.791	111.305	126.13799999999999	139.702
104.462	170.729	203.285	164.18099999999998	282.747	175.935
12.3502	19.7585	23.2015	21.88	24.9403	25.5641
34.5071	28.9778	30.3831	29.6405	47.3008	32.8998
0.0	0.0	0.0	0.0	0.6724939999999999	0.0
182.921	246.49200000000002	201.393	212.868	210.048	239.43
2406.7	2337.04	2453.66	2544.96	1760.89	2413.48
18.2334	20.2927	11.418	16.1514	10.228	18.8709
133.468	163.10399999999998	159.51	131.363	364.066	195.013
15.4846	13.1209	22.9192	18.9121	15.7929	20.1539
31.8202	34.016	28.6656	31.1537	34.5717	31.7772
31.0431	27.1457	30.8563	27.0618	21.228	31.6184
17.7711	26.2441	35.9535	15.7419	23.3114	18.3925
132.57	137.756	123.113	116.899	157.431	147.783
21.1165	26.0262	21.4196	14.1191	24.9044	29.8621
69.1711	75.4121	58.9327	52.5193	69.6842	63.3104
2.0811599999999997	6.1765300000000005	0.579217	1.63868	1.24525	1.43594
56.6704	103.436	80.4384	87.0121	93.5874	84.4585
0.0	1.5484200000000001	0.0	0.0	2.49741	0.0
1.94953	0.0	3.2555099999999997	2.3025599999999997	3.49948	1.34513
0.737816	0.8211440000000001	2.46414	1.7428400000000002	0.662203	1.01815
50.0308	42.5342	45.2541	24.621	23.6991	37.3966
92.9583	91.8758	95.5708	85.2111	84.0543	96.2083
10.5025	28.3867	21.9226	11.0753	37.0314	26.3978
110.41	232.18099999999998	166.037	161.743	157.128	186.873
75.21300000000001	243.68099999999998	78.8473	91.3002	171.763	225.455
140.061	194.85	225.11599999999999	217.11900000000003	190.13299999999998	206.968
81.592	42.3077	63.48	49.2784	34.9508	44.7812
24.3263	19.6146	17.8241	13.193	17.8231	16.0994
13.5816	16.7235	10.3748	8.70306	8.81808	13.1592
1023.94	1298.43	1300.53	1502.53	1203.06	1274.54
0.0	1.1423	0.571313	0.0	0.0	0.472116
25.2393	32.7713	28.0979	67.8997	37.7545	23.2193
29.8814	51.7924	39.6735	30.6639	46.6037	52.3885
300.79	294.64099999999996	282.212	288.418	258.832	275.468
5.407109999999999	7.02075	2.25732	5.85405	5.66181	5.59616
87.1088	162.083	142.053	128.60299999999998	293.181	198.15200000000002
160.563	137.252	159.097	172.502	147.58	142.151
4.63248	10.8269	11.6036	8.75414	14.1363	14.0637
19.1544	81.1256	81.7414	64.0982	43.9336	50.6615
43.9249	54.9024	51.9091	47.0901	57.0123	48.0251
57.9292	57.0732	66.6047	42.0609	95.4616	63.5583
3.40176	0.9464879999999999	0.0	9.03995	1.52657	0.0
6.95987	2.58197	2.58272	5.93679	4.85847	4.26856
39.3425	56.6478	73.0886	38.335	42.8141	58.0231
4.85872	11.8664	5.1836400000000005	4.94152	15.0205	8.93971
8.52755	2.3726599999999998	14.2401	10.0717	7.65362	2.9419
2.6248400000000003	1.46064	4.69629	4.87167	3.3654900000000003	3.1047
85.9444	77.1238	71.7589	65.3853	78.5265	72.12100000000001
35.8157	59.518	52.8443	56.4982	64.7308	66.6883
1102.31	2625.97	1527.47	987.602	2042.64	2274.67
3.83348	18.1323	24.0056	7.9234	18.9234	21.1601
181.635	222.562	227.856	213.46900000000002	168.642	229.03900000000002
47.8193	66.5249	102.66799999999999	104.889	85.8374	124.906
12.468	26.0176	19.9526	17.4867	33.1044	25.0908
2.57402	0.0	2.1491700000000002	0.0	0.0	0.0
17.823	26.4478	4.9604099999999995	3.5084	31.9929	24.5948
61.65	77.76100000000001	68.6325	55.8238	110.664	56.7159
0.0	5.03049	1.25799	2.66925	5.40905	3.11869
0.0	0.287892	0.431963	0.0	0.0	0.35696100000000003
65.619	93.1761	100.13	82.8463	67.0176	76.4999
0.829067	0.0	0.0	0.0	0.0	0.0
20.2512	24.7922	12.9633	24.316999999999997	44.8337	35.8636
56.5431	62.928999999999995	51.6642	52.9216	65.1112	65.5129
272.647	228.451	316.61	168.412	132.197	201.093
0.0	0.0	0.0	0.747372	630.9780000000001	0.8732129999999999
113.42	149.309	127.209	134.459	98.7581	123.81
1.6581299999999999	3.6908	0.0	0.979196	0.744102	1.1440700000000001
43.8742	41.8537	31.3994	24.6757	103.133	44.6874
5.7207	4.7750900000000005	2.38824	1.68915	3.85083	0.986785
277.55	241.34599999999998	276.05	238.472	326.849	220.543
44.4741	56.4035	35.4063	49.4736	58.482	51.3812
13.8372	27.0925	26.101999999999997	23.909000000000002	30.3579	27.2276
17.445	45.7645	38.8417	26.0003	39.5158	35.5367
286.866	373.47900000000004	405.824	428.309	381.829	399.595
22.0034	43.5751	23.7751	19.8731	28.4611	33.0428
0.565426	0.31464200000000003	0.0	0.0	1.01496	0.39013000000000003
2.3877099999999998	0.0	0.0	5.6401699999999995	8.57206	4.94238
113.727	101.68299999999999	99.2233	100.363	77.9874	96.9836
90.6943	75.5072	117.99	101.72	159.644	93.1375
150.674	165.77599999999998	157.399	159.268	216.125	190.832
4.09122	15.4811	9.56465	11.1137	19.8285	11.8559
1.53059	4.25862	2.55591	0.9038729999999999	5.49491	5.28032
186.524	256.943	167.952	192.762	298.709	230.266
27.3253	35.48	26.9346	20.395	27.5906	36.922
27.7733	23.3913	36.3506	20.834	26.9481	30.557
180.68200000000002	266.66	294.223	273.70799999999997	193.389	281.853
303.184	360.13599999999997	486.81199999999995	426.94699999999995	272.113	466.653
41.9598	62.7513	45.9823	43.3632	65.9044	45.2363
43.8515	11.7803	10.1003	11.6086	6.78578	16.6932
7.5515	2.10109	6.30509	6.6892	33.888000000000005	5.21034
0.0	0.0	0.0	0.0	0.0	0.0
5.99068	5.00044	3.7514199999999995	6.19104	9.409289999999999	9.300189999999999
67.5368	104.191	100.859	94.0337	93.6337	95.0916
17.8061	13.872	13.0831	17.6656	12.785	17.6915
0.0	4.34167	2.60576	3.3788300000000002	3.26788	2.87109
199.111	198.965	243.795	222.261	131.85	230.365
0.0	0.5921569999999999	0.0	0.628414	0.0	0.0
1990.28	2540.9	2589.07	2419.68	2678.24	2833.74
135.891	213.707	201.43599999999998	182.597	134.338	228.96900000000002
4.04893	11.7161	7.4374	4.30391	5.81438	6.14605
62.17	56.4827	52.9679	66.6844	51.2436	61.2796
40.155	41.986999999999995	45.1537	54.1196	25.5767	36.6434
65.1597	88.0585	93.2654	76.959	29.241	67.4379
132.855	212.64700000000002	154.46200000000002	174.628	158.986	194.668
57.397	278.514	124.601	67.7905	239.02900000000002	220.19
3.71973	12.4195	6.21155	4.3933	10.0156	0.0
142.582	221.237	193.808	172.71099999999998	263.36400000000003	199.44099999999997
3.57971	5.43272	4.89087	5.573180000000001	2.04454	4.71528
14.1952	18.229	8.66126	14.8312	15.6806	17.3285
4.37539	2.43477	7.306430000000001	11.6273	5.89049	4.52836
323.171	316.818	308.829	287.759	214.14	290.91900000000004
0.0	0.0	0.0	0.0	1.5391	0.0
2.2173599999999998	11.9276	0.6171260000000001	0.43648100000000006	13.2675	12.2394
0.0	0.0	1.4337600000000001	0.0	0.0	0.0
0.0	0.26452800000000004	0.0	0.0	1.27996	0.983979
0.0	0.0	0.926235	0.0	0.497824	0.765413
21.8108	58.1301	53.6741	57.6219	54.6057	63.3639
30.881999999999998	53.0069	50.4801	42.1251	99.1572	62.1228
8.86065	4.930680000000001	12.0707	9.08816	7.95259	5.79186
33.1627	46.135	49.8403	19.5839	98.2215	64.0679
0.0	0.0	0.0	0.0	0.0	0.0
108.755	211.817	148.155	91.2664	123.29700000000001	156.001
68.0767	118.87299999999999	113.681	89.1838	132.032	109.059
19.8433	28.5574	18.8533	24.2447	17.1956	31.6318
2.88267	4.12487	1.3753600000000001	4.37743	8.50095	4.26208
4.60018	5.75968	6.72158	2.71659	10.3219	8.72852
60.0429	89.3261	74.6873	59.3375	120.977	104.838
23.8934	37.5135	27.0746	28.724	33.6989	37.6819
21.337	44.5252	13.3614	18.9006	23.9379	44.166000000000004
2526.05	3276.45	2700.57	2350.51	4147.46	2954.86
21.5948	28.7231	26.8258	20.8396	18.4362	32.3435
0.0	0.0	174.44099999999997	0.0	0.0	432.459
19.6745	30.4988	14.0804	14.1083	23.9648	20.3624
80.6207	61.0589	61.2386	52.0786	61.6484	62.8556
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	2.81271	0.0
0.712649	1.58627	0.0	2.1042400000000003	3.19807	0.983419
1.06053	0.590154	0.0	1.8788599999999998	1.90369	0.73174
12.3416	9.810989999999999	0.0	1.0411700000000002	4.74718	12.1648
133.967	260.92	147.809	90.4149	188.945	156.808
0.0	0.996516	0.0	0.35251	1.07151	0.411865
216.342	282.395	275.596	248.217	451.032	401.325
82.8413	77.7914	66.2859	66.5871	57.8289	70.2572
9.491060000000001	13.61	7.924510000000001	6.68271	10.1565	15.8677
19.2722	21.6871	25.3884	20.2329	23.0629	22.4577
57.2535	55.3354	38.9976	59.6132	87.8971	72.7695
77.8015	110.461	162.704	106.919	150.751	163.55200000000002
0.0	0.0	0.0	0.0	0.0	0.0
12.5704	22.151	20.4081	18.1459	15.0429	19.7558
178.145	130.963	233.34599999999998	278.92900000000003	284.57099999999997	184.937
4.81671	6.0307900000000005	7.037960000000001	11.3779	14.05	9.97023
3.46045	0.0	0.0	0.0	0.776455	0.0
0.918351	10.7317	0.0	0.542324	0.0	0.6336390000000001
89.5985	129.725	134.381	141.58700000000002	86.37299999999999	134.517
0.705033	0.26155300000000004	0.196221	1.11027	1.4764899999999999	0.486455
28.1855	33.3292	56.48	33.7055	80.9503	38.8945
23.5883	33.9405	28.1356	29.8497	30.849	37.4332
8.805810000000001	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
907.579	4430.64	1517.54	2549.67	11448.6	6024.99
130.748	156.428	171.93900000000002	152.494	149.62	160.128
4.877619999999999	1.62855	0.8145100000000001	8.64131	12.2577	7.4039600000000005
0.0	0.0	0.0	0.0	0.0	0.0
71.5112	54.4238	61.4641	50.9247	51.9124	70.3834
992.673	868.5319999999999	1009.33	967.2360000000001	770.6110000000001	852.5830000000001
47.6894	38.5428	51.1946	44.2554	69.2986	50.9236
93.2211	127.551	107.137	90.67200000000001	94.4951	122.587
56.5923	60.2747	24.3879	29.8265	53.5234	28.1308
230.416	241.14700000000002	308.875	298.356	247.59400000000002	266.914
844.797	944.798	939.066	914.564	727.459	972.211
145.644	185.503	252.547	220.446	215.31400000000002	233.68200000000002
121.87299999999999	165.50900000000001	213.206	174.78599999999997	132.822	192.204
467.855	528.698	522.751	516.572	245.92	558.179
13.9283	24.8838	23.2588	17.7492	47.3719	35.9118
112.729	258.449	278.603	266.285	206.4	276.89799999999997
9.62154	10.7082	10.3287	10.5521	9.86915	15.174000000000001
8.73554	22.6849	25.5279	17.1956	24.8276	18.0819
255.699	369.603	389.23800000000006	344.355	319.053	371.14
5.58996	5.83245	7.00097	6.18956	6.27136	10.6066
49.5118	46.3371	66.7072	93.0324	56.5571	54.3485
65.6128	61.493	128.308	87.6906	89.8826	92.925
136.168	212.558	171.06599999999997	143.519	177.537	204.115
218.252	183.733	193.44299999999998	122.277	164.74400000000003	211.59599999999998
0.0	0.0	0.0	0.0	0.0	0.0
20.7198	24.0207	34.5999	27.5308	35.6431	33.3577
422.221	620.217	621.856	598.567	347.175	572.691
82.7569	127.49	130.922	144.556	129.787	138.243
29.0663	52.3465	39.2713	60.2329	51.7007	52.5076
0.0	0.0	0.0	0.0	0.0	0.0
64.4913	98.6904	79.9287	57.7222	104.007	94.5569
4.07658	0.0	0.0	0.0	3.65881	0.0
124.054	153.512	154.281	153.17700000000002	157.278	148.44299999999998
38.9416	52.6267	58.8351	58.0391	48.2654	49.8991
64.8289	87.1553	78.5583	81.6501	118.945	89.0647
95.79700000000001	129.39700000000002	151.083	130.55100000000002	142.564	133.325
367.126	643.0830000000001	573.967	393.38699999999994	607.43	735.694
10.2532	12.4678	10.1462	14.1282	12.2699	12.0528
17.3202	49.3955	39.7689	28.1278	79.6691	58.2587
0.0	0.0	0.0	0.0	0.0	0.0
2.05725	3.0527900000000003	5.15307	4.85955	3.0773599999999997	2.36575
10.8626	8.46262	12.6976	2.56593	13.6492	16.4889
0.0	2.69329	1.34703	0.0	1.4479799999999998	0.0
81.2356	136.784	137.993	129.444	114.39399999999999	126.11399999999999
11.2258	17.3523	14.5801	9.207360000000001	22.3897	18.9335
0.0	0.856166	0.321155	0.0	0.345223	0.0
65.6691	129.118	92.6019	81.0076	205.632	142.97799999999998
39.1091	21.763	32.654	21.88	18.4743	39.7663
0.0	0.0	0.0	1.13019	0.0	0.0
14.5024	14.1227	10.5951	12.3111	18.7107	18.1364
6.165	14.2943	6.00534	4.85424	14.7552	9.92528
82.6215	133.666	118.781	117.939	116.38799999999999	115.524
0.663605	0.36927600000000005	0.0	0.783771	0.595597	1.37361
31.1441	32.4951	25.3535	33.5651	40.5309	30.6213
27.344	29.4811	37.0999	25.2308	40.6472	27.7104
57.1962	71.6128	115.41	64.7386	42.7788	32.8866
1.5758	1.3153299999999999	1.31571	3.7223	0.707154	1.0872600000000001
134.019	163.467	156.356	134.571	196.424	179.646
18.0367	16.7281	17.5696	24.8533	32.3765	16.5931
122.736	112.165	104.76899999999999	112.993	45.675	79.3486
0.0	0.0	0.0	0.0	0.0	0.0
36.0446	28.9722	36.7831	40.9948	49.125	51.5819
83.0729	103.71600000000001	123.60600000000001	102.204	87.9419	124.557
29.8464	23.5289	35.3035	66.0957	62.5046	37.7543
15.4499	16.9994	13.4862	12.0268	12.2908	11.6291
