mV1	mV2	mV3	mV4	mV5	mV6
13.9058	11.033	9.957289999999999	10.9384	7.5046800000000005	9.5166
34.1468	37.2673	19.4417	37.1398	29.3408	28.8673
42.4448	43.3753	15.0136	41.3338	47.2337	30.3986
1483.7	1246.47	1217.55	1364.67	1359.84	1163.28
1.97965	1.93314	4.10597	7.53609	3.98861	1.3548
22.1918	2.7088	7.67128	15.0856	6.986269999999999	5.695209999999999
1.57475	0.0	0.0	2.85463	2.11521	2.1554
10.876	12.5515	17.7728	10.7539	10.9565	4.05989
83.9024	104.101	94.8583	88.0357	76.0711	89.1693
222.558	223.062	194.088	210.138	220.442	232.301
531.628	667.462	642.683	468.245	611.635	649.244
41.6189	27.8681	31.24	117.04700000000001	35.3384	34.9926
61.4485	66.0862	59.1319	69.9956	66.9225	65.3526
120.054	94.0446	94.8583	77.4854	86.38799999999999	92.0922
207.329	146.584	148.467	144.828	151.578	133.428
12.9519	10.2385	6.5381800000000005	14.0872	10.5625	8.72312
679.913	605.016	685.7660000000001	720.299	588.5790000000001	690.909
191.31599999999997	127.875	142.702	136.076	168.21099999999998	145.921
127.69	77.931	66.2099	67.2709	74.3671	95.5785
43.9121	42.8803	43.8521	45.8657	43.5349	32.4368
63.9782	59.782	58.7218	65.9866	52.2281	47.5587
4.48802	8.13905	7.978739999999999	6.27608	7.7507	6.14286
50.3532	45.3878	48.2016	56.8731	43.8975	35.7852
379.855	434.095	394.87699999999995	408.659	370.18800000000005	415.36800000000005
15.8197	19.3099	16.4057	16.4893	21.913	20.7505
49.9669	75.4072	73.2777	73.2855	60.2516	56.9924
74.039	59.6235	78.4435	66.4099	71.1967	69.0947
83.7783	80.4903	97.1579	108.023	79.634	86.9268
85.9161	83.8974	88.6803	119.77	112.152	76.1886
486.355	561.961	512.738	415.288	580.297	472.907
35.3375	22.8909	35.7998	28.1601	39.1237	34.0007
33.0309	35.6303	35.051	37.8059	33.2754	37.5875
9.10034	0.0	4.19442	9.89799	3.0559	0.0
45.0852	76.5894	85.9485	52.5189	93.2566	48.1989
104.662	109.196	93.6865	128.814	150.387	113.84899999999999
99.4804	101.915	113.42200000000001	111.617	114.28200000000001	92.2074
155.191	80.824	48.6397	144.03799999999998	97.9732	50.9794
49.0917	50.6015	49.0246	54.8778	49.4551	61.5936
313.829	296.509	268.461	315.026	318.075	331.96
24.3006	30.8486	47.0415	58.1473	51.4091	29.9348
67.2663	92.0324	90.9665	73.1623	79.3065	75.8811
3.66256	5.3647599999999995	2.53215	1.9917900000000002	1.84484	10.0261
54.9471	53.656000000000006	64.2879	32.1802	21.2899	17.3555
40.9366	25.6981	8.08628	38.1641	20.6198	20.011
290.48900000000003	233.421	265.307	229.676	278.601	236.21200000000002
1.1042100000000001	1.43769	1.01788	2.40199	0.741589	0.0
86.9296	73.8832	60.0998	85.7945	87.5731	79.3217
0.589837	0.0	0.0	0.0	0.0	0.0
9.6051	12.6622	11.9531	15.1481	7.74096	5.2586900000000005
78.1777	80.7879	99.7022	64.3917	85.6381	64.41
3.34438	8.708789999999999	10.7901	9.70003	6.73826	4.57753
0.0	0.879231	0.0	0.0	0.0	0.0
255.326	314.598	288.098	227.928	302.107	285.181
1.76951	0.575978	4.0779	23.0953	2.9710099999999997	2.42197
234.84900000000002	195.94799999999998	209.637	271.601	199.153	203.446
3.56123	3.97435	3.5172800000000004	3.8733699999999995	3.58759	2.78534
142.346	138.578	129.61700000000002	142.55	141.214	141.966
66.9611	71.1361	75.2919	67.2279	76.3521	67.4795
32.4502	28.1273	29.745	31.7254	34.8942	25.9505
288.413	233.158	236.989	231.412	278.04400000000004	250.768
269.552	239.153	239.60299999999998	247.108	263.789	290.938
