mP1	mP2	mP3	mP4	mP5	mP6
101.822	95.7645	89.1487	101.53399999999999	89.8353	94.3106
178.13	148.54	123.314	142.71	147.259	136.25
14.4993	9.71192	12.3487	13.7126	10.8064	15.5285
589.46	746.0889999999999	808.4630000000001	630.493	608.306	696.732
110.124	104.32700000000001	135.237	96.1617	104.68	112.936
50.4436	66.6655	49.9333	51.1834	71.5043	29.6017
38.4918	42.9659	40.9945	45.15	45.7974	35.7252
50.6406	56.5576	117.329	58.011	49.4163	57.2812
5.97215	5.90981	4.81385	6.57915	11.489	8.64777
29.6366	33.4713	53.3164	49.6829	58.9969	41.7947
412.06699999999995	368.68800000000005	336.69699999999995	413.093	371.58	411.17800000000005
20.1739	22.7842	10.7229	27.9012	14.174000000000001	15.1141
54.4012	79.3792	76.7375	76.7165	70.5453	60.2474
67.8144	68.1353	86.6337	73.3854	71.7934	65.4951
90.8045	83.2953	60.0278	98.7956	83.1346	77.4598
103.056	100.387	95.3984	136.591	122.87700000000001	153.423
451.713	419.648	391.74	448.12300000000005	444.963	423.725
37.2461	37.4907	40.2797	37.6978	30.93	32.0901
26.0656	37.6155	23.7909	33.5007	38.5421	29.5287
4.036569999999999	3.49513	3.79595	0.0	3.6238599999999996	0.0
25.5597	57.7873	32.382	42.773999999999994	58.3221	43.1794
111.41799999999999	107.26299999999999	125.456	110.226	109.24	109.963
106.366	86.0664	83.4278	90.4414	94.2402	93.6901
68.8371	45.2988	618.855	34.5043	51.9112	80.9379
39.9213	43.9937	20.4772	45.4781	29.3233	40.4647
276.994	280.913	262.872	284.967	319.39599999999996	291.926
35.5702	27.9991	57.7771	59.2235	49.3516	36.0544
44.7553	71.9681	57.3499	61.6301	65.3466	61.3167
7.3105899999999995	4.21999	2.2916	2.34897	2.18771	0.0
11.2488	43.8299	52.8915	59.6372	45.4442	45.6078
38.9099	20.2145	29.2724	41.2572	27.9453	15.7758
256.749	249.482	252.175	233.74	247.145	267.473
0.48978599999999994	0.8481790000000001	0.9211799999999999	2.8327299999999997	1.31913	1.9858099999999999
68.5489	94.5956	94.6796	74.336	78.8484	86.8523
0.7848890000000001	0.0	0.0	0.0	0.0	0.0
7.668839999999999	12.1737	9.014619999999999	11.0884	9.75339	5.18214
85.8502	66.464	67.4355	71.0709	67.0985	58.3537
2.9668799999999997	8.99122	53.0105	4.28981	5.32707	10.5254
7.18881	0.518712	0.0	0.5774600000000001	0.537817	0.607221
281.263	292.798	256.961	230.18	281.281	275.344
0.0	0.0	0.0	2.26974	0.704639	0.0
225.483	226.065	226.922	257.389	197.102	266.644
1.3539700000000001	3.51706	5.72966	2.61027	1.8233	8.92057
150.149	144.01	167.80900000000003	161.99	163.83	160.97299999999998
61.6876	58.5002	54.3272	69.8451	69.4454	61.5347
25.7146	28.5669	33.7632	28.9963	26.57	27.5399
191.894	169.55900000000003	186.37099999999998	199.37599999999998	190.63099999999997	200.88299999999998
248.00900000000001	248.46200000000002	275.629	250.918	242.892	286.703
86.9999	85.4096	65.1054	84.4526	81.4049	73.2797
89.3945	93.626	97.6572	93.3941	123.505	81.9299
377.5	563.695	216.825	544.738	698.1	442.211
99.1985	70.1805	83.0466	83.9596	74.9374	84.60799999999999
15.3086	11.5263	23.1589	17.3228	24.4992	18.2156
197.358	242.511	205.19400000000002	230.422	230.976	206.646
35.6336	31.5246	21.854	39.5753	41.7264	29.8371
108.677	86.5717	87.2096	106.154	136.592	102.81200000000001
299.501	321.53700000000003	297.928	366.29699999999997	214.482	296.559
23.7135	24.8881	27.3681	24.2435	23.5469	25.8572
22.7402	22.1512	23.3894	18.495	19.1392	18.0076
911.579	794.825	725.357	787.553	826.0060000000001	740.9119999999999
0.0	0.0	46.7167	0.0	0.0	5.59491
129.10299999999998	122.53399999999999	119.072	167.524	109.21600000000001	118.277
2.86309	1.23953	5.38485	2.75983	0.0	4.35309
78.6402	102.13799999999999	87.3984	55.1301	109.109	79.7106
1.55334	2.01748	0.0	1.49732	0.0	1.5744799999999999
7.08932	14.7322	10.6668	15.034	10.1832	5.74865
53.5416	71.1151	91.4121	71.6534	75.601	77.4538
9.44008	7.589989999999999	10.1455	6.499709999999999	4.84279	7.518160000000001
0.984857	7.67478	6.01997	7.59468	2.6524799999999997	6.987830000000001
36.7807	40.8042	59.9889	33.2382	38.1795	30.2911
0.0	0.0	0.0	0.0	0.9044270000000001	0.0
2921.34	2798.77	2474.31	2724.41	2894.84	2591.79
250.775	257.497	288.427	269.587	246.058	247.574
10.7329	6.638039999999999	7.9303	8.12884	10.3238	11.6561
72.07	45.7621	38.4052	42.8402	44.2126	49.9181
34.3364	36.6325	35.7492	36.9397	36.8808	29.521
177.71900000000002	241.63099999999997	223.755	247.761	221.52200000000002	267.974
264.399	309.73400000000004	281.705	311.57099999999997	283.504	350.24800000000005
0.0	1.88199	61.3192	4.19029	0.0	2.20312
35.2152	27.4425	29.8044	44.1286	34.7761	35.6945
827.87	835.697	720.4680000000001	854.8530000000001	843.315	760.688
2.77279	2.66762	3.7663900000000003	4.7516099999999994	3.31905	3.43509
50.1372	64.4468	52.9813	64.2724	76.1011	69.1566
654.474	1027.57	708.949	824.5219999999999	775.3539999999999	875.413
260.536	350.801	311.314	319.108	332.60699999999997	333.131
32.4693	14.057	22.9003	59.4666	30.607	23.0379
