mK1	mK2	mK3	mK4	mK5	mK6
0.582679	1.01233	1.9663	0.48806400000000005	0.768658	0.0
93.5276	123.9	85.4795	87.4805	94.5912	104.132
506.145	303.069	567.411	615.795	382.69199999999995	390.98699999999997
169.295	297.472	241.829	191.76	220.793	278.45099999999996
1.9753900000000002	6.291980000000001	1.6665299999999998	2.20617	2.6059	5.86495
120.20299999999999	162.971	112.78200000000001	132.678	188.95	210.753
60.0	68.6677	69.0986	59.8302	79.1509	60.4406
21.7078	19.2672	18.3136	16.6018	18.6759	21.0165
84.9078	137.549	57.4347	74.965	137.236	142.22799999999998
381.772	297.87	396.083	391.585	276.139	296.319
121.56700000000001	204.477	126.691	169.71099999999998	217.755	272.026
0.0	0.0	0.0	0.0	0.0	0.0
2.19864	1.90993	0.0	0.0	8.701210000000001	2.44792
1266.07	756.3789999999999	1274.59	1406.43	740.4010000000001	898.693
105.524	343.048	186.24200000000002	213.11	167.387	139.832
143.17700000000002	194.269	134.153	115.68299999999999	223.142	169.285
101.71600000000001	118.46700000000001	122.68	124.959	100.38799999999999	100.665
15.5032	14.6918	14.2683	14.1664	14.8739	14.1226
247.528	424.19699999999995	247.18099999999998	324.401	366.517	367.45599999999996
25.8605	42.1971	30.0722	21.3686	29.9656	34.6288
12.4414	20.4145	13.4117	16.2108	14.5889	17.6998
336.88199999999995	293.543	391.441	296.029	293.091	324.453
16.1063	111.931	13.588	22.485	92.071	59.7748
282.535	421.64300000000003	299.47700000000003	345.884	589.3340000000001	258.107
20.8858	27.8195	21.1442	11.6629	18.3681	13.9523
0.0	6.04044	2.93316	2.91222	0.0	7.741910000000001
3.02169	9.84339	0.637309	0.632759	5.97924	0.0
1.3790799999999999	13.1778	5.81725	6.93087	7.277	10.748
82.4129	97.5043	81.8972	90.206	92.71	96.2602
10.4935	18.8009	12.1726	12.0857	20.7643	5.84163
1.43687	4.16064	3.23256	4.01185	2.52732	4.2660800000000005
53.6617	90.8026	64.1346	66.9542	53.8295	61.6129
7.83896	7.6608	6.6133	3.28304	5.1705	5.45483
6466.28	4911.32	7005.65	6608.97	4868.67	6093.23
388.994	433.223	416.909	467.098	360.04400000000004	419.973
230.41	174.892	208.22400000000002	237.342	193.782	141.135
162.395	133.966	146.86	164.405	104.802	126.17399999999999
16.9967	32.379	20.8799	17.7336	31.8625	24.5677
71.4286	89.3507	75.9281	95.7283	48.9982	57.2595
131.543	213.68400000000003	152.591	181.25099999999998	186.543	192.59099999999998
693.4169999999999	786.01	856.095	749.048	566.136	1113.33
479.526	482.01599999999996	624.1619999999999	436.089	433.77	465.25
277.369	312.569	252.525	211.312	336.344	274.892
0.299659	0.26031	0.505612	0.753003	0.790608	0.0
39.7163	62.8879	47.0787	58.1124	64.3306	55.9738
4.028919999999999	0.0	0.0	0.0	0.0	0.0
144.141	156.516	161.811	157.735	174.813	155.306
0.0	1.3717	0.0	0.0	0.0	0.0
845.9780000000001	475.343	918.113	868.802	492.00800000000004	480.41900000000004
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
86.6772	111.10700000000001	79.3672	96.5085	89.2432	120.042
121.35600000000001	170.482	143.94299999999998	127.147	174.356	191.748
37.3597	61.5505	47.0964	35.9693	52.1166	96.1
9.161	15.9161	10.3049	15.3469	8.05668	13.5996
0.0	0.0	0.0	0.0	0.0	0.0
42.1657	70.9683	51.1361	33.1115	66.0537	70.4196
146.267	185.896	160.47799999999998	162.35	172.042	170.071
160.668	145.59	174.882	150.412	172.053	152.928
4.171209999999999	7.905760000000001	0.9597319999999999	2.22339	7.00327	4.6441300000000005
18.0026	16.5586	2.6802099999999998	5.32214	12.5729	4.71617
302.394	194.074	280.815	291.096	196.479	231.153
539.034	95.5615	463.371	423.205	103.656	78.7367
58.9423	85.3373	62.158	69.9428	58.3166	65.6251
17.8437	25.4898	7.0250699999999995	9.29988	9.4156	31.7868
36.3746	31.1768	33.9605	28.8432	32.6295	25.9191
0.0	0.0	324.603	0.0	0.0	0.0
10.3523	14.6135	12.0088	9.75527	18.7778	12.9668
48.7764	81.0179	60.8206	53.4274	72.1229	72.5083
