mC1	mC2	mC3	mC4	mC5	mC6
37.0271	27.8281	40.0622	35.0597	42.1604	32.2852
109.931	132.465	123.244	109.104	98.9109	117.74799999999999
145.42	163.55200000000002	153.965	166.537	120.29	160.85399999999998
28.0461	37.7225	50.7691	19.9662	29.5123	33.2077
128.429	139.45600000000002	90.9321	142.079	116.459	137.486
260.836	217.605	191.1	199.59599999999998	220.56599999999997	224.472
50.926	40.5152	61.9401	60.9066	47.0594	53.7194
10.2929	3.78729	5.7900599999999995	3.8818900000000003	11.4757	5.38028
0.0	0.535224	0.490954	0.0	0.0	0.0
98.6005	102.40100000000001	106.609	125.564	112.073	105.49
0.0	0.0	0.0	0.0	0.0	0.0
52.1397	75.2347	53.8292	55.522	37.6143	51.9434
0.0	0.0	0.0	1.14466	0.0	0.6345970000000001
0.0	0.0	0.0	0.0	1.109	0.0
672.273	702.818	736.198	707.4	795.209	646.019
697.275	543.273	652.03	575.7080000000001	709.613	645.915
88.3369	109.036	95.9656	105.25200000000001	80.9233	95.9972
49.9844	69.8985	66.2425	52.8428	61.8716	77.6835
46.982	42.0012	41.3462	51.9754	51.2169	28.815
979.602	833.03	852.296	1034.46	764.52	1174.31
100.395	111.03	126.351	102.68	91.0634	92.50399999999999
89.7719	126.444	97.0888	85.1879	66.9943	122.30799999999999
0.0	13.2736	19.6163	4.53503	0.0	16.9709
7.080419999999999	3.58572	4.3169900000000005	1.72279	2.80112	2.10124
66.2864	91.2255	75.9318	87.0108	80.6222	75.5978
105.46700000000001	110.447	104.505	83.2015	98.5286	124.353
218.102	195.04	147.847	181.17	284.718	133.92
83.7631	76.6165	76.6683	57.8268	50.6515	53.4317
343.906	371.091	329.094	314.052	398.504	370.033
182.5	197.57	192.96099999999998	211.05	164.282	207.72799999999998
17.4919	14.4326	22.184	12.5941	13.2968	20.2815
0.798439	3.91715	0.0	0.0	0.0	2.00331
57.3908	84.4681	90.3951	43.288999999999994	63.9858	35.9989
284.865	305.036	279.806	294.341	355.306	253.476
115.48200000000001	108.275	101.62899999999999	69.6847	117.307	87.9974
107.758	124.635	95.9036	127.14200000000001	88.5958	103.214
358.522	497.702	413.125	481.434	389.86300000000006	524.399
24.5961	5.0278599999999996	18.448	13.9143	21.7095	8.57118
0.0	0.620259	0.568956	0.0	0.0	0.5286890000000001
281.655	277.935	254.53400000000002	272.086	206.452	277.154
774.62	794.722	705.7230000000001	707.1189999999999	889.572	741.5319999999999
155.78799999999998	141.87	162.517	161.798	161.58100000000002	155.273
115.573	93.2807	122.476	106.859	93.5226	127.059
105.21700000000001	85.77	92.9673	90.9772	90.3052	94.3021
666.488	589.8009999999999	686.375	583.5369999999999	725.51	648.999
683.908	767.408	587.137	592.578	731.216	530.918
538.393	575.569	550.004	555.346	632.3330000000001	540.989
155.434	121.339	123.294	129.352	148.539	121.711
