Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male4
ENSOANG00000004387	37.92	56.88	42.28	35.12	89.8
Locus_160358	0.63	0.42	0.92	0.35	0.47
ENSOANG00000008346	30.1	22.22	27.07	22.92	24.85
CUFF.117591	0	0	0	0	1.73
ENSOANG00000005610	1.77	4.57	1.97	2.19	11.35
Locus_63483	0.68	0.03	0	0	0.16
ENSOANG00000011733	3.94	3.71	5.26	7.3	4.33
ENSOANG00000005882	0	0	0	0	0
ENSOANG00000003792	15.69	14.08	5.24	1.45	16.32
ENSOANG00000009837	1.61	0.27	0.09	0.19	1.08
ENSOANG00000014458	7.87	18.5	7.21	5.93	8.12
ENSOANG00000002221	27.57	13.11	7.67	8.63	18.58
ENSOANG00000005230	646.42	86.83	47.16	49.13	40.99
ENSOANG00000022757	0	0	0.18	0	0
ENSOANG00000009083	20.43	26.22	20.23	19.21	16.91
Locus_124105	0	0	0	0	0.72
ENSOANG00000003815	3.07	24.86	8.55	3.45	10.03
ENSOANG00000001858	3.37	19.41	14.6	31.21	32.43
ENSOANG00000021903	1.54	52.15	11.56	18.39	69.77
ENSOANG00000012083	63.74	68.8	116.47	152.91	21.79
ENSOANG00000022039	0.88	0.42	0.06	0.23	0.88
ENSOANG00000013074	0	0.25	0.17	0	0
Locus_183242	3.48	5.05	0.29	1.17	2.72
ENSOANG00000008253	0.06	0.11	0.15	0.31	0.09
ENSOANG00000020826	21.6	13.03	3.22	2.05	24.56
ENSOANG00000012463	1.84	0.24	0.45	0.07	0.19
ENSOANG00000003845	0	0	0	0	0
ENSOANG00000011616	140.02	80.8	30.53	22.11	176.58
ENSOANG00000009419	0.65	2.27	2.69	0.63	5.52
Locus_38841	0	1.62	0.93	1.32	0.22
ENSOANG00000001352	27.67	51.76	18.12	25.64	26.94
Locus_87431	0	0	0.21	0.57	2.71
Locus_141489	2.01	0	0	0	0
ENSOANG00000013854	17.73	5.45	11.41	20.54	42.79
ENSOANG00000002508	19.2	14.43	7.63	4.19	15.38
ENSOANG00000013878	9.76	20.06	21.34	20.79	15.72
Locus_48150	0	0.13	0.35	0.17	3.15
ENSOANG00000000420	59.61	84.47	26.68	38.97	127.18
ENSOANG00000009077	19.08	32.29	49.35	83.64	25.13
Locus_108925	0	0	0	0.09	1.75
Locus_41875	0	0.71	1.14	5.08	0.1
Locus_181647	0	0.17	0	0	0.76
Locus_141237	0.29	2.33	0.54	0.54	0.16
ENSOANG00000014010	20.29	71.05	22.7	32.7	21.19
ENSOANG00000011537	2.44	0.16	2.03	4.21	0.13
CUFF.140321	0.08	0	0.08	0	6.92
ENSOANG00000001709	0	0	0	0	0.04
Locus_188990	0	0.17	0	0.08	3.08
ENSOANG00000005441	4.83	14.03	8.53	5.02	5.8
Locus_18516	0	0	0	0	0.83
Locus_96534	0	0.08	0.07	0.05	331.12
Locus_52219	0.71	1.42	2.4	1.21	0.06
ENSOANG00000005348	20.24	30.89	17.72	34.69	5.07
ENSOANG00000010122	42.78	92.6	37.84	10.18	6.55
ENSOANG00000007883	51.33	68.1	62.3	55.87	43.24
Locus_174776	0	0.92	0	0.64	0.37
ENSOANG00000008375	0	0	0	0	0
Locus_163744	0	0.48	0.4	0	0
ENSOANG00000008140	20.53	65.27	8.21	9.7	17.94
ENSOANG00000022574	2.43	7.02	22.49	22.18	6.88
ENSOANG00000008476	18.15	8.34	5.52	3.17	9.59
blastnGorilla.Locus_464951	0	0	0	0	0
Locus_138393	0	0	0	0.36	1.45
Locus_194370	4.51	1.07	1.77	4.18	0.87
ENSOANG00000013478	10.64	34.19	22.81	66	17.34
ENSOANG00000022208	82.16	36.79	25.53	40.15	115.59
ENSOANG00000003190	7.06	9.59	8.63	5.95	24.44
Locus_60703	0	5.9	0.19	1.37	0
Locus_55913	3.07	2.55	0.53	0	0.21
ENSOANG00000011567	27.13	17.22	29.55	43.71	5.49
ENSOANG00000011128	3.73	12.29	10.44	11.55	3.28
ENSOANG00000006723	0	0	0	0.04	0.41
ENSOANG00000012401	5956.86	2662.22	1197.46	2939.93	11037.81
ENSOANG00000001940	1.82	85.3	57.9	75.43	57.36
ENSOANG00000002880	16.14	22.25	79.18	190.89	9
ENSOANG00000008263	38.31	8.27	5.33	9.57	37.71
Locus_82237	0.27	0	2.22	1.49	0.29
ENSOANG00000006473	211.91	52.56	15.4	15.42	42.14
ENSOANG00000014341	0.06	0.21	0.35	0.89	0.21
Locus_161506	0	0	0	0	2.08
ENSOANG00000001744	64.73	77.63	49.29	63.03	35.13
ENSOANG00000009633	239.88	188.1	73.75	55.11	351.37
ENSOANG00000020256	0.11	0.21	0	0.68	0.4
ENSOANG00000002005	0.84	3.66	2.39	3.42	0.54
ENSOANG00000004567	10.03	8.13	6.51	1.81	2.53
ENSOANG00000015219	0.67	0	0	0	0.29
ENSOANG00000004227	23.65	63.69	57.22	84.77	40.82
ENSOANG00000003783	1.36	11.06	8.52	13.44	0.93
ENSOANG00000011844	5.96	2.47	5.86	1.52	9.35
ENSOANG00000002723	0	0.11	0.31	0.79	0.18
Locus_158706	0	0.81	0.46	1.52	0.46
ENSOANG00000014658	33.52	49.24	97.45	132.97	75.03
ENSOANG00000020482	9.04	55.72	32.5	33.19	2.77
ENSOANG00000013231	6.65	25.79	14.68	11.48	1.94
ENSOANG00000014851	71.13	113.6	122.69	172.23	36.72
ENSOANG00000020653	26.36	76.15	18.25	21.7	49.18
ENSOANG00000005405	0.04	0.03	0.02	0.02	20.77
ENSOANG00000005774	11.87	2.59	22.56	26.61	24.07
ENSOANG00000006045	47.05	73.27	17.91	13.33	100.38
Locus_189144	0	0	0	0	0.87
ENSOANG00000005296	21.89	41.51	24.59	17.17	4.71
ENSOANG00000006091	71.56	42.74	23.86	32.13	206.31
ENSOANG00000006251	0.61	11.92	15.5	35.59	84.45
Locus_76095	0.15	0	0	0	3.63
ENSOANG00000010111	0	0.76	0.2	0.8	0.39
ENSOANG00000010229	24.04	5.45	4.83	1.87	1.06
Locus_143856	1.38	0	0	0	0
ENSOANG00000005384	7.85	56.98	43.49	24.89	43.2
ENSOANG00000012710	0	0	0	0	0
ENSOANG00000009213	24.94	6.52	3.23	7.38	836.39
ENSOANG00000019795	25.23	17.85	14.07	20.72	28.07
ENSOANG00000013547	6.3	9.55	5.15	5.3	29.3
ENSOANG00000003369	58.03	112.05	69.02	82.08	85.71
ENSOANG00000008008	15.56	0.6	0.48	0.53	0.84
ENSOANG00000001943	2.34	0.1	0	0	12.52
Locus_39804	0	0	0	0	4.57
ENSOANG00000014614	0	0	0	0	0
ENSOANG00000014411	94.02	157.75	44.28	49.39	104.65
Locus_185941	5.52	0.4	0.14	0.14	1.13
ENSOANG00000015582	17.35	24.12	18.63	11.55	15.65
Locus_25418	0	0.09	0.12	0.37	1.15
blastnMacaque.Locus_341809	0	0	0	0	0
ENSOANG00000002703	0.11	0.64	0.1	0.16	47.1
ENSOANG00000004659	5.61	31.45	24.87	8.78	28.2
ENSOANG00000012572	3.76	9.66	12.45	17.9	8.02
ENSOANG00000005738	5.7	23.04	6.98	6.92	14.35
ENSOANG00000002669	20.61	9.9	19.09	13.98	16.25
CUFF.151313	0.19	0.63	0	0	0.1
ENSOANG00000002621	6.56	6.38	7.91	8.88	145.49
ENSOANG00000014503	6.92	4.31	1.48	1.08	1.4
ENSOANG00000007620	4.5	6.42	2.94	3.57	4.04
ENSOANG00000006493	10.34	10.24	16.72	26.09	7.2
ENSOANG00000012769	5.23	35.44	43.58	80.09	3.19
Locus_173407	0	1.02	0	0	2.23
blastnHuman.ENSG00000253837	0	0	0	0	0
ENSOANG00000014976	15.75	17.58	6.98	6.47	4.49
blastnHuman.Locus_76848	0	0	0	0	0
Locus_49961	0.27	4.85	1.48	0.5	0.29
blastnMouse.ENSMUSG00000090920	0	0	0	0	0
ENSOANG00000003630	1.33	0	0	0	0
ENSOANG00000002825	19.11	38.66	33.3	42.77	16.85
ENSOANG00000020498	4.02	10.15	14.51	6.46	6.68
ENSOANG00000003145	17.1	7.1	44.53	81.54	25.23
ENSOANG00000003509	12.08	4.31	4.43	2.69	6.62
ENSOANG00000001356	33.86	65.84	25.97	17.42	36.69
ENSOANG00000002788	4.2	15.98	9.84	5.02	130.65
ENSOANG00000014064	69.96	60.83	27.8	36.97	55.25
ENSOANG00000009539	5.01	3.98	11.73	17.3	5.4
ENSOANG00000015011	1.94	0.12	0.21	0.17	38.97
blastnGorilla.Locus_292077	0	0	0	0	0
ENSOANG00000010382	0	0	0	0.21	0
Locus_156919	0	0.24	0.33	0	0.59
ENSOANG00000003252	27.79	70.23	102.4	70.65	11.57
ENSOANG00000010459	33.46	43.47	10.02	6.11	112.33
Locus_129469	25	12.16	14.92	27.16	118.79
ENSOANG00000012019	39.12	18.12	17.62	20.84	34.43
ENSOANG00000006004	0.06	0	0	0	0
CUFF.55155	1.6	0.76	6.27	2.54	0.12
Locus_25590	0	6.11	2.02	5.22	31.49
ENSOANG00000007644	32.69	20.34	6.61	24.02	7.24
Locus_22478	0	0	0	0	4.63
ENSOANG00000005639	2.43	110.81	60.52	99.69	2.26
ENSOANG00000021092	16.39	8.17	13.62	17.38	12.58
ENSOANG00000007905	4.56	7.78	27.97	17.87	5.23
Locus_54972	0	0.24	0	0	2.52
ENSOANG00000004936	6.45	0.06	0.08	0.39	0
ENSOANG00000012147	2.75	5.7	5.21	15.85	3.09
Locus_15581	0	0	0	0	5.94
ENSOANG00000020741	0.09	0.06	0.24	0.72	361.19
ENSOANG00000011519	33.76	18.32	7.8	3.51	49.31
ENSOANG00000020579	0	11.48	3.53	2.44	0
ENSOANG00000010627	0	5.18	2.05	2.65	2.52
ENSOANG00000000178	0	0	0	0	0
ENSOANG00000014712	16.76	1.71	6.99	4.68	0.93
ENSOANG00000012130	0.89	0	0	0	0.04
Locus_88281	0	2.47	0	0.63	0.18
ENSOANG00000002571	24.85	55.29	9.08	7.84	21.41
CUFF.15014	0.47	0.16	0	0.44	1.43
Locus_188851	0.29	0.77	0	0	0
ENSOANG00000005815	6.1	48.71	20.55	20	67.92
ENSOANG00000015273	1.91	6.79	14.12	16.93	8.3
ENSOANG00000015837	0.03	0.62	0.25	0.51	0.07
blastnHuman.ENSG00000238102	0	0	0	0	0
ENSOANG00000000114	0.06	0.55	0.64	0	0
ENSOANG00000002244	0	0.23	0.24	0.64	0
ENSOANG00000003974	0.58	9.53	17.39	20.6	0.31
ENSOANG00000021339	0	21.02	5.82	12.62	20.17
Locus_159965	0	2.65	0.84	1.99	1.65
ENSOANG00000014873	41.54	6.95	3.66	7.41	7.12
ENSOANG00000004445	5.68	2.45	2.25	0.63	2.28
ENSOANG00000005056	7.89	6.05	10.11	10.51	0.91
ENSOANG00000007560	0.16	0.54	0.74	0.75	0.17
blastnMouse.ENSMUSG00000087356	0	0	0	0	0
ENSOANG00000012690	0.66	3.46	1.28	0.85	0.16
ENSOANG00000007899	17.71	11.9	23.48	30.08	22.25
ENSOANG00000010952	1.38	12.22	23	12.36	4.72
Locus_78491	0.24	1.45	0	0	0.39
ENSOANG00000005380	8.22	2.57	2.62	1.62	2.88
ENSOANG00000020584	10.03	7.02	11.08	7.62	7.29
ENSOANG00000021687	5.08	18.33	12.19	9.29	4.61
ENSOANG00000015332	11.75	22.17	8.17	8.88	23.02
ENSOANG00000004484	1.5	1.84	6.59	8.39	2.13
Locus_26121	0	0	0	0	1.26
ENSOANG00000009712	83.73	53.89	24.54	30.58	173.52
ENSOANG00000005515	113.77	22.12	17.33	16.87	49.25
ENSOANG00000002336	2.61	17.58	9.89	10.93	9.26
ENSOANG00000010486	16.49	72.65	49.97	47.89	37.91
ENSOANG00000004294	118.84	4.89	3.21	4.97	34.93
ENSOANG00000021082	8.63	16.95	15.15	3.52	19.3
ENSOANG00000005175	3.79	4.91	0.57	0.51	3.17
ENSOANG00000022043	29.16	22.57	17.58	20.59	14.29
ENSOANG00000022689	119.68	199.64	51.36	84.71	261.26
ENSOANG00000003924	1.12	6.11	9.64	8.03	0.21
ENSOANG00000010673	0	0	0	0	0
ENSOANG00000011355	3.81	6	9.18	3.92	4.02
ENSOANG00000000453	0	0	0	0	0
Locus_144710	0.17	0.69	0.16	0.64	0
