Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
blastnHuman.Locus_70132	0	0.22	0.56	0	0	0	0	6.3	12.47	0	0	0.14	0
blastnGorilla.Locus_159577	0.62	0.19	0	0	0	0	0.81	0	0	0	0	0	0
ENSMMUG00000010066	5.96	4.63	7.03	2.99	1.89	0.96	2.23	2.16	3.21	10.56	4.04	5.02	5.19
Locus_339713	0.11	0.44	0.52	0	0.09	0.19	0.44	0	0.32	0	0	0.27	0.14
blastnHuman.ENSG00000235533	0	0	0	0	0	0	0	0	1.04	0	0	0	0
ENSMMUG00000008956	0.24	0.36	0.19	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000030818	0.17	0.05	0.14	0.12	0.14	0	0.23	0	1.01	0.29	0	0.63	0.78
ENSMMUG00000009317	19.95	14.76	28.12	7.88	12.36	27.93	28.22	32.83	25.07	20.08	23.6	25.48	23.79
ENSMMUG00000007727	8.97	7.93	7.06	9.34	8.06	10.14	9.37	11.46	15.51	11.38	8.64	50.19	52.24
ENSMMUG00000009472	2.16	2.29	2.18	0.76	0.55	4.13	3.83	1.27	1.25	0.53	0.36	4.63	7.72
blastnHuman.Locus_37759	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000020527	36.38	41.67	41.88	20.28	30.33	79.02	56.65	82.97	64.45	110.65	315.49	25.17	13.62
ENSMMUG00000030802	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_464291	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.171495	0	0	1.02	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015264	1.09	1.44	1.3	1.82	2.42	1	0.91	1.88	1.86	0.32	0.25	0.69	0.44
Locus_140411	0	0	0	0	0	0	0	0	0	0	0	0.85	8.41
Locus_450142	0.22	0.07	0	0.15	0.17	0.74	0.58	0	0.64	0.36	0.55	0.97	0.56
ENSMMUG00000007756	18.62	18.95	27.96	6.89	8.26	7.59	8.2	7.46	7.09	8.23	10.38	1.84	1.89
Locus_475188	0	0	0	0	0	0	0	0	0	0	0	0.62	0
ENSMMUG00000005597	68.71	61.09	56.82	57.46	77.21	61.4	49.26	52.51	47.72	52.23	77.01	62.87	103.06
ENSMMUG00000015813	0.27	0.39	0.16	0.09	0.08	0	0.13	0.05	0	0.06	0.04	1.81	0.86
ENSMMUG00000000665	0	0.21	0.12	0.05	0	0	0	0.23	0.67	19.02	50.29	0.05	0.1
ENSMMUG00000018843	20.11	14.56	17.71	12.45	11.79	18.24	21.24	14.71	10.24	7.96	6.28	4.45	4.49
Locus_40782	0	0.23	0	1.57	1.21	0	0	1.12	1.11	0.63	0	0.38	0.73
ENSMMUG00000008756	0	0	0	0	0	0	0	0	0	0	0	0.13	0.13
blastnGorilla.Locus_338295	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_190514	0.43	0.26	0	0.29	0.34	0.73	0.56	0	1.25	0	0.54	0	0
blastnHuman.ENSG00000227498	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018468	6.48	6.52	6.51	7.23	5.06	6.16	3.47	5.05	5.12	6.51	2.95	67.57	93.26
ENSMMUG00000008266	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253205	0.06	0.02	0.04	0	0.05	0	0	0	0	0	0	0.05	0
ENSMMUG00000029827	4.71	2.76	4.37	2.79	3.73	25.99	43.63	62.77	55.59	46.14	38.43	6.41	5.17
Locus_273977	0	0	0	0	0	0	0	0	0	0	0	2.23	1.3
ENSMMUG00000004664	1.83	1.93	2.78	3.42	1.72	3.43	2.4	1.98	1.67	1.78	0.93	4.21	4.68
ENSMMUG00000020692	1.9	3.26	2.23	5.35	2.93	2.47	2.6	2.14	2.37	5.46	4.68	2.02	1.34
ENSMMUG00000010366	3.76	4.9	2.83	1.25	2.25	5.15	10.67	5.65	3.38	1.67	0.89	28.46	56.15
blastnGorilla.Locus_60761	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnPan.Locus_152433	0	0	0	0	0	0	0	0	0	0.91	0	0.22	0
ENSMMUG00000004380	20.3	18.38	22.57	21.21	22.89	227.04	134.63	85	80.31	64.33	100.37	59.6	93.32
ENSMMUG00000029558	0	0	0	0	0	0	0	0	0	0	0	0.09	0.29
ENSMMUG00000032150	0	0	0.24	0	0.24	0	0	0	0	0	1.14	0.31	0.19
blastnGorilla.Locus_293422	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000008111	1.37	0.62	0	1.41	0	1.16	4.5	3.01	0	2.26	0	0.28	0
ENSMMUG00000012211	14.96	15.13	14.51	13.75	16.52	40.64	15.21	17.48	19.8	11.95	7.98	40.12	53.47
Locus_313087	0	0.18	0	0	0.24	0	0	0	0	0	0	1.59	1.74
blastnMouse.Locus_97956	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031305	0	0.23	0	0.26	0.3	0.65	0	0	0.56	0	0.48	0	0
ENSMMUG00000022325	7.51	8.77	9.03	10.05	13.84	16.2	5.4	0.5	0.49	0.16	0.12	0.37	0.12
Locus_314011	0	0.05	0	0.11	0	0	0	0	0	0	0	4.94	4.93
ENSMMUG00000013748	0	0	0	0.47	0	1.15	1.79	0	0	2.25	0	0.41	0.43
blastnHuman.Locus_17426	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017918	13.88	14.15	17.07	3.44	3.49	2.13	6.62	13.84	16.43	1.04	8.67	156	103.96
Locus_474317	0	0	0	0	0	0	0	0	7.61	0	0	0.13	0
Locus_19599	0.56	0	0	0	0	0	0	0	2.45	0	0	0	0
ENSMMUG00000021969	11.29	12.78	10.19	22.51	24.84	15.13	12.12	10.33	7.59	9.7	6.91	4.21	3.28
ENSMMUG00000006286	16.13	18.5	17.09	25.22	20.64	17.35	23.1	17.21	16.47	24.17	17.73	20.81	22.94
