Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
blastnHuman.ENSG00000240256	1	4	2	0	4	1	1	3	9	11	6
ENSGGOG00000005451	72	287	16	1	14	7	39	16	112	98	229
ENSGGOG00000024870	53	90	16	3	0	1	24	29	25	10	313
Locus_292077	0	0	95	19	0	0	0	0	0	0	2
ENSGGOG00000014709	34	18	0	1	1	0	1	0	1	0	9
ENSGGOG00000011450	0	0	10	4	0	0	822	964	1	1	707
ENSGGOG00000012922	386	660	215	108	45	74	105	115	100	231	1727
blastnMouse.Locus_92698	0	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.266292	0	1	1	0	0	0	0	2	1	0	2
ENSGGOG00000027163	20	114	3	1	2	2	28	0	35	30	97
ENSGGOG00000006064	23	150	15	16	9	27	499	798	108	38	77
ENSGGOG00000023750	357	551	189	166	75	58	268	417	241	438	2754
blastnHuman.CUFF.319877	0	0	0	0	0	0	0	0	1	0	0
Locus_72663	0	0	2	6	0	0	0	0	0	0	23
ENSGGOG00000025165	115	247	112	65	66	25	68	85	81	113	461
ENSGGOG00000002284	257	853	194	159	46	35	304	249	185	223	387
ENSGGOG00000027319	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000008379	40	133	2893	1260	39	33	24	44	54	133	3557
ENSGGOG00000016134	0	1	0	0	0	1	0	0	0	0	2
ENSGGOG00000010553	1662	4102	3167	372	15	1	4	5	547	127	1235
ENSGGOG00000010884	309	459	86	109	68	29	318	476	210	190	1265
blastnMacaque.Locus_340865	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_499266	0	0	0	0	0	0	0	0	0	0	1
ENSGGOG00000017184	5	16	2	2	1	1	25	27	2	6	43
blastnMacaque.Locus_39469	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_114914	0	0	0	0	0	0	0	1	0	0	0
ENSGGOG00000002477	115	196	374	343	99	38	514	1188	195	194	1725
blastnMacaque.Locus_116147	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000000213	139	271	56	64	14	12	4	12	18	33	779
ENSGGOG00000013065	106	210	74	20	21	16	36	36	13	25	70
ENSGGOG00000011357	431	648	187	95	248	83	672	1047	256	219	153
ENSGGOG00000006089	341	715	230	158	33	55	219	221	234	393	3501
blastnMacaque.Locus_40756	0	0	0	0	0	0	0	0	0	0	3
