Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000012412	371	239	696	1394	365	512	567	967	750
blastnMacaque.Locus_474330	0	0	0	0	0	0	0	0	0
ENSPPYG00000020422	71	6	26	28	15	29	27	28	47
blastnHuman.XLOC_008611	0	0	0	0	0	0	0	0	0
Locus_119626	0	0	0	0	0	0	2	0	0
ENSPPYG00000010021	4	1	1	2	1	1	1	34	13
ENSPPYG00000011878	0	0	6	1	0	3	1	2	0
ENSPPYG00000018717	1	0	0	8	0	5	5	0	1
blastnGorilla.Locus_391441	0	0	0	0	0	0	0	0	0
ENSPPYG00000012854	193	59	179	306	125	220	329	287	291
ENSPPYG00000019644	446	407	26	15	11	62	64	56	36
ENSPPYG00000001950	109	106	223	658	461	129	111	4	10
blastnGorilla.Locus_57717	1	0	0	2	2	5	2	0	1
ENSPPYG00000009134	52	22	3	3	0	12	12	2	11
blastnOpossum.Locus_92598	0	0	1	0	0	0	0	0	0
ENSPPYG00000007403	286	162	113	128	67	63	111	57	138
blastnHuman.ENSG00000225882	0	0	0	0	0	0	0	0	0
ENSPPYG00000013805	2444	1398	3063	383	146	556	596	227	615
blastnHuman.ENSG00000232586	17	16	84	15	5	25	73	2	0
blastnHuman.ENSG00000238115	1	1	0	3	0	7	6	0	0
ENSPPYG00000013553	0	0	0	1	0	2	0	0	0
blastnPan.Locus_65590	0	0	0	0	0	0	0	0	0
ENSPPYG00000011716	595	319	377	258	196	690	990	619	508
blastnHuman.Locus_17161	0	0	0	0	0	0	0	0	0
ENSPPYG00000011546	0	0	0	0	0	0	0	0	0
ENSPPYG00000000436	1	0	0	0	0	0	12	0	0
blastnHuman.XLOC_004211	0	0	0	0	0	0	0	1	0
blastnMouse.Locus_82502	0	0	0	0	0	0	0	0	0
ENSPPYG00000003066	3	1	24	7	1	7	5	3	0
ENSPPYG00000005697	660	313	166	143	74	1619	2418	1924	3064
ENSPPYG00000011038	31	10	14	188	35	41	12	38	67
blastnHuman.Locus_183850	0	0	0	0	0	0	0	0	0
