Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000019722	124	128	68	29	85	75	29	45	1088	621	1770	1681
Locus_175389	0	3	4	2	4	7	1	6	0	0	7	6
ENSXETG00000031064	1	0	0	0	0	0	0	0	0	0	2	25
ENSXETG00000011762	8	2	3	0	38	2	68	1	8	4	1	5
ENSXETG00000019354	251	157	1165	999	865	264	55	57	1	0	29	49
ENSXETG00000032435	61	30	45	39	247	332	287	154	435	120	392	130
ENSXETG00000012839	360	313	615	687	690	535	271	252	488	695	716	748
ENSXETG00000020412	0	0	0	0	0	0	0	0	0	0	5	9
ENSXETG00000029923	355	283	887	748	3851	4920	1201	2030	1161	467	457	255
Locus_156740	188	162	0	1	0	0	0	0	0	0	0	3
Locus_110173	6	12	6	0	13	2	13	2	6	0	6	49
ENSXETG00000006901	6	9	46	0	61	0	20	0	10206	9403	14	10
Locus_178587	65	54	1	1	4	2	0	0	0	0	4	14
ENSXETG00000024451	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000012244	11	15	480	344	34	141	7	30	0	0	5	1
ENSXETG00000033145	6	3	30	13	23	3	13	7	9	15	26	8
ENSXETG00000001996	356	385	220	240	323	426	178	246	1267	184	655	589
Locus_170379	10	13	0	2	7	8	100	271	15	61	170	383
ENSXETG00000016077	0	0	0	0	0	0	0	0	0	0	2	7
Locus_151935	1131	1226	343	486	272	492	159	365	400	536	1196	1321
ENSXETG00000005087	300	328	126	88	304	252	152	93	477	398	348	438
ENSXETG00000031637	30	22	29	17	90	101	29	23	76	66	37	63
ENSXETG00000027164	0	0	0	2	0	0	0	0	6	5	0	4
Locus_142809	9	1	6	6	19	15	24	34	1	0	12	5
ENSXETG00000001061	225	292	0	0	0	0	0	0	0	1	586	1769
Locus_22140	3	2	1	0	2	0	0	0	2	1	38	466
ENSXETG00000009464	14	21	3	1	19	27	1	1	43	42	39	97
ENSXETG00000015273	70	62	62	55	83	113	1	8	8	5	73	174
ENSXETG00000012738	291	242	1617	1997	758	737	157	194	166	423	364	564
ENSXETG00000025476	502	438	180	120	252	191	70	106	2031	1548	367	828
ENSXETG00000021746	501	438	102	89	155	147	69	137	539	177	238	150
ENSXETG00000031976	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000022533	242	257	59	63	150	147	29	24	1527	1014	541	737
