Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000004486	179	150	790	378	497	231	155	286	233	286	183	8408	2418	288	533	2918
ENSGALG00000009479	4	7	9	2	20	4	5	14	19	24	7	556	317	1	2	5
ENSGALG00000009266	0	0	5	0	0	6	36	24	18	10681	31380	14	2	2	4	10
Locus_117863	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5
ENSGALG00000020423	41	18	88	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSGALG00000008358	415	262	457	358	405	188	162	530	510	351	410	4848	1454	653	427	813
ENSGALG00000010781	120	89	461	0	7	0	0	8	6	0	0	85	0	1	3	14
ENSGALG00000015089	5133	3018	27630	4300	4551	0	2	2	1	0	0	14	33	89	47	806
Locus_76891	2	1	5	3	2	1	1	0	1	0	1	22	5	53	72	188
CUFF.137275	0	0	0	2	0	1	0	3	0	0	1	1	1	28	21	18
ENSGALG00000024415	663	344	2860	445	683	205	180	325	174	224	221	6135	526	638	523	4827
ENSGALG00000003385	227	172	219	180	266	82	95	260	116	175	148	884	892	551	725	699
ENSGALG00000005205	126	105	373	117	168	60	36	246	210	187	147	6450	1128	397	399	2331
ENSGALG00000000804	122	62	929	71	149	56	59	175	112	160	105	4608	583	306	403	3075
ENSGALG00000003912	1008	694	1978	820	1056	370	299	1420	1065	853	601	9898	2870	334	530	988
Locus_48814	2	0	0	2	1	5	1	0	0	2	0	3	5	10	3	4
ENSGALG00000024346	48	27	90	36	58	235	717	396	410	185	916	1014	223	191	48	166
CUFF.123130	1	0	0	5	8	1	4	1	2	2	7	65	8	12	6	2
ENSGALG00000020939	167	141	346	138	222	84	69	301	252	586	744	2541	1194	217	244	662
ENSGALG00000015529	1342	913	3072	139	225	161	151	357	252	293	195	3093	704	799	938	4873
ENSGALG00000020359	2	1	0	21	53	0	0	0	0	0	0	0	0	46	47	62
ENSGALG00000003604	56	43	51	27	48	33	21	252	227	129	193	721	277	52	31	57
ENSGALG00000014297	20	56	29	16	77	40	85	116	66	67	231	317	638	86	13	20
ENSGALG00000000235	554	377	1830	574	694	451	369	273	342	255	194	5761	2314	205	274	1480
ENSGALG00000007581	382	265	1568	468	551	285	211	423	337	389	291	15711	3234	3709	5177	32865
ENSGALG00000004425	440	358	1992	279	522	52	61	99	109	76	40	2005	378	452	691	3619
ENSGALG00000007445	82	52	172	75	88	45	38	131	45	74	37	867	231	187	313	911
ENSGALG00000020514	6	14	21	13	17	0	1	15	11	7	13	172	86	49	55	233
ENSGALG00000004683	364	179	551	222	359	174	211	326	136	158	158	1949	653	2104	2336	4992
CUFF.54386	0	0	1	0	1	0	0	0	2	1	0	4	1	1	3	8
ENSGALG00000009992	187	84	509	267	290	86	57	129	77	68	34	2930	500	152	306	1478
ENSGALG00000007395	15	30	66	36	109	4	17	1977	2277	3733	6050	88	41	101	219	228
ENSGALG00000008669	1	3	15	1	3	2	6	10	16	29	29	114	76	9	8	23
ENSGALG00000016317	599	350	1022	428	497	248	175	323	247	267	133	3128	1638	297	386	1255
ENSGALG00000022030	144	59	34	39	61	21	20	156	67	91	231	213	357	370	112	93
ENSGALG00000009388	172	122	184	429	478	14	10	24	11	1	1	46	20	46	32	86
blastnHuman.Locus_13263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000011111	289	179	267	277	305	1	0	0	0	0	0	2	2	248	207	349
ENSGALG00000010396	1	3	5	1	2	1	3	4	4	2	1	965	323	1259	519	2011
ENSGALG00000006031	27	21	143	0	0	0	0	0	0	0	0	1	0	2	0	5
ENSGALG00000015360	27	33	326	48	63	36	49	13	18	7	16	1201	162	298	568	3801
ENSGALG00000009314	191	117	299	133	228	126	109	203	132	188	164	2625	1524	489	521	1199
Locus_4985	0	0	0	0	0	0	0	0	0	0	0	0	0	18	23	78
ENSGALG00000000085	2517	1474	5066	1637	1787	494	391	3764	3511	1009	717	18136	3897	731	910	2887
ENSGALG00000007467	97	70	124	41	66	16	26	74	40	37	48	334	128	764	315	747
ENSGALG00000003432	2	4	21	2	5	1	1	330	1247	165	490	22	11	377	441	2483
ENSGALG00000001713	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
CUFF.204336	0	0	1	0	0	1	1	5	5	0	0	2	0	0	2	8
ENSGALG00000018534	0	2	10	1	2	0	0	414	381	1	1	1	0	3823	4075	7066
Locus_28771	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	33
ENSGALG00000011130	744	575	2098	736	787	517	555	509	538	443	315	4381	1925	2016	2288	7505
Locus_68459	0	0	0	0	0	0	0	0	0	0	0	1	0	1	7	30
