Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
ENSGGOG00000015920	18.43	15.5	31.84	21.34	0.05	0	0.04	0.02	0.02	0.05	1.24
ENSGGOG00000012648	1.03	0.72	0.03	0.13	0	0.12	0	0	0.08	0.27	0.32
blastnOpossum.Locus_92598	0	0	0.43	0	0	0	0	0	0	0	0
ENSGGOG00000015057	10.29	19.43	7.17	12.72	11.85	25.8	22.98	17.15	15.74	19.77	39.95
blastnHuman.ENSG00000232586	4.72	4.07	23.23	18.85	6.22	3.02	6.91	9.44	1.25	0.84	4.42
ENSGGOG00000001369	23.47	20.92	24.22	22.16	144.88	45.51	2.46	2.12	3.92	7.05	3.67
ENSGGOG00000014209	0.01	0.01	0.07	0.02	0	0.12	0	0.01	0.04	0	26.65
ENSGGOG00000024972	6.23	5.08	0.21	0.48	0	0	0.21	0.54	0.74	1.62	0.03
ENSGGOG00000009035	0.04	0	0	0.07	0	0	0.29	2.5	0.12	0.1	5.65
blastnHuman.ENSG00000238115	0.33	0.48	0	0	1.01	1.19	0.29	1.18	0.08	0.3	0.08
blastnPan.Locus_86263	0	0.11	0.27	0	0	0	0.18	0	0.19	0.15	0.91
blastnHuman.Locus_17161	0	0	0	0	0	0	0	0	0	0	0.02
ENSGGOG00000001594	5.17	5.51	8.5	5.51	7.05	6.91	6.55	5.08	7.44	4.65	9.58
ENSGGOG00000006886	0.12	0.33	0	0.15	0	0	0.13	0.17	0.14	0.26	0.09
ENSGGOG00000021957	5.62	7.1	8.96	8.38	10.03	6.93	4.9	5.19	14.01	15.94	7.18
ENSGGOG00000000387	12.85	12.2	20.58	15.13	7.46	5.15	2.2	2.2	1.36	1.45	15.52
blastnHuman.XLOC_004211	0.18	0	0	0.31	0	0	0	0	0	0	0.12
ENSGGOG00000005044	94.14	101.48	93.97	65.26	106.63	103.85	55.5	43.59	102.01	59.06	74.54
blastnMouse.Locus_82502	0	0	0	0	0	0	0	0	0	0	0.18
Locus_94074	0	0	0	0	0	0	0	0	0	0	0.39
blastnHuman.Locus_183850	0	0	0	0	0	0	0	0	0	0	0.8
ENSGGOG00000003234	9.86	8.43	3.59	3.12	1.9	6	6.3	4.64	5.28	6.96	11.61
ENSGGOG00000006951	3.68	4.33	6.23	9.48	4.81	7.11	7.7	6.78	5.87	8.3	2.16
blastnHuman.ENSG00000250015	0	1.97	0	0	0	0	0	0	0	0	0.66
Locus_73851	0.43	0.07	1.13	1.75	0	0	0.43	0.17	0.23	0.36	0.2
blastnHuman.ENSG00000227237	0.24	0.33	0.27	0	0	0	0	0.28	0	0	0.16
Locus_439950	0.66	0.15	0.75	0	0	1.66	0	0	0	0.84	0.08
ENSGGOG00000007491	0.26	0.52	0.08	0.12	0.06	0	3.57	1.35	0.03	0.07	1.76
ENSGGOG00000001365	1.57	1.31	0.6	1.06	8.64	31.53	5.98	5.24	2.88	5.46	2.39
ENSGGOG00000014844	2.21	4.85	3.81	3.24	3.29	5.82	4.36	3.45	6.04	4.72	7.83
ENSGGOG00000000726	5.4	6.16	3.38	3.14	14.41	29.43	5.98	3.97	7.98	15.65	2.53
blastnHuman.ENSG00000240256	0.08	0.15	0.18	0	1.12	0.4	0.12	0.28	1.16	1.11	0.11
ENSGGOG00000005451	1.91	3.53	0.48	0.05	1.31	0.93	1.55	0.5	4.82	3.3	1.41
ENSGGOG00000024870	2.23	1.76	0.76	0.22	0	0.21	1.52	1.45	1.71	0.53	3.05
Locus_292077	0	0	3.32	1.03	0	0	0	0	0	0	0.01
ENSGGOG00000014709	1.24	0.3	0	0.06	0.13	0	0.05	0	0.06	0	0.08
ENSGGOG00000011450	0	0	0.49	0.3	0	0	53.44	49.55	0.07	0.06	7.09
ENSGGOG00000012922	7.13	5.66	4.49	3.48	2.95	6.86	2.91	2.52	3	5.42	7.39
blastnMouse.Locus_92698	0	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.266292	0	0.03	0.08	0	0	0	0	0.17	0.11	0	0.03
ENSGGOG00000027163	1.8	4.75	0.3	0.16	0.64	0.9	3.77	0	5.11	3.42	2.02
