Brain	Cerebellum	Heart	Kidney	Testis
ENSGALG00000025150	0	0	0	0	0
ENSGALG00000021920	0	0	0	0	0
ENSGALG00000025496	0	0	0	0	0
ENSGALG00000021952	3	123	7398	38942	7703
ENSGALG00000021785	3	1	0	0	0
ENSGALG00000021809	0	0	0	0	2
ENSGALG00000025268	0	0	0	0	0
ENSGALG00000018352	33	5	10	6	36
ENSGALG00000021724	123	55	37	37	48
ENSGALG00000025647	0	1	0	0	0
ENSGALG00000025187	0	0	0	0	0
ENSGALG00000018339	2	0	11	10	297
ENSGALG00000025533	74	28	11	7	18
ENSGALG00000025553	0	0	0	0	4
ENSGALG00000018248	741	691	1025	770	2796
ENSGALG00000018276	16407	5051	39943	18474	8771
ENSGALG00000025177	0	0	0	0	0
ENSGALG00000025357	1	0	0	0	0
ENSGALG00000025179	0	0	0	0	0
ENSGALG00000025578	374	4	2	0	18
ENSGALG00000025510	30	69	69	63	108
ENSGALG00000025248	0	1	0	1	0
ENSGALG00000025271	20	14	7	3	4
ENSGALG00000025476	9	1	0	0	2
ENSGALG00000025245	2	0	2	0	0
ENSGALG00000021777	0	1	0	0	0
ENSGALG00000025367	0	0	0	0	0
ENSGALG00000025214	0	0	0	0	6
ENSGALG00000025380	1	1	0	0	0
ENSGALG00000018348	0	0	0	0	0
ENSGALG00000018267	669	373	3321	1429	2205
ENSGALG00000021774	21	17	81676	53	446
ENSGALG00000018288	0	0	24	0	0
ENSGALG00000025265	0	0	0	0	0
ENSGALG00000025406	0	0	0	0	11
ENSGALG00000025452	4	0	0	3	0
ENSGALG00000018290	3830	8291	1948	34799	6908
ENSGALG00000025209	0	0	0	0	34
ENSGALG00000018340	0	0	0	0	0
ENSGALG00000025523	0	0	0	0	0
ENSGALG00000025181	0	0	0	0	1
ENSGALG00000025441	0	0	0	0	0
ENSGALG00000024502	27	34	52	46	43
ENSGALG00000025625	0	0	0	0	0
ENSGALG00000025300	0	0	0	0	0
ENSGALG00000018322	10	0	2	0	292
ENSGALG00000018343	0	0	0	0	0
ENSGALG00000018250	2276	1156	667	929	3116
ENSGALG00000018281	5904	4243	4106	5810	21039
ENSGALG00000025152	1	0	0	0	0
ENSGALG00000025552	0	0	0	0	0
ENSGALG00000018295	1	2	11	2711	41
ENSGALG00000018319	8569	8014	23508	32391	11685
ENSGALG00000025651	0	0	0	0	0
ENSGALG00000018254	5	9	3	3	6
ENSGALG00000025293	0	0	0	0	0
ENSGALG00000025395	1	0	0	0	0
ENSGALG00000018313	0	0	0	140	4
ENSGALG00000025580	1	4	0	2	3
ENSGALG00000025170	2	0	0	0	0
ENSGALG00000025364	0	0	0	0	0
ENSGALG00000021778	2	0	3	1012	2
ENSGALG00000018328	2	6	0	0	1
ENSGALG00000025545	0	1	1	0	1
ENSGALG00000018336	3241	12	136	3	51
ENSGALG00000025188	437	4	27	226	99
ENSGALG00000025276	0	0	0	0	0
ENSGALG00000018271	259	103	288	80	154
ENSGALG00000025549	0	0	0	1	3
ENSGALG00000025222	0	0	0	0	0
ENSGALG00000018262	4528	2972	3322	2435	8303
ENSGALG00000025385	1	0	0	0	0
ENSGALG00000025289	0	0	0	0	0
ENSGALG00000025374	648	253	10	1158	351
ENSGALG00000025266	1	0	0	0	0
ENSGALG00000025206	0	0	0	0	0
ENSGALG00000018287	0	0	0	0	0
ENSGALG00000021723	101	1	0	0	8
ENSGALG00000025577	0	0	0	0	0
ENSGALG00000018270	0	0	0	0	1
ENSGALG00000018327	0	0	0	0	1
ENSGALG00000025576	0	0	0	0	0
ENSGALG00000025483	1	1	3	1	0
ENSGALG00000025422	8	4	10	17	23
ENSGALG00000018300	0	0	36	0	0
ENSGALG00000018246	0	0	0	0	0
ENSGALG00000025322	0	0	0	0	0
