Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000009800	6.05	6.72	0	0	0.04	0.07	0	0	0.02	0.03	0.28	0.49
ENSXETG00000025408	0	0	0	0	0.91	0.28	322.81	457.76	0	0	0.05	0.18
ENSXETG00000021211	0.27	0.02	0	0	0	6.17	0	0	0.06	0.03	0.64	0.22
ENSXETG00000032089	6.48	5.1	0.31	0.1	5.23	3.84	0.29	0	10.25	5.12	28.35	32.22
ENSXETG00000016137	0.34	0.08	2.67	0.7	1.75	1.47	14.73	13.53	0	0.02	3.28	2.5
ENSXETG00000019680	38.14	34.08	60.13	55.65	37.6	33.15	32.16	30.96	10.38	35.83	26.11	62.91
ENSXETG00000005394	0	0	0	0	0	0	0	0	0	0	0	0.01
ENSXETG00000002820	52.76	45.94	47.55	51.06	31.02	37.49	74.4	99.91	11.27	9.09	29.83	9.61
ENSXETG00000019113	12.66	10.95	7.38	7.09	5.93	4.62	8.5	7.52	5.84	15.16	7.61	12.16
ENSXETG00000014246	1.85	1.43	5.37	6.73	6.83	7.3	17.02	13.81	13.91	9.58	4.51	1.67
Locus_134303	8.36	1.27	1.02	1	3.66	1.47	0.28	0.21	0	0.06	4.98	7.69
ENSXETG00000015129	1088.12	871.17	6237.96	5531.61	3307.76	3460.07	4455.04	5006.94	140.44	567.55	1034.56	2631.74
ENSXETG00000025743	0.22	0.24	0	0.1	0.87	0.49	0.69	0.71	0	0.25	2.95	4.11
ENSXETG00000010958	0.2	0.24	0.26	0.18	16.69	3.3	0.07	0.24	0.16	0.09	1.58	1.3
ENSXETG00000007390	49.8	39.18	67.13	76.93	74.38	75.03	199.49	215.72	114.51	37.75	130.17	34.29
ENSXETG00000006711	14.78	8.34	51.29	25.48	150.15	170.13	214.24	138.99	0.33	1.8	45.02	87.09
ENSXETG00000019682	45.08	45.01	63.44	76.44	72.77	74.4	96.25	92.95	45.91	40.45	76.79	68.22
ENSXETG00000020143	0.64	0.41	0	0.42	0.07	0.06	0.44	0.22	0.22	0.5	0.9	1.92
ENSXETG00000017195	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000000501	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000015713	1181.44	1408.68	349.08	397.31	234.67	272.05	328.81	242.33	65.87	74.87	373.69	148.33
ENSXETG00000016161	0	0	0	0	0	0	0	0	0	0	0.34	0.18
ENSXETG00000004834	0	0	0	0	0	0	0.38	1.11	0.08	0	0	0
ENSXETG00000007502	0.97	1.66	1.03	0.88	1.25	0.65	0.8	0.73	7.27	14.15	2.25	4.03
ENSXETG00000001662	10.33	9.97	6.3	4.79	17.21	15.18	17.02	14.78	21.83	16.12	9.03	5.5
ENSXETG00000005800	26.76	34.47	138.06	105.44	32.91	39.31	24.82	12.89	15.81	30.46	33.82	18.99
ENSXETG00000009533	48.27	38.08	67.16	66.74	35.01	39.64	42.88	38.08	67.07	93.58	67.55	49.54
ENSXETG00000009008	0	0	0	0	0	0	0	0	0	0	0.03	0.09
Locus_7122	5.38	2.21	1.7	1.43	5.11	4.1	0.33	0	0	0	14.4	12.7
ENSXETG00000001766	0.63	1.33	0	0	0	0	0	0	0.35	0.56	0.03	0.1
ENSXETG00000011488	74.21	77.9	111.7	174.39	278.67	250.72	173.38	360.28	38.93	182.37	35.16	92.41
ENSXETG00000013098	14.45	14.37	2.08	2.8	0.43	2.05	18.35	7.64	0.05	0.8	4.17	17.08
ENSXETG00000027921	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000024605	2.62	3.38	0.64	1.62	1.64	1.22	0.5	0.74	0.44	2.11	4.99	1.27
ENSXETG00000020254	8.9	8.72	3.35	1.49	4.83	3.14	4.92	3.18	22.85	22.07	35.42	30.82
ENSXETG00000019859	1.56	1.48	2.11	0.95	0.36	1.05	0	0	0	0	0.23	2.53
ENSXETG00000019035	10.14	8.33	40.19	36.31	26.97	31.64	13.62	14.44	6.74	15.41	11.59	27.19
ENSXETG00000000987	0.57	1.22	3.66	1.47	3.43	4.02	4.53	4.46	2.96	6.93	5.1	11.51
ENSXETG00000002582	2.22	2.74	0.54	0.65	0.28	0.38	0.08	0.12	0.46	0.02	1.19	1.39
ENSXETG00000007681	24.27	26.15	29.91	26.56	7.31	8.27	9.58	11.66	37.32	69.72	10.95	11.28
Locus_60491	0.24	0	0	0	0	0	0	0	0	0	21.97	6.36
ENSXETG00000003253	8.53	6.99	8.32	4.83	2.11	1	1.64	0.68	8.45	2.58	24.65	9.59
ENSXETG00000027138	250.24	177.85	175.83	133.18	234.72	146.11	139.88	79.82	98.01	54.56	283.89	56.28
ENSXETG00000007763	1.69	0.72	0	0	46.39	79.65	0.32	0	0	0	1.99	1.44
ENSXETG00000015971	0	0	0	0	0	0	0	0	0	0	0	0
Locus_175360	3.39	3.14	2.87	2.12	3.44	2.11	5.68	1.72	0.03	0	2.34	0.45
ENSXETG00000027411	0.25	0.11	0.47	0.11	0.07	0.07	0.48	0.82	0	0	0.84	3.1
ENSXETG00000033427	81.76	94.97	4.13	3.32	3.97	3.05	2.13	3.42	19.82	6.52	6.11	3.15
ENSXETG00000033841	0.11	0	0.1	0.1	0	0.06	0.95	1.59	0.06	0.05	0	0.03
ENSXETG00000013409	13.31	14.27	27.92	23.22	21.63	17.98	29.34	23.33	8.15	5.72	17.34	11.36
Locus_119870	0	0	0	0	0	0	0	0	0	0	7.1	5.43
ENSXETG00000015968	0.13	0.02	0.73	0.44	0.37	0.25	0.95	0.57	58.15	13.99	45.26	18.86
ENSXETG00000031047	0.07	0.32	0	0	0	0	1.11	1.36	0	0	0	0
ENSXETG00000014383	0.97	1.96	1.89	0.79	0	0.12	0	0	0.48	0.99	1.56	1.89
ENSXETG00000016840	24.38	18.89	26.5	24.15	18.13	20.14	26.22	20.63	65.89	25.37	252.83	97.46
