Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
Locus_191660	0	0	0	1	0	0	1	43	92	0	0	5	6	2	0	1	0	0
ENSOANG00000015497	89	25	68	62	74	6	6	10	4	1	1	269	118	133	6	25	6	20
ENSOANG00000013586	0	0	0	0	1	0	0	1	0	2	0	0	0	1	1	2	0	4
ENSOANG00000000258	93	78	11	175	154	437	414	50	234	44	7	44	444	261	54	513	234	82
ENSOANG00000005873	8	2	2	20	33	8	2	881	185	695	981	1	4	17	22	65	23	23
ENSOANG00000004349	52	23	65	0	0	0	0	0	2	0	0	31	6	22	1	4	5	20
ENSOANG00000008216	18	44	11	68	72	28	4	30	12	7	21	6	20	7	42	70	34	22
ENSOANG00000014377	0	0	1	0	0	5	1	3	21	8	2	57	61	27	0	17	6	47
ENSOANG00000021152	22	16	26	16	27	12	10	50	62	29	17	129	67	66	108	244	145	580
ENSOANG00000002479	436	247	724	147	195	50	64	82	216	129	93	2222	753	1161	89	375	120	906
ENSOANG00000007733	1955	872	1621	1175	1021	1050	1161	1054	1754	540	431	2487	2294	2592	673	2068	1020	2569
ENSOANG00000020796	14	9	51	10	9	5	5	4	7	9	2	91	33	16	3	14	3	24
ENSOANG00000009620	130	74	58	68	55	25	28	33	114	143	47	139	283	244	61	171	89	86
ENSOANG00000001238	29	15	102	22	28	0	0	0	5	1	0	11	12	15	2	8	2	31
ENSOANG00000002936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000013715	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	8
blastnHuman.Locus_68914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000009106	1748	1281	931	1450	1527	277	240	575	887	1443	1093	1008	2055	1081	238	1198	413	781
ENSOANG00000011645	399	160	1021	306	322	89	128	120	252	168	115	3075	1222	1174	243	878	346	5314
ENSOANG00000009334	1	2	1	0	1	0	0	0	1	1	0	1	0	0	24	67	24	27
Locus_188892	9	22	29	4	5	0	0	1	2	0	1	7	4	5	2	7	7	26
Locus_173512	9	7	2	2	1	0	0	2	1	1	1	0	3	1	12	26	12	9
ENSOANG00000007747	33	17	21	8	25	2	1	16	27	0	0	68	119	155	189	386	244	348
ENSOANG00000015593	263	181	303	201	201	20	17	11	20	1	0	144	25	50	18	66	22	116
ENSOANG00000007318	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	2
ENSOANG00000003359	718	452	1645	468	402	90	83	102	156	84	42	2482	641	534	507	1276	916	9187
ENSOANG00000008899	6	4	0	3	8	6	3	59	194	0	0	51	106	172	0	8	5	9
Locus_60462	1	0	7	1	0	105	45	5	1	0	0	20	6	1	0	0	0	0
ENSOANG00000020215	30	35	114	71	36	1	1	2	5	1	0	30	6	0	1	4	6	25
ENSOANG00000001627	34	15	630	40	26	13	3	10	18	18	14	1366	113	16	14	24	18	572
ENSOANG00000003379	82	20	268	28	27	13	16	11	24	22	5	797	147	137	19	82	53	806
ENSOANG00000005040	34	6	238	1489	730	0	1	6	6	31	104	707	216	258	9	65	18	213
ENSOANG00000006408	224	61	462	111	85	35	76	49	128	147	76	2898	1567	1075	102	377	114	926
blastnHuman.XLOC_009303	0	1	0	1	0	0	0	0	0	0	0	6	1	12	1	1	0	0
ENSOANG00000007990	0	0	0	0	0	1	0	1	1	1	1	22	12	16	2	10	2	5
ENSOANG00000020236	0	0	0	0	0	0	0	9	58	6185	896	100	212	794	0	1	0	3
Locus_172021	1	0	2	1	0	0	0	0	0	0	0	10	9	20	58	59	66	275
Locus_175176	1	0	1	7	3	0	0	0	0	0	0	0	0	0	9	11	180	20
