Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000011546	0	0	0	0	0	0	0	0	0
ENSPPYG00000000436	0.05	0	0	0	0	0	0.65	0	0
blastnHuman.XLOC_004211	0	0	0	0	0	0	0	0.4	0
blastnMouse.Locus_82502	0	0	0	0	0	0	0	0	0
ENSPPYG00000003066	0.71	0.49	7.13	2.84	0.88	2.53	1.32	1.73	0
ENSPPYG00000005697	39.94	39.17	12.54	14.77	16.52	148.93	162.05	282.77	253.4
ENSPPYG00000011038	1.95	1.3	1.1	20.15	8.11	3.91	0.83	5.79	5.75
blastnHuman.Locus_183850	0	0	0	0	0	0	0	0	0
ENSPPYG00000013367	26.94	18.57	5.6	0	0	0	0.9	0	0
ENSPPYG00000016936	0	0	0	0	0.32	0	0	0	0
ENSPPYG00000014602	3.02	6.25	4.68	6.81	2.68	4.96	5.76	5.58	6.61
ENSPPYG00000020823	0.25	0.26	0	0	0	0	0	0	0
ENSPPYG00000001513	0.42	0	0.8	0	0.78	0	0.47	0.52	0
blastnHuman.ENSG00000227237	0.31	0	0.77	0	0	0	0	0	0
ENSPPYG00000017114	0.51	0.8	0.16	3.4	4.51	0.88	1.28	5	3.78
ENSPPYG00000007540	15.14	17.37	23.72	18.66	17.19	32.33	33.75	40.74	38.28
blastnHuman.Locus_183388	0	0	0	0	0	0	0	0	0
ENSPPYG00000006716	4.2	3.76	10.82	0	0.29	0.51	0.26	0.72	1.27
ENSPPYG00000007380	11.54	21.58	6.51	6.71	9.62	19.99	11.71	18.48	24.46
blastnGorilla.Locus_464869	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000240256	0	0	0.28	0.25	0	0	0.08	0.54	0.4
ENSPPYG00000002213	2.25	2.47	1.75	1.32	1.55	1.07	0.86	0.68	0.67
blastnHuman.ENSG00000256810	0	0	0.41	0	0	0	0	0.8	0.45
ENSPPYG00000006486	18.82	15.64	11.82	1.1	1	1.39	1.16	0.62	0.76
ENSPPYG00000004967	0.4	0.82	0	0	0	0.61	0.44	2.9	0
ENSPPYG00000003647	3.45	0	0.42	9.19	2.17	4.73	1.49	56.6	5.98
ENSPPYG00000005397	28	94.86	6.63	74.18	108.66	33.76	26.2	45.73	8.58
ENSPPYG00000011667	17.59	15.96	5.01	14.4	30.43	16.34	6.54	39.7	32.79
ENSPPYG00000008921	0.25	0.26	6.5	1.95	0.47	0.68	0.98	10.48	17.44
blastnMouse.Locus_92698	0	0	0	0	0	0	0	0	0
Locus_179378	2.27	1.25	0	0	0.56	0.46	1	0	0.21
blastnPan.CUFF.266292	0	0	0	0.11	0	0.1	0	0	0
blastnHuman.CUFF.319877	0	0	0	0	0	0	0	0	0
ENSPPYG00000016775	0.22	0.07	0.14	0.99	0.4	0.44	0.4	1.14	1.24
blastnHuman.ENSG00000247810	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_008149	0	1.29	0	0.35	0	0.31	0.69	1.51	0
blastnGorilla.Locus_135167	0	0	0	0	0	0	0	0	0
ENSPPYG00000004534	6.57	5.5	4	13.35	11.25	11.29	7.45	2.47	6.52
ENSPPYG00000009058	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_340865	0	0	0	0	0	0	0	0	0
ENSPPYG00000002391	1.48	0.65	1.07	0.14	0.15	0.98	1.73	0.2	0.23
blastnMacaque.Locus_499266	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_39469	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_114914	0	0	0.22	1.48	0	0.26	0.38	0	0
blastnMacaque.Locus_116147	0	0	0	0	0	0	0	0	0
ENSPPYG00000004337	4.14	1.3	4.72	14	1.66	63.82	73.54	232.82	219.79
blastnMacaque.Locus_40756	0	0	0	0	0	0	0	0	0
blastnMouse.ENSMUSG00000085954	5.84	3.02	1.21	0	0	0	0	1.18	0
ENSPPYG00000018174	0.75	0	0.16	19.97	9.75	223.56	169.97	301.26	259.45
blastnMacaque.Locus_372566	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_448574	0	0	0.29	0	0	0	0	0	0
blastnHuman.Locus_146117	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253921	0.13	0	0.34	0.23	0.5	0	0.3	0	0.18
blastnHuman.CUFF.286937	0	0	0	0	0	0	0	0	0
ENSPPYG00000019420	1.6	1.81	3.12	1.64	1.05	0.97	1.6	1.12	1.5
blastnGorilla.Locus_294731	0	0	0	0	0	0	0	0	0
ENSPPYG00000008500	39.01	46.52	18.72	11.89	16.2	37.66	38.58	28.53	62.93
blastnMacaque.Locus_72774	0	0	0	0	0	0	0	0	0
ENSPPYG00000010084	4.16	4.96	8.95	4.32	7.67	4.5	8.14	5.76	7.54
ENSPPYG00000010926	26.12	37.31	1.07	10.56	25.99	9.14	8.56	10.43	17.14
blastnPan.Locus_177320	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000230696	0	0	0	0.51	0	0	0	0.73	0
ENSPPYG00000002611	0.54	0	0.38	0.41	0	10.98	13	106.72	85.31
ENSPPYG00000011592	18.01	23.8	13.96	12.06	15.05	21.12	18.42	17.06	24.89
ENSPPYG00000005092	26.08	31.19	23.35	25.52	23.33	32.94	33.19	49.59	37.18
ENSPPYG00000012189	0	0	0	0.97	0	74.37	0.21	48.17	0.52
ENSPPYG00000014715	0.06	0	0.03	0.19	0.1	0.42	0.21	0.81	1.02
blastnPan.CUFF.442366	0.19	0.77	0	0	0	0.57	0.21	0	0
Locus_58266	0	0	0.65	0	0	0	0	0	0.72
blastnGorilla.Locus_439476	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_61664	0	1.15	0	0	0	0	0	0	0
