ENSEMBL ID	hM1	hM2	hM3	hM4	hM5	hM6
ENSG00000101307	0.0	0.0	10.1016	0.0	0.0	0.0
ENSG00000101310	8.68988	11.8395	37.1995	10.8769	10.7665	5.7560400000000005
ENSG00000101311	0.9281719999999999	0.0	0.645662	0.0	0.0	2.28357
ENSG00000101321	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101323	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101327	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101331	7.690110000000001	12.3824	47.2535	6.58585	24.0842	11.0366
ENSG00000101333	4.29594	6.571330000000001	16.4361	4.04697	7.49591	12.1546
ENSG00000101335	263.203	124.315	6020.04	198.36	178.993	423.069
ENSG00000101336	2.18361	7.031969999999999	78.9869	2.80508	7.3272	4.02923
ENSG00000101337	45.9095	54.4689	93.0064	85.5321	36.7561	28.733
ENSG00000101342	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101343	47.256	44.083999999999996	73.0501	70.6624	31.2105	39.6772
ENSG00000101346	41.6031	52.6334	68.9053	79.7413	13.2953	7.3111
ENSG00000101347	25.9179	32.6599	93.2814	80.0993	22.6874	34.6551
ENSG00000101349	0.0	0.0	0.0	0.612464	0.0	0.0
ENSG00000101350	6.8715	3.3192800000000005	32.982	10.0041	8.30075	9.29822
ENSG00000101353	12.2951	13.857999999999999	13.0003	11.372	11.2218	8.46985
ENSG00000101361	98.0857	146.196	260.01599999999996	342.816	94.2916	148.379
ENSG00000101363	28.9007	209.408	341.77	123.75399999999999	116.37299999999999	142.208
ENSG00000101365	289.848	309.741	243.218	602.203	298.322	206.25799999999998
ENSG00000101367	104.09200000000001	115.648	311.35900000000004	149.763	78.2396	120.365
ENSG00000101384	9.415389999999999	13.7822	112.53399999999999	14.6607	37.9125	33.1674
ENSG00000101391	44.8868	69.3254	54.165	87.0814	76.232	56.3441
ENSG00000101400	2582.38	1426.33	750.7239999999999	1224.73	1246.95	683.4069999999999
ENSG00000101405	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101407	31.7616	41.5525	48.3312	62.0519	29.9749	29.914
ENSG00000101412	3.09001	2.48772	12.897	5.29261	2.0737400000000004	11.4035
ENSG00000101413	51.805	65.9247	68.5866	88.7323	26.9163	34.9474
ENSG00000101417	9.95903	24.0536	34.6389	38.3804	26.7344	18.3766
