TNMD	27
TPP2	230	
KDELC1	10	
ARHGAP32	87	
STT3A	248	
ADAMTS8	42	
ACRV1	1	
ETS1	351	
SLC37A2	4	
KLB	91	
TMED7	202	
APC	182	
NREP	222	
WDR36	68	
OSTF1	92	
RFK	117	
UBQLN1	538	
NAA35	69	
ANXA1	1309	
TMEM2	150	
AGTPBP1	93	
GOLM1	211	
FAM189A2	286	
PSAT1	9	
ISCA1	307	
ADAM19	97	
HAVCR2	21	
CCNJL	18	
TAOK3	146	
USP30	81	
SDS	1	
MSI1	3	
HNF1A	13	
FBXO21	234	
TBX3	150	
OASL	63	
HRK	4	
RNFT2	3	
P2RX4	36	
CCDC64	33	
DTX1	49	
TRAFD1	124	
DMTF1	247	
OCM2	0	
TMEM243	36	
CCDC146	23	
TMEM60	33	
CD36	2067	
UGT2A3	0	
CSN2	0	
PNPLA8	209	
HILPDA	22	
FAM71F1	1	
RINT1	110	
SRPK2	149	
TES	185	
MDFIC	259	
BAI3	8	
ANKRD6	66	
HTR1B	3	
CEP162	40	
SYNCRIP	466	
SNX14	107	
NT5E	95	
MRAP2	10	
EPHA7	7	
AKIRIN2	284	
ORC3	84	
LCA5	24	
MAP3K7	151	
CGA	0	
GJA10	0	
PRR5L	13	
LMO2	145	
PHF21A	186	
NAT10	147	
EHF	4	
ELF5	0	
PRRG4	54	
CAPRIN1	497	
ATP5G2	951	
DNAJC14	58	
CD63	1339	
PRPH	5	
AVIL	116	
AMHR2	3	
LACRT	0	
GDF11	21	
GLS2	9	
ITGA7	1997	
TESPA1	7	
FAM186B	3	
KRT85	0	
CDK4	178	
PPP1R1A	1422	
TROAP	1	
TSPAN31	233	
B4GALNT1	86	
TFCP2	159	
COQ10A	371	
FAIM2	57	
ESPL1	0	
KRT7	430	
ZC3H10	28	
HNRNPA1	1242	
ACVR1B	170	
OS9	712	
MIP	6	
KCNH3	3	
LTV1	70	
MAP7	16	
CD164	1061	
LACE1	12	
NHSL1	34	
AHI1	62	
HEY2	61	
PKIB	5	
TAAR5	0	
NMBR	0	
SMPD2	18	
MICAL1	224	
REPS1	109	
STX11	67	
TEC	7	
PRADC1	117	
SEMA4F	31	
CCT7	735	
EGR4	0	
RAB11FIP5	149	
SMYD5	108	
DYSF	1056	
CCDC142	13	
EMX1	26	
KCNMB4	25	
USP15	354	
GNS	659	
CPM	153	
MDM2	236	
KLHL36	199	
BCO1	0	
MPHOSPH6	43	
CHST5	0	
KIAA0513	76	
DYNC1LI2	635	
FBXL8	17	
FHOD1	462	
CCDC102A	17	
SLC9A5	70	
ZNF670	6	
PCNXL2	36	
KCNK1	8	
URB2	47	
EGLN1	810	
CAPN9	1	
COG2	99	
ABCB10	90	
NTPCR	197	
TAF5L	104	
GLUL	2821	
STX6	92	
RGS8	2	
RNASEL	34	
DHX9	388	
KIAA1614	49	
CEP350	225	
NPL	24	
FAM129A	1545	
PIGC	52	
LAMC1	989	
RC3H1	233	
GPR55	0	
MRPL44	80	
CHRND	97	
PAX3	8	
DOCK10	71	
TTLL4	47	
USP37	48	
HTR2B	6	
ITM2C	149	
SLC19A3	173	
SERPINE2	67	
DNAJB2	384	
WNT10A	2	
TMBIM1	1137	
CYP27A1	141	
EIF4E2	270	
ARMC9	13	
CAB39	939	
COX5B	822	
REV1	216	
TSGA10	14	
MFSD9	32	
TMEM127	304	
EDAR	0	
TGFBRAP1	113	
GCC2	119	
MRPS9	124	
GPR45	0	
C2orf49	108	
EPC2	140	
ARHGEF4	54	
ISCU	567	
ALDH1L2	44	
STAB2	23	
USP44	0	
SCYL2	144	
CKAP4	161	
PLXNC1	100	
APPL2	145	
PWP1	138	
DRAM1	39	
KIAA1033	225	
SLC41A2	18	
VILL	19	
FLNB	701	
NEK3	36	
PCDH8	1	
VPS36	239	
RNASEH2B	41	
CKAP2	38	
LECT1	0	
TBC1D4	826	
THSD1	34	
BORA	24	
LRCH1	53	
SUCLA2	497	
RCBTB1	73	
MED4	131	
PHF11	115	
COG3	85	
LMO7	386	
SCEL	0	
ITM2B	2000	
SPRY2	113	
NUDT15	50	
EDNRB	75	
RCBTB2	94	
LCP1	381	
SETDB2	47	
SCRN1	290	
C7orf25	3	
TNS3	337	
CHST12	54	
IGF2BP3	2	
GPNMB	997	
RAPGEF5	110	
RAC1	955	
NUPL2	69	
IL6	330	
ZDHHC4	126	
AOAH	23	
BZW2	682	
DGKB	10	
TBRG4	179	
DDX56	186	
HUS1	52	
NACAD	47	
DBNL	658	
CCM2	226	
MYO1G	27	
TTYH3	105	
MMD2	0	
CIDEB	180	
TTC5	30	
NKX2-8	0	
NKX2-1	0	
ZFHX2	20	
ADAMTS7	18	
ABHD17C	14	
IREB2	191	
ALPK3	2446	
TM6SF1	134	
CIB2	27	
CALCOCO2	548	
RSAD1	163	
NMT1	319	
MYCBPAP	8	
SRSF1	417	
VEZF1	421	
CHAD	12	
TACO1	72	
TEX2	292	
DCAF7	192	
GH2	0	
LIMD2	110	
BRIP1	3	
RTP4	15	
ACTL6A	88	
NDUFB5	311	
MRPL47	75	
TRA2B	605	
SCN2A	19	
TBR1	1	
MARCH7	516	
ERMN	10	
GALNT5	0	
SCN7A	57	
TANK	142	
BLK	1	
GATA4	0	
SKIL	315	
EPRS	402	
HLX	38	
VPS45	168	
IL10	1	
KCTD3	164	
RPS6KC1	110	
CBWD2	41	
IL36G	0	
IL1RN	34	
IL36A	0	
IL36RN	0	
IL1F10	0	
WDR33	242	
CCDC115	91	
SAP130	87	
BIN1	3791	
IMP4	142	
HS6ST1	196	
UGGT1	225	
GYPC	312	
STAM	79	
GAD2	0	
ABI1	170	
YME1L1	595	
DNAJC1	59	
NIPSNAP3A	67	
LRRC8A	174	
CDK9	174	
TXN	189	
ODF2	90	
KIAA0368	1073	
TOR1B	83	
SMC2	61	
KLF4	1020	
TOR1A	80	
RALGPS1	110	
FAM129B	279	
ST6GALNAC4	52	
TMOD1	1062	
DAB2IP	649	
STXBP1	209	
SLC2A8	66	
ANGPTL2	470	
CDK5RAP2	424	
ZFP37	13	
SLC31A2	54	
SLC31A1	109	
TLR4	86	
ZNF189	75	
ALDOB	2	
STX17	61	
PRPF4	87	
FPGS	146	
USP20	133	
BAAT	3	
KIF12	16	
ATP6V1G1	250	
TEX10	93	
GARNL3	53	
MRPL50	73	
DPM2	55	
WDR38	0	
TSTD2	512	
GABBR2	0	
HEMGN	1	
PSMB7	259	
RABEPK	56	
GOLGA1	126	
XPA	59	
NCBP1	123	
ANP32B	260	
OR1L4	0	
PDCL	53	
RPL35	1012	
CTSV	0	
LMX1B	3	
ARPC5L	156	
ENPP2	109	
DSCC1	13	
DERL1	294	
MYC	638	
NOV	201	
IL33	153	
RANBP6	108	
POLR1E	57	
PLAA	177	
IL11RA	83	
UBAP2	282	
APTX	45	
RNF38	235	
TLN1	2620	
CCL21	177	
SIT1	0	
IFNA21	0	
DMRT1	0	
DNAJB5	384	
SPAG8	30	
DCTN3	197	
CD72	93	
TMEM8B	206	
GRHPR	294	
ALDH1B1	272	
HINT2	93	
ARHGEF39	93	
IGFBPL1	1	
DENND4C	133	
RPS6	2129	
CNPY3	80	
FOXP4	134	
PPIL1	57	
KLC4	129	
KIF13A	674	
PIM1	322	
GMPR	437	
TFAP2A	17	
SLC22A7	1	
YIPF3	260	
TMEM14B	121	
TMEM63B	183	
FRS3	30	
TJAP1	164	
CAPN11	10	
TINAG	0	
HCRTR2	0	
KIAA0319	6	
IRF4	6	
SLC22A23	98	
LRRC1	32	
GCM1	0	
FOXF2	6	
BPHL	67	
RIPK1	210	
TUBB2B	18	
UQCC2	107	
HMGA1	222	
PGBD1	19	
TPMT	71	
CLPS	0	
RNF144B	306	
MTCH1	509	
TAF8	91	
FAM8A1	210	
C6orf52	1	
FGFBP1	2	
FGFBP2	18	
CPEB2	163	
FHDC1	71	
TLR2	63	
MGARP	3	
TTC29	1	
MYO7A	33	
FCHSD2	144	
ARRB1	132	
SLCO2B1	54	
PRKRIR	212	
ANKRD42	59	
IL18BP	206	
NUMA1	1358	
CCDC90B	114	
SYTL2	197	
RAB30	125	
CREBZF	215	
LRRC32	404	
PRCP	320	
NARS2	77	
RNF121	87	
MRPL15	204	
PI15	7	
TTPA	7	
GGH	5	
SLCO5A1	107	
SULF1	280	
TGS1	78	
SDCBP	747	
NEK1	89	
DDX60	78	
NXPE4	0	
SORL1	495	
TMPRSS4	2	
BUD13	71	
TRPC6	28	
MMP7	5	
MMP20	0	
MMP27	3	
DCUN1D5	56	
YAP1	765	
TRIM29	5	
BTG4	0	
POU2F3	0	
RDX	619	
PPP2R1B	160	
FDX1	91	
C11orf1	21	
FXYD6	183	
ARHGAP20	24	
MMP13	0	
TMPRSS13	2	
CASP1	81	
CASP5	2	
ALKBH8	28	
MAP2K5	66	
UNC13C	63	
SQRDL	81	
CTDSPL2	82	
SLTM	318	
THBS1	2058	
NUSAP1	21	
NDUFAF1	98	
KIF23	15	
ITGA11	59	
CASC5	4	
HAUS2	76	
RTF1	327	
PARP6	267	
PAQR5	72	
LRRC49	26	
TUBGCP4	100	
ITPKA	6	
UACA	1177	
SMAD6	62	
PLCB2	128	
TMEM62	61	
ADAM10	185	
DUOX1	12	
SLC28A2	1	
STRA6	0	
CYP19A1	2	
ZNF280D	201	
SEMA6D	119	
BCL2L10	2	
RSL24D1	262	
SPTBN5	42	
GCOM1	3	
GCHFR	24	
BCAR3	87	
TTLL7	108	
FNBP1L	157	
CCBL2	49	
GTF2B	94	
BRDT	0	
RABGGTB	159	
IFI44L	218	
GIPC2	28	
ARHGAP29	235	
IFI44	176	
SLC44A5	1	
CLCA2	1	
DNASE2B	1	
DBT	103	
RTCA	108	
IFT172	121	
EPT1	66	
CGREF1	14	
HADHB	1835	
KHK	29	
ADCY3	172	
PPM1B	460	
PNPT1	125	
DYNC2LI1	32	
THUMPD2	42	
CYP1B1	109	
SULT6B1	2	
RAB1A	384	
ACTR2	535	
PREB	276	
SLC5A6	153	
ABCG5	0	
PREPL	204	
SLC3A1	74	
EMILIN1	115	
FBXO11	257	
SIX3	0	
ATRAID	251	
CENPO	90	
LRPPRC	777	
TRIM54	1272	
DTNB	20	
ACTR1A	539	
CYP2C9	1	
TMEM180	10	
CYP2C8	1	
MYOF	270	
LOXL4	71	
STAMBPL1	17	
CH25H	37	
LBX1	16	
ATAD1	272	
BTBD16	2	
KIF11	1	
CUZD1	1	
TACC2	2188	
DUSP5	118	
CALHM2	91	
ARL3	50	
CEP55	2	
KIF20B	12	
ENTPD1	274	
EXOC6	136	
PLCE1	125	
RBP4	328	
DBR1	39	
DNAJC13	246	
GPR87	2	
ANXA7	637	
FAM149B1	153	
ASCC1	82	
PLA2G12B	1	
ZNF365	1	
OIT3	1	
ADAMTS14	4	
RPS24	1837	
TET1	10	
DNA2	14	
MYPN	1829	
AOX1	118	
ATIC	131	
SMARCAL1	73	
BARD1	30	
MSTN	24	
ASNSD1	196	
METTL5	178	
SSB	258	
NAB1	156	
CDK15	9	
PPIG	236	
FASTKD1	96	
MDH1B	3	
HECW2	28	
IDH1	233	
OLA1	228	
CIR1	134	
SSFA2	366	
CHRNA1	64	
FAM117B	21	
WDR12	67	
ABI2	263	
ITGAV	321	
SLC40A1	462	
SLC35A5	105	
DIRC2	100	
SENP7	112	
GUCA1C	0	
CCDC54	0	
COX17	128	
PARP9	183	
MNS1	6	
USP8	182	
SECISBP2L	300	
TMOD3	135	
SPPL2A	197	
GLCE	70	
SHF	14	
APH1B	46	
VWA9	73	
CILP	531	
PARP16	45	
PPCDC	24	
HCN4	0	
SEMA7A	22	
UBL7	198	
ARHGAP24	125	
HERC6	73	
HERC5	83	
PCDH10	19	
NDST4	0	
AP1AR	93	
COPS4	248	
HNRNPD	523	
PRKG2	3	
RASGEF1B	96	
SEC31A	611	
FGF5	2	
AGPAT9	184	
IL21	0	
FGF2	88	
BBS7	50	
KIAA1109	422	
BMPR1B	18	
RAP1GDS1	79	
LARP1B	88	
MMRN1	126	
PDE5A	285	
PRDM5	19	
TRPC3	5	
NAAA	66	
NUP54	113	
CXCL9	20	
BMP2K	93	
G3BP2	613	
SEPT11	248	
FRAS1	23	
SCARB2	868	
CCNG2	227	
CNOT6L	122	
USO1	1026	
CDKL2	10	
SHROOM3	58	
ANXA3	91	
PPA2	103	
CENPE	5	
GSTCD	18	
INTS12	96	
ENPEP	39	
LEF1	20	
HADH	740	
EGF	287	
PAPSS1	80	
SEC24B	225	
C4orf17	0	
PPP3CA	353	
SLC39A8	38	
MTTP	5	
FBN2	2	
MAPK8IP3	280	
RGS3	238	
GUCD1	570	
RNF185	244	
KIAA1644	1	
PARVG	68	
B4GALNT3	131	
PDE6H	0	
ERP27	259	
ETV6	130	
GABARAPL1	1161	
CPNE8	45	
YARS2	33	
FGD4	117	
ALG10	10	
PIK3C2G	13	
PLCZ1	0	
AEBP2	100	
SLCO1C1	4	
METTL20	40	
ETNK1	122	
ZCRB1	161	
TMEM117	21	
PRICKLE1	49	
C1RL	119	
NDUFA9	109	
CLSTN3	75	
KLRG1	7	
VAMP1	67	
TAPBPL	89	
CD27	25	
RBP5	5	
PEX5	256	
SLC38A4	81	
AMIGO2	138	
SCAF11	267	
COL2A1	1	
PPFIA2	16	
LLPH	39	
LRIG3	113	
MARCH9	30	
INHBE	2	
GLIPR1	140	
TPH2	0	
PHLDA1	137	
TMEM19	112	
LGR5	188	
PTPRQ	11	
DUSP6	143	
POC1B	49	
TMTC3	57	
LUM	387	
KERA	0	
SNRPF	78	
AMDHD1	3	
NEDD1	152	
SYCP3	18	
GAS2L3	21	
TMEM132B	2	
SLC15A4	134	
SDSL	15	
MMAB	90	
GLTP	178	
GIT2	188	
TCHP	197	
FAM222A	39	
FOXN4	1	
NUPL1	189	
MTMR6	148	
SLC46A3	46	
SLC7A1	56	
PDX1	0	
LNX2	64	
SUOX	169	
CCDC65	7	
SLC39A5	3	
TARBP2	46	
RDH16	1	
ACVRL1	154	
GPR84	2	
NPFF	0	
N4BP2L1	66	
CELA1	1	
SMARCC2	477	
BRCA2	3	
KANSL2	125	
CERS5	113	
MAP3K12	114	
ITGB7	28	
GALNT6	10	
CSAD	207	
LMBR1L	142	
ESYT1	630	
TMBIM6	2423	
ANKRD52	317	
KRT71	0	
ZNF740	129	
SMIM2	2	
WDFY2	29	
HNRNPA1L2	8	
LPAR6	50	
ESD	314	
RB1	211	
SBNO1	196	
MORN3	0	
SETD1B	243	
VPS33A	35	
RHOF	117	
DENR	229	
DIAPH3	0	
SLAIN1	15	
RBM26	208	
SRRM4	2	
METTL21C	79	
MBNL2	436	
RNF113B	0	
ZIC5	0	
ABHD13	54	
RAB20	47	
GRTP1	34	
CUL4A	798	
TTC6	0	
SSTR1	20	
CDH24	39	
REM2	19	
CBLN3	27	
TSSK4	5	
NOVA1	76	
FITM1	170	
MDGA2	0	
TMX1	92	
FRMD6	67	
PELI2	85	
RTN1	35	
SYT16	0	
SLC38A6	27	
NAA30	178	
ADAM21	1	
RDH12	2	
DCAF5	529	
RAB15	113	
WDR89	33	
ESR2	12	
KCNH5	0	
STON2	19	
EFCAB11	7	
GPR65	19	
PTGR2	66	
JDP2	142	
AK7	2	
FAM181A	13	
SLC24A4	9	
FBLN5	411	
SERPINA10	1	
WARS	493	
SLC25A47	1	
WDR20	92	
NIPA2	148	
SLC12A6	81	
DUOXA1	1	
MFAP1	85	
TCF12	229	
SORD	21	
SERF2	803	
ZSCAN29	71	
DUOXA2	0	
DUOX2	5	
LYSMD2	56	
SLC27A2	1	
FGF7	123	
HDC	10	
GCNT3	1	
BNIP2	298	
GTF2A2	99	
SRP14	628	
BAHD1	143	
DISP2	0	
CDAN1	77	
TLE3	226	
ANP32A	367	
COMMD4	102	
UBE2Q2	209	
PSTPIP1	30	
ETFA	511	
BCL2A1	31	
HMG20A	170	
SCAPER	97	
TSPAN3	1038	
WDR61	211	
NCOA2	159	
NEIL1	93	
MAN2C1	657	
DNAJA4	1536	
MESDC1	89	
TPM1	6980	
IGF1R	314	
ARRDC4	248	
PIF1	2	
USP3	103	
BBS4	74	
PML	270	
CYP1A1	3	
ADAMTS17	20	
LINS	50	
ULK3	219	
PCSK6	66	
CCDC33	0	
SCAMP2	200	
CYP1A2	0	
LMAN1L	0	
HAPLN3	86	
RHCG	965	
POLG	259	
RLBP1	0	
FANCI	55	
ABHD2	488	
WDR93	1	
TICRR	14	
NTRK3	124	
DET1	54	
MFGE8	1034	
ZNF710	108	
UNC45A	218	
ST8SIA2	2	
MCTP2	15	
FURIN	433	
IQGAP1	780	
CRTC3	258	
EFTUD1	82	
SH3GL3	0	
SEPT12	1	
GLYR1	197	
PMM2	35	
SLC5A2	130	
ITGAX	311	
TGFB1I1	183	
ARMC5	102	
PARN	110	
FTO	103	
UQCRC2	1365	
CDR2	83	
IGSF6	26	
ARHGAP17	180	
MYLK3	87	
ABCC12	7	
NKD1	29	
DHX38	298	
TXNL4B	76	
MARVELD3	10	
CHST4	1	
ZFHX3	299	
CPNE2	139	
KATNB1	55	
KIFC3	84	
ADAMTS18	6	
NUDT7	28	
GCSH	86	
CMTM3	84	
CMTM2	27	
CDH11	81	
MAP1LC3B	978	
MBTPS1	355	
CDH13	436	
ZCCHC14	212	
TLDC1	28	
ADAD2	0	
OSGIN1	130	
IRF8	37	
RHOT2	292	
RPL3L	1752	
ZSCAN32	45	
NDUFB10	667	
PDPK1	293	
TIGD7	30	
DEF8	227	
TCF25	349	
GALNS	68	
GAS8	108	
MED9	71	
NCOR1	458	
COPS3	278	
GID4	177	
ZNF287	16	
MYOCD	72	
RANBP10	200	
CTRL	10	
DPEP3	8	
GFOD2	66	
NOB1	76	
PRPSAP2	48	
UNC45B	849	
PCTP	47	
OR4D1	0	
TOM1L1	58	
KIF2B	0	
TOB1	851	
VPS53	168	
SPATA22	1	
SGSM2	311	
NPEPPS	674	
SKAP1	5	
LRRC46	5	
SCRN2	141	
SSH2	573	
RHBDL3	4	
ARSG	91	
ABCA8	393	
G6PC3	105	
CLTC	621	
C17orf64	0	
BCAS3	85	
PTRH2	53	
SS18	180	
TAF4B	28	
AFG3L2	580	
SLMO1	6	
IMPA2	437	
GNAL	205	
SLC39A6	103	
RPRD1A	258	
GALNT1	211	
ASXL3	6	
MEP1B	1	
SLC25A52	0	
GAREM	51	
ESCO1	100	
OSBPL1A	609	
GATA6	30	
GREB1L	61	
C18orf8	89	
PELP1	232	
NPC1	189	
SLC14A1	21	
ARRB2	205	
SLC13A5	0	
ZMYND15	6	
WRAP53	20	
MINK1	302	
SAT2	178	
ASGR1	3	
PIK3R5	55	
TP53	81	
CCDC40	24	
ARHGDIA	475	
TMC6	92	
SLC16A3	128	
CARD14	16	
TTYH2	91	
RAB40B	129	
EIF4A3	250	
CSNK1D	647	
ANAPC11	187	
TBCD	171	
FN3KRP	110	
NARF	219	
RPTOR	207	
FOXK2	239	
TRIM65	77	
CBX8	14	
SECTM1	66	
RNF157	404	
CEP131	51	
ZNF750	0	
CBX4	70	
RNF165	20	
DYM	170	
MAPK4	49	
ELAC1	23	
MBD1	254	
SMAD4	306	
TNFRSF11A	10	
ZCCHC2	214	
FBXO15	0	
CBLN2	0	
P3H4	35	
NT5C3B	69	
FAM134C	247	
ERBB2	377	
GRB7	18	
MIEN1	76	
PNMT	39	
ARL5C	1	
STAC2	113	
IGFBP4	781	
FKBP10	114	
TXNL4A	137	
CACNA1A	29	
SAMD1	114	
BRD4	406	
SLC39A3	50	
NFIC	1631	
PPAP2C	6	
ZIM3	0	
PRDM15	40	
PFKL	297	
FEM1A	2619	
VAV1	42	
MVB12A	51	
CIB3	1	
SH3GL1	142	
DUS3L	61	
DPP9	302	
DMRTC2	0	
CCDC97	132	
TMEM91	21	
ZFP14	28	
IFITM3	1143	
HUNK	2	
COL6A1	1834	
IFNAR1	246	
SOD1	563	
COL6A2	2358	
SIK1	784	
TRPM2	12	
SCYL1	387	
APP	1651	
DOPEY2	96	
AKT1	512	
IL19	1	
EMP3	134	
SAE1	156	
NTN5	4	
LMTK3	11	
GEMIN7	38	
CBLC	3	
WTIP	283	
ADAMTS10	110	
SLC6A3	2	
RNPEPL1	333	
CAPN10	56	
NLRP12	30	
CACNG8	4	
FBN3	109	
CARM1	450	
EVI5L	106	
TM4SF5	0	
SLC47A1	64	
PSMB6	261	
GPR32	0	
SIGLEC10	20	
ACPT	0	
KLK3	47	
ZNF473	56	
FAM71E1	30	
RPL13A	2591	
CTU1	12	
NOSIP	210	
IGLON5	1	
RCN3	107	
ZNF614	28	
SLC2A5	92	
RERE	1059	
MMEL1	11	
PRDM16	94	
CELA2A	0	
PADI3	0	
FHAD1	0	
PADI1	0	
EPHA2	82	
ARHGEF19	5	
PEX14	83	
PGD	254	
MYOM3	2092	
SH3BGRL3	298	
RPL11	1501	
IL22RA1	1	
ZNF593	37	
KIAA0319L	344	
EVA1B	45	
C1orf94	0	
DMRTA2	0	
PLK4	6	
MAP3K6	150	
FCN3	2	
GPN2	101	
SYTL1	19	
WDTC1	494	
CELA3A	0	
NBPF3	22	
ITGB3BP	211	
SERBP1	1342	
BCL10	59	
CYR61	2273	
PRKACB	126	
PIGK	101	
TINAGL1	704	
AZIN2	18	
RPS8	1977	
KIF2C	3	
PTPRF	562	
BEST4	0	
MOB3C	147	
CYP4B1	97	
TMEM61	10	
DMRTB1	0	
LMO4	237	
SYPL2	1042	
BARHL2	0	
MTF2	56	
SLC44A3	21	
IGSF3	41	
ZNF697	42	
CTTNBP2NL	60	
STRIP1	117	
KCNA10	0	
PSMA5	126	
FNDC7	2	
CD53	96	
PROK1	0	
CELSR2	148	
ITGA10	27	
ALDH9A1	296	
ATP1B1	1278	
TIPRL	74	
NME7	143	
POGK	105	
CREG1	314	
DCAF6	2083	
GPA33	5	
RXRG	66	
TBX19	8	
UCK2	36	
TMCO1	147	
POU2F1	84	
MAEL	1	
ILDR2	3	
DPT	802	
MGST3	653	
ADCY10	2	
RFWD2	114	
PVRL4	0	
UFC1	177	
PPOX	42	
FCGR2A	181	
NUF2	1	
SDHC	401	
PFDN2	111	
NR1I3	20	
USP21	111	
F13B	0	
PRCC	174	
FCRL5	1	
RRNAD1	76	
MRPL24	157	
PIGM	30	
CASQ1	5622	
ISG20L2	92	
CRABP2	15	
HDGF	693	
ABL2	97	
XPR1	74	
RGS16	340	
TOR1AIP1	469	
FAM163A	0	
HMCN1	82	
RGL1	104	
LYPLAL1	97	
LHX9	82	
RORC	367	
TUFT1	40	
SF3B4	128	
ECM1	90	
ZNF687	95	
TARS2	123	
CGN	21	
SNX27	212	
SETDB1	151	
ADAMTSL4	573	
MCL1	4760	
CTSK	122	
RFX5	165	
PI4KB	291	
PIP5K1A	224	
ANP32E	227	
FAM63A	151	
ANXA9	39	
SELENBP1	480	
ENSA	846	
SEMA6C	1125	
MRPL9	135	
ARNT	306	
POGZ	473	
OAZ3	24	
HORMAD1	1	
GOLPH3L	94	
GABPB2	137	
SYT14	1	
KCNH1	0	
DTL	1	
DYRK3	26	
EIF2D	199	
INTS7	56	
VASH2	9	
TAF1A	13	
SMYD2	177	
SUSD4	7	
DUSP10	75	
HHIPL2	0	
TP53BP2	145	
ATP8B2	212	
FLG2	0	
CRNN	0	
ADAM15	400	
JTB	295	
RAB13	168	
S100A8	451	
TPM3	9712	
NUP210L	6	
SNAPIN	135	
S100A7	0	
UBAP2L	422	
SLC39A1	230	
HAX1	321	
CREB3L4	34	
EFNA3	3	
AQP10	0	
KCNN3	67	
C1orf43	907	
ILF2	277	
RIT1	104	
FLG	3	
ACTA1	96656	
GALNT2	407	
TTC13	55	
SCCPDH	178	
LYST	200	
CEP170	103	
ACP1	196	
SNAP47	136	
SRP9	505	
DEGS1	120	
FBXO28	155	
ARF1	1140	
LEFTY2	3	
CNIH4	116	
ITPKB	265	
GUK1	441	
CNIH3	10	
C1orf35	44	
MBOAT2	60	
PARP1	351	
PSEN2	129	
LBR	168	
WNT9A	136	
EPHX1	664	
REN	0	
SOX13	148	
ETNK2	23	
PLEKHA6	103	
PTPN7	7	
SYT2	20	
ARL8A	133	
OSR1	46	
GDF7	3	
PDIA6	416	
RHOB	2320	
ATP6V1C2	229	
HNRNPLL	124	
GALM	55	
CAMKMT	18	
ABCG8	1	
EML4	69	
CHAC2	9	
RPS27A	1247	
WDPCP	67	
VPS54	106	
REG3G	0	
ASXL2	172	
ETAA1	29	
SNRPG	85	
ABHD1	16	
MEIS1	72	
TRIM43	0	
CIAO1	264	
ZNF514	65	
SNRNP200	754	
MRPS5	168	
ANKRD53	4	
TPRKB	57	
NAT8	0	
EXOC6B	132	
SFXN5	66	
TEX261	342	
DQX1	5	
DUSP11	38	
ST6GAL2	4	
NPHP1	150	
MALL	77	
THNSL2	106	
RALB	212	
C1QL2	0	
TMEM177	10	
NT5DC4	3	
SLC20A1	204	
FBLN7	32	
ZC3H8	65	
LIPT1	21	
CNGA3	0	
FAHD2B	35	
LYG1	4	
AFF3	42	
UBXN4	406	
NXPH2	0	
SPOPL	94	
THSD7B	30	
GPR17	15	
POLR2D	75	
AMMECR1L	121	
GALNT13	5	
PKP4	231	
SCN1A	4	
SLC4A10	1	
SCRN3	120	
KIAA1715	158	
ZNF385B	83	
TMEFF2	1	
CDCA7	13	
DLX1	1	
PHOSPHO2	2	
GULP1	90	
CCDC150	2	
METTL21A	67	
UNC80	12	
PTH2R	1	
CPO	2	
NBEAL1	50	
KANSL1L	132	
SPAG16	37	
ABCA12	1	
SUMF1	109	
NYAP2	0	
RHBDD1	81	
TRPM8	0	
ANKMY1	91	
COPS7B	112	
DIS3L2	77	
CPNE9	1	
FANCD2	5	
TAMM41	33	
VGLL4	251	
RAB5A	257	
FAM134A	285	
CTDSP1	479	
RQCD1	173	
MARCH4	1	
STK11IP	57	
GMPPA	80	
EAF1	93	
CNTN4	43	
DYNC1LI1	158	
RBMS3	198	
GADL1	63	
OSBPL10	36	
POMGNT2	75	
ACKR2	11	
FAM198A	20	
CSRNP1	1337	
SLC25A38	136	
ITGA9	177	
SLC22A14	1	
GOLGA4	739	
CTDSPL	261	
STAC	14	
IQSEC1	464	
CAND2	666	
RPL32	2222	
PTPRG	219	
IL17RD	29	
SHQ1	51	
SLC25A26	196	
UBA3	181	
ARL6IP5	892	
TMF1	148	
LRIG1	526	
LRTM1	1	
LIMD1	275	
ZNF660	7	
NFKBIZ	1099	
COL8A1	128	
NXPE3	315	
GPR128	0	
MYH15	1	
PHLDB2	315	
ABHD10	103	
TAGLN3	1	
PLA1A	25	
RABL3	109	
ADPRH	58	
IGSF11	12	
ATG3	138	
NR1I2	0	
BOC	174	
SRPRB	83	
TMEM108	65	
AGTR1	73	
MED12L	10	
EIF2A	273	
OSBPL11	288	
TRPC1	33	
NCEH1	60	
SPATA16	0	
LPP	940	
TMEM44	40	
KIAA0226	156	
AMT	148	
TCTA	164	
NICN1	120	
VPRBP	229	
MANF	43	
CCDC39	54	
STXBP5L	1	
EAF2	4	
ILDR1	25	
SLIT2	134	
EIF2B5	250	
AHSG	0	
ECE2	5	
VWA5B2	6	
FIP1L1	123	
SLC26A1	20	
LYAR	41	
EPHA5	3	
CORIN	3	
ATP10D	84	
OCIAD2	14	
SLC10A4	0	
SLC10A6	4	
SCD5	19	
PLAC8	3	
ENOPH1	79	
CABS1	0	
GC	0	
TRMT10A	21	
KLHL8	108	
SNCA	32	
PYURF	201	
TBCK	74	
CAMK2D	327	
CISD2	62	
DDIT4L	505	
ANK2	400	
TIFA	38	
SPATA5	29	
FABP2	0	
CCNA2	14	
METTL14	66	
USP53	241	
SETD7	858	
NAF1	62	
MARCH1	28	
SFRP2	148	
RPS3A	1763	
RNF175	6	
PDGFC	98	
CBR4	149	
GLRA3	0	
CYP4V2	98	
ROPN1L	5	
NDUFS6	167	
