TNMD	27
SMARCE1	166	
FNDC8	1	
GSDMB	52	
KDM5A	172	
ADAM11	5	
PPP2R3A	804	
FERMT2	530	
ABCB11	1	
DHRS9	14	
CD5L	0	
PTGS2	415	
IGF2BP2	47	
MAP3K13	68	
TBX21	2	
FRY	237	
PICALM	1072	
NSF	113	
GLI2	24	
CLASP1	445	
MRPS34	168	
NOTCH3	1634	
CLNS1A	143	
PPP2R2C	24	
TEAD2	103	
CDHR2	0	
SNCB	3	
TSG101	192	
ATP2A3	220	
CA12	1610	
MGLL	1033	
NTN4	205	
BCS1L	95	
NUAK1	245	
DPP8	247	
SLC24A1	56	
ZNF532	463	
SCARF1	105	
LMAN1	425	
PTPLAD1	195	
ZZEF1	328	
NOX3	0	
ENO1	780	
SLC12A1	4	
ANO8	99	
TUBE1	68	
ARHGEF10L	425	
TXK	2	
WSCD2	10	
KCNQ2	2	
TACR2	7	
ACTR6	79	
TIPIN	8	
SRI	191	
EIF4G3	379	
NUP37	38	
SEMA3A	9	
GTSE1	3	
SEMA3C	272	
TTC38	88	
ACAT1	1336	
GRAMD4	153	
CELSR1	40	
WNT8B	1	
ZNF638	413	
SLC25A40	64	
TIMM21	129	
ADD2	16	
FGF4	0	
RASAL2	135	
VPS9D1	85	
ZNF37A	106	
MARK3	333	
SLC25A3	1937	
FNDC3B	219	
FOSL2	1771	
CACNG5	0	
CACNG4	0	
FRYL	171	
TMEM131	299	
FSCN1	89	
ACTB	9639	
MOCOS	5	
PLD1	52	
ATP12A	0	
WDR62	163	
DLG1	201	
RAB7A	1129	
BCAP29	294	
SEC31B	103	
SART3	158	
ARHGAP15	36	
PAX2	27	
EXOSC7	114	
KIFAP3	123	
MKRN2	192	
MCM6	70	
REXO2	110	
RBM7	121	
RBMS2	90	
BAZ2A	539	
PTPN23	272	
MLH1	183	
UNG	181	
FMO4	20	
KLHL20	111	
RGS11	111	
SLC46A1	123	
PLXNA2	233	
SPAG5	21	
ANKRD13A	253	
TPD52	64	
ACACB	1460	
TRAF4	51	
PAG1	24	
GPATCH1	35	
ICAM3	177	
NT5C2	584	
MCAM	2289	
GPC4	189	
MBNL3	28	
CAMSAP3	9	
RAP1GAP	239	
XAB2	158	
ARHGEF1	277	
STXBP2	46	
MAP2K7	237	
NMRK2	39	
DGKD	410	
CTTNBP2	63	
ACTL6B	0	
RARB	33	
TOP2B	436	
TM9SF3	494	
NFKB2	289	
UBE2T	18	
PPP1R12B	2199	
DNAJC10	223	
GTF3C1	324	
IL4R	135	
USP33	206	
PAK3	13	
CAPN6	17	
DCX	1	
SNRPA	102	
SPAG6	2	
EXOSC5	35	
DYNC1I2	320	
APBB1IP	112	
LRCH4	240	
FAM76B	60	
SIRT6	36	
TYR	0	
POLD3	34	
ACTN2	15266	
CAPZB	761	
GPR137B	26	
NAALAD2	37	
SLC25A43	48	
UBE2A	282	
FGFR1	562	
FKBP6	0	
SMC1B	2	
FBLN1	1380	
ITGA8	245	
