BRICD5	23
BRINP2	1
BRINP3	1
BRIP1	3
BRIX1	33
BRK1	415
BRMS1	50
BRMS1L	76
BROX	159
BRPF1	96
BRPF3	217
BRS3	0
BRSK1	5
BRWD1	193
BRWD3	79
BSCL2	17
BSDC1	302
BSG	1938
BSN	9
BSND	52
BSPH1	0
BSPRY	14
BST1	33
BST2	278
BSX	0
BTAF1	151
BTBD1	1086
BTBD10	84
BTBD11	9
BTBD16	2
BTBD17	0
BTBD18	3
BTBD19	56
BTBD2	333
BTBD3	153
BTBD7	128
BTBD8	3
BTBD9	77
BTC	18
BTD	72
BTF3	951
BTF3L4	187
BTG1	391
BTG2	6724
BTG3	53
BTG4	0
BTK	19
BTLA	2
BTN1A1	1
BTN2A1	158
BTN2A2	32
BTNL3	0
BTNL8	15
BTNL9	427
BTRC	112
BUB1	0
BUB1B	3
BUD13	71
BUD31	139
BVES	326
BYSL	37
BZRAP1	84
BZW1	414
BZW2	682
C10orf10	487
C10orf105	20
C10orf113	0
C10orf12	20
C10orf120	0
C10orf126	0
C10orf128	66
C10orf2	46
C10orf35	9
C10orf53	0
C10orf55	40
C10orf67	1
C10orf71	2136
C10orf82	7
C10orf90	1
C10orf99	0
C11orf1	21
C11orf16	0
C11orf21	27
C11orf30	106
C11orf40	0
C11orf42	1
C11orf44	0
C11orf45	4
C11orf53	4
C11orf63	18
C11orf65	4
C11orf71	13
C11orf74	55
C11orf80	13
C11orf84	37
C11orf85	0
C11orf86	0
C11orf88	0
C11orf94	1
C12orf40	1
C12orf42	0
C12orf50	38
C12orf56	2
C12orf60	470
C12orf71	1
C12orf74	0
C12orf75	773
C12orf76	37
C14orf105	12
C14orf119	90
C14orf142	22
C14orf159	481
C14orf177	0
C14orf178	6
C14orf180	96
C14orf183	0
C14orf2	248
C14orf39	15
C14orf93	24
C15orf26	0
C15orf27	27
C15orf40	64
C15orf43	0
C15orf52	442
C15orf53	0
C15orf57	46
C15orf61	96
C16orf13	109
C16orf46	2
C16orf54	41
C16orf62	176
C16orf71	2
C16orf72	239
C16orf78	0
C16orf86	8
C16orf89	33
C16orf90	0
C16orf91	29
C16orf92	0
C16orf96	1
C17orf104	62
C17orf105	0
C17orf107	10
C17orf47	0
C17orf50	0
C17orf53	2
C17orf64	0
C17orf74	0
C17orf75	36
C17orf97	19
C17orf99	0
C18orf42	0
C18orf54	10
C18orf63	0
C18orf8	89
C19orf18	6
C19orf25	59
C19orf26	31
C19orf35	12
C19orf38	17
C19orf40	4
C19orf44	106
C19orf45	0
C19orf47	214
C19orf48	43
C19orf54	104
C19orf57	7
C19orf67	0
C19orf68	43
C19orf71	12
C19orf73	14
C19orf80	11
C19orf81	2
C1D	53
C1GALT1	83
C1GALT1C1	51
C1QA	110
C1QB	73
C1QBP	234
C1QC	71
C1QL1	0
C1QL2	0
C1QL3	0
C1QL4	0
C1QTNF1	361
C1QTNF2	31
C1QTNF4	11
C1QTNF6	12
C1QTNF7	84
C1QTNF8	0
C1QTNF9	15
C1QTNF9B	8
C1R	443
C1RL	119
C1S	1043
C1orf100	0
C1orf101	4
C1orf105	0
C1orf106	1
C1orf110	0
C1orf111	1
C1orf115	145
C1orf116	3
C1orf127	23
C1orf137	0
C1orf141	0
C1orf145	57
C1orf146	0
C1orf158	4
C1orf167	52
C1orf168	26
C1orf177	1
C1orf185	0
C1orf186	0
C1orf189	0
C1orf194	1
C1orf195	0
C1orf198	344
C1orf210	2
C1orf226	26
C1orf228	4
C1orf233	4
C1orf35	44
C1orf43	907
C1orf61	4
C1orf64	1
C1orf68	0
C1orf87	1
C1orf94	0
C1orf95	141
C2	0
C20orf141	0
C20orf173	0
C20orf194	329
C20orf195	1
C20orf196	7
C20orf202	2
C20orf27	75
C20orf85	0
C21orf140	3
C21orf2	65
C21orf58	10
C21orf62	0
C22orf15	95
C22orf23	22
C22orf31	1
C22orf39	386
C22orf42	0
C2CD2	162
C2CD2L	56
C2CD3	98
C2CD4A	3
C2CD4B	49
C2CD4D	5
C2CD5	143
C2orf16	0
C2orf47	40
C2orf49	108
C2orf50	2
C2orf54	7
C2orf57	0
C2orf61	1
C2orf66	1
C2orf70	0
C2orf71	2
C2orf72	5
C2orf73	0
C2orf74	0
C2orf78	0
