ENSEMBL ID	hP1	hP2	hP3	hP4	hP5	hP6	cP1	cP2	cP3	cP4	cP5	cP6	rP1	rP2	rP3	rP4	rP5	rP6	mP1	mP2	mP3	mP4	mP5	mP6
ENSG00000073754	0.0	0.0	0.0	0.0	0.0	0.0	20.373	39.4001	16.261	11.607000000000001	14.2615	27.3032	1.97137	2.1158900000000003	5.7386	2.46937	0.0	9.72788	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000073756	73.5837	61.55	37.3136	11.755999999999998	15.9167	18.0278	27.9001	26.6188	19.7239	29.4063	25.6687	24.9272	31.3167	16.8063	34.5787	25.701	26.9925	0.0	20.7474	65.2709	20.8114	11.3328	14.28	17.5248
ENSG00000073792	0.8437040000000001	2.33115	0.0	0.9300729999999999	0.6513329999999999	0.855759	0.0	0.0	0.0	0.9438190000000001	0.0	0.0	0.640763	2.0632099999999998	0.621748	0.8026310000000001	0.653726	0.0	0.8207139999999999	0.7106279999999999	3.8589599999999997	2.3733400000000002	0.0	1.66377
ENSG00000073803	20.7988	22.9868	12.8822	9.826239999999999	16.974	13.863	18.0733	20.4453	22.3361	23.915	20.055999999999997	27.086	30.6892	16.4695	26.713	31.658	17.4968	5.93876	35.9446	37.6491	17.4462	29.6186	30.1876	27.6192
ENSG00000073849	96.7734	104.15	33.4964	51.542	49.5257	55.1438	33.0699	31.9087	45.7354	19.4484	29.0168	30.4991	35.5092	31.0218	60.898	59.9956	31.1726	6.7916	35.1867	43.3924	34.092	39.0567	36.3753	43.2311
ENSG00000073861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2011399999999999	0.0
ENSG00000073910	77.2555	82.8851	51.17	48.7825	71.8909	44.2802	63.0033	64.3804	82.6726	56.798	78.9387	71.7444	102.069	75.7876	112.985	100.639	78.1582	7.81747	151.118	141.019	153.975	156.012	156.499	142.44299999999998
ENSG00000073921	180.80900000000003	188.122	157.713	157.822	221.523	147.089	206.44799999999998	201.697	187.215	178.669	223.28400000000002	194.00599999999997	180.435	157.445	174.625	194.315	175.0	14.6468	216.701	220.899	205.477	216.407	217.718	209.915
ENSG00000073969	388.98900000000003	389.675	352.569	307.782	367.791	236.67	1003.99	893.414	1125.16	1016.45	1300.89	1129.01	1173.42	1097.75	1168.17	977.8969999999999	1030.13	68.0372	1148.83	1147.32	999.584	1120.3	1119.49	1127.72
ENSG00000074047	2.0568299999999997	1.62372	0.670501	0.647825	1.8147	2.38425	0.576549	1.7840099999999999	2.1036799999999998	1.9708400000000001	1.845	2.06045	5.35574	3.83225	4.76374	5.0315199999999995	3.6427300000000002	0.0	10.2355	7.385489999999999	9.62539	9.86636	7.65751	5.1874199999999995
ENSG00000074054	83.5073	92.6693	55.7318	64.8099	92.12799999999999	65.2683	75.4708	87.9063	93.4492	76.5125	112.03200000000001	76.2313	52.647	38.6248	54.3179	47.86	38.5277	5.84621	95.8389	92.3408	91.1956	93.2046	99.5715	86.4777
ENSG00000074071	161.132	198.512	229.208	265.286	203.551	169.801	273.053	256.224	267.803	308.789	295.643	232.34	352.81699999999995	431.56199999999995	367.02099999999996	408.103	491.29	671.83	241.821	228.74	277.092	217.429	204.326	205.977
ENSG00000074181	58.4233	44.9613	48.2209	48.3342	34.1975	86.4228	24.3906	20.3545	26.0918	20.4649	16.3199	20.3389	24.0304	20.4494	33.4769	21.7157	21.8898	4.79966	19.7755	25.1137	25.6222	21.8157	31.1675	26.2808
ENSG00000074201	288.947	278.166	303.89799999999997	301.485	313.943	318.402	135.32399999999998	115.512	125.569	93.04799999999999	97.0621	136.191	234.796	306.289	227.829	280.536	265.344	124.775	349.31699999999995	300.459	243.65099999999998	370.167	249.22	347.037
ENSG00000074211	865.938	829.085	610.0930000000001	595.183	726.21	584.487	394.218	406.60900000000004	431.149	452.67199999999997	461.256	464.76099999999997	852.42	822.658	920.471	812.9169999999999	683.02	107.655	1214.02	1104.53	1033.38	1106.95	1017.36	1107.7
ENSG00000074219	4.61731	4.72504	5.85349	4.524430000000001	4.7527099999999995	6.2443800000000005	4.02663	7.26808	5.50956	9.17624	9.66414	4.79675	5.45484	5.8547400000000005	11.3421	6.83283	5.56519	1.28178	4.0160800000000005	4.3467400000000005	6.6092	3.87123	10.8164	7.1238
ENSG00000074266	34.815	52.3872	24.6167	30.2707	38.6119	32.8256	58.8331	47.75	40.47	43.9587	54.7836	40.2129	58.0951	67.1506	60.7074	56.9107	53.9513	35.5281	35.2973	30.5627	53.8269	46.8982	34.2577	20.3063
ENSG00000074276	3.03482	6.88015	4.79435	3.6028300000000004	2.88352	7.10349	6.4177800000000005	3.30975	1.6726299999999998	3.65635	8.434989999999999	3.82261	1.41836	1.14176	3.0966	0.0	0.0	0.0	0.454694	0.787409	2.13795	1.3148799999999998	1.6328200000000002	0.460883
ENSG00000074317	1989.43	2068.47	2098.48	2322.98	1755.23	2310.8	1523.35	1482.38	1381.31	1839.09	1632.2	2030.73	2295.3	2595.41	2135.24	2435.51	2552.99	3365.58	1356.93	1729.42	1360.27	1282.09	1596.11	1543.35
ENSG00000074319	163.094	162.037	167.035	171.296	161.59799999999998	160.214	156.22899999999998	172.835	183.88400000000001	200.984	158.249	190.611	126.79	153.881	140.062	147.82399999999998	144.281	165.237	243.597	283.393	269.017	240.831	279.251	269.704
ENSG00000074356	40.8716	29.9523	51.1455	34.8818	73.2835	35.6607	62.0878	40.0246	44.8366	37.338	53.8107	72.9353	34.0444	35.8238	34.9773	34.283	33.3711	16.4701	42.7504	39.9774	34.5738	40.3844	50.6609	32.0659
ENSG00000074370	7.655939999999999	3.31817	7.70742	4.4680599999999995	4.172	7.30854	7.0692699999999995	6.3800300000000005	7.657589999999999	13.0894	9.19027	6.315980000000001	5.13605	4.41006	9.967260000000001	9.006910000000001	4.890619999999999	3.94244	8.32348	11.3795	12.7709	13.5129	11.7986	13.7652
ENSG00000074410	1.26294	3.48949	1.44095	8.35333	3.8999099999999998	2.56196	6.19522	16.6138	4.52096	7.0591	9.91258	1.47602	10.5507	3.0884099999999997	9.30691	13.216	17.614	1.5776700000000001	53.7213	19.029	22.9632	52.9606	39.4598	38.3643
ENSG00000074416	398.976	273.822	231.993	237.333	331.091	294.626	214.57299999999998	366.55699999999996	275.247	286.51599999999996	266.882	287.563	214.11700000000002	222.85	305.978	247.076	201.238	29.883000000000003	405.55699999999996	420.23800000000006	350.121	437.392	404.38	438.033
ENSG00000074527	116.15700000000001	73.2652	97.1882	45.7866	102.715	91.3968	49.7276	70.5245	76.8615	37.7745	55.2542	64.1748	53.4647	61.4011	68.4791	46.8796	46.9098	2.63826	40.403	27.8683	36.7066	40.266	31.9686	34.7059
ENSG00000074582	52.5408	68.7138	86.3231	72.9783	67.3314	84.2005	104.84700000000001	115.637	94.6931	126.564	119.59100000000001	126.13600000000001	98.9589	119.06200000000001	133.192	86.9704	122.13	161.461	75.5763	65.4389	78.7546	64.9747	39.4258	64.1825
ENSG00000074590	283.899	257.937	160.499	173.39700000000002	300.121	95.9849	247.162	210.93200000000002	228.891	231.592	255.95	258.563	223.38	222.035	196.019	239.66400000000002	197.183	17.5727	79.6144	102.32600000000001	69.0195	73.1456	74.8247	58.0017
ENSG00000074603	92.15799999999999	59.9885	54.287	35.6463	82.7354	40.2949	58.0103	74.792	111.62	66.0995	101.52	92.86	54.0279	32.7599	47.6587	75.5865	30.4239	1.7312	283.779	302.089	298.10900000000004	286.528	307.168	286.731
ENSG00000074621	4.87999	7.4907699999999995	9.27973	8.9659	5.02308	6.59961	12.7671	11.5223	5.82299	0.0	12.7674	5.70333	8.647730000000001	1.32596	7.19238	1.5474700000000001	0.0	2.03205	0.0	0.0	0.0	0.0	0.0	1.6103100000000001
ENSG00000074657	187.472	164.774	165.037	125.88600000000001	201.296	158.298	26.1417	23.1114	22.1428	10.6382	19.42	20.0195	161.892	127.21799999999999	169.71099999999998	172.00900000000001	107.654	11.8879	83.3133	51.2983	67.9008	73.1699	53.1876	61.928000000000004
ENSG00000074660	6.6035	4.56136	7.5342899999999995	10.9192	10.1957	11.7212	6.4785699999999995	13.3644	13.2968	9.22746	9.070210000000001	1.9294099999999998	6.2689	6.72848	10.9492	4.71152	11.5123	2.06229	6.47614	5.607469999999999	3.04505	4.68192	5.814	4.92321
ENSG00000074695	38.4999	29.4719	28.5238	19.8426	47.0914	38.5428	51.0161	71.8459	58.1703	61.4836	65.1452	58.4358	39.492	31.7904	37.5831	46.6145	24.0196	6.24604	66.3099	48.1277	71.5274	47.9387	50.7757	55.3514
