rP1	rP2	rP3	rP4	rP5	rP6
0.818863	0.0	0.397281	0.512861	0.41771400000000003	0.0
95.9664	104.825	110.42399999999999	75.5297	112.637	57.2735
119.15	100.99799999999999	109.07	92.9288	118.611	24.8283
269.20799999999997	234.18900000000002	294.33099999999996	284.538	250.037	56.6977
19.6094	7.89261	14.2706	0.0	15.0046	0.0
35.6363	46.5188	35.5133	42.2257	48.1487	74.459
15.2967	44.5635	23.3243	32.8473	22.2945	64.6996
223.688	220.235	199.10299999999998	208.518	212.292	99.8276
224.049	207.362	215.438	197.658	213.618	46.5862
607.8340000000001	524.731	664.372	471.806	461.44199999999995	29.5978
3.40016	5.47414	3.29926	6.38865	2.6017099999999997	5.59279
19.8674	14.539000000000001	23.6591	18.0991	10.1347	1.4854100000000001
20.1834	24.3709	27.5406	22.9119	30.244	4.14985
197.137	156.576	137.726	113.59100000000001	112.63	25.941
887.578	839.5219999999999	954.5210000000001	1146.6	653.979	88.7838
14.0149	16.7138	24.1761	14.1418	28.1997	14.0877
154.424	165.745	0.0	0.0	157.548	0.0
0.0	0.0	1.0113	0.0	2.12663	1.71432
107.40700000000001	137.966	93.3368	186.41	160.188	57.4706
0.0	0.0	0.0	0.0	0.0	1.20097
1.15818	0.0	0.0	0.0	0.0	0.0
24.1753	19.1786	24.4777	30.9407	15.0131	4.32227
328.445	230.528	424.423	259.221	204.732	36.1023
18.3215	7.02308	21.5873	6.55709	10.6812	2.15259
100.788	138.542	65.1981	170.547	113.65100000000001	206.50099999999998
6.6181600000000005	2.3677799999999998	6.849880000000001	0.552669	2.25068	0.0
98.2282	71.5939	91.7666	124.18700000000001	84.3674	13.5269
2708.85	2609.0	2967.35	2321.74	2398.68	659.5319999999999
32.5528	28.2979	32.1088	42.1242	24.4282	11.948
32.4274	25.0053	41.2407	21.2955	24.0899	5.696359999999999
34.5226	40.6393	35.6593	39.0588	61.3528	27.4766
63.4177	32.8798	46.934	35.0066	35.0919	1.7680200000000001
0.0	0.0	1.7873700000000001	2.30737	0.0	0.0
16.4627	13.2522	14.4766	16.1106	11.0222	5.0772900000000005
293.546	447.316	228.571	355.596	416.56699999999995	143.064
63.1936	76.4241	57.0001	55.7447	53.5754	43.9203
0.0	0.0	0.0	0.0	0.653726	0.0
50.909	31.3276	11.1969	23.8073	19.3905	16.7476
63.1594	48.0451	64.2602	48.3905	28.1522	2.01725
170.62400000000002	111.594	197.05599999999998	124.366	105.012	12.5623
44.1954	38.5064	47.4245	44.9392	42.4371	22.2362
56.538999999999994	39.0302	56.553000000000004	60.2142	34.5589	3.68718
0.83983	0.676049	0.407454	0.262997	0.6426149999999999	0.345351
0.0	0.0	0.0	0.667014	0.0	0.0
478.159	569.611	518.354	524.356	461.029	57.6194
142.545	181.52	176.99599999999998	158.88299999999998	172.543	172.87
701.3810000000001	602.24	666.607	674.0160000000001	492.459	22.4819
0.0	0.0	1.27706	0.0	0.0	0.0
59.2239	39.3104	64.2717	92.7312	38.1613	8.97245
294.828	255.36599999999999	299.682	304.226	263.351	229.928
23.823	23.7431	42.1041	30.9068	26.909000000000002	22.3917
60.7968	62.6437	77.0837	83.26299999999999	76.0861	30.6674
205.549	151.584	197.703	203.951	127.109	17.7557
152.341	225.558	163.739	211.375	253.458	289.13
217.32	170.27900000000002	207.683	213.424	154.675	55.5879
179.185	170.41400000000002	181.295	223.467	161.986	25.8256
55.7642	79.4194	71.7989	60.4482	57.9864	35.2786
119.882	173.923	137.519	144.439	146.14600000000002	89.4033
19.3928	16.7672	19.8627	8.09724	6.59503	0.886066
133.797	157.966	159.037	175.976	170.62900000000002	286.1
19.303	30.5319	26.6165	45.8133	20.73	6.684360000000001
9.68512	11.5502	10.4419	12.1318	10.9789	3.54015
119.851	162.034	164.378	124.14399999999999	166.954	41.7024
2.06242	3.3204300000000004	6.00365	6.45857	11.0468	14.4177
192.12900000000002	197.287	180.778	222.953	212.138	667.62
31.9057	32.875	34.674	39.9657	26.041	4.19844
44.8147	27.4571	35.6937	43.2712	24.1942	3.0714099999999998
86.8634	73.6972	62.6122	97.4079	107.189	16.3289
0.0	0.0	0.506791	0.0	0.0	0.0
83.5302	78.6196	67.335	67.608	83.90899999999999	48.6169
112.426	80.0984	128.838	91.0516	86.0251	27.101
80.0079	63.02	83.8944	73.5481	61.2199	6.3678300000000005
65.8736	39.9808	55.9289	56.9742	50.8047	14.1891
108.241	274.176	126.035	124.738	212.02700000000002	28.4866
3.7061699999999997	4.77345	2.15771	2.78545	3.0249200000000003	13.4115
0.0	3.2340400000000002	2.92373	1.88716	7.68526	9.91242
95.03	104.064	101.556	73.1913	104.814	79.2117
136.658	126.14200000000001	111.38600000000001	107.844	149.183	98.9049
101.34700000000001	99.6744	121.382	106.765	95.1777	55.7999
87.1471	64.9555	75.7525	81.1135	60.5083	13.9363
353.82800000000003	246.72299999999998	237.513	313.491	153.679	190.988
38.6643	65.8569	42.4104	56.8545	41.7333	50.2327
3.17309	3.40571	6.1578599999999994	3.9746699999999997	4.85593	0.0
51.9931	85.8534	71.1476	45.0882	103.37	307.0
6.08234	5.98422	1.47546	6.3490400000000005	3.6198099999999998	0.833717
59.4144	58.5995	62.3256	70.4006	70.446	50.1848
0.0	0.0	0.0	0.0	0.0	0.0
45.5507	47.2234	37.1673	42.1449	49.1127	37.4623
2.30254	11.3682	5.3621099999999995	5.19157	7.04737	3.02989
0.0	0.0	0.0	0.356123	0.0	0.467639
52.6689	77.2963	59.4498	86.1702	72.377	12.3761
104.978	102.876	72.3371	99.0993	97.7883	47.5479
0.0	0.0	0.0	0.0	0.0	0.0
17.9847	22.1629	26.4996	25.8654	19.7076	36.1561
21.2128	18.7022	24.994	12.3368	17.0044	7.47686
111.412	100.012	127.368	80.6892	94.2394	30.6539
6.866910000000001	4.21162	5.71126	6.144019999999999	6.005	11.2951
73.0875	75.9749	74.2691	98.0387	81.0246	63.4225
95.1755	113.654	92.9627	135.009	136.97	78.7936
28.1838	37.8125	68.3686	61.7812	57.508	5.79481
26.6381	13.0524	37.6476	23.2121	17.7241	9.525210000000001
288.317	211.18599999999998	257.14799999999997	267.319	204.139	52.0242
45.7139	53.8521	65.995	51.6755	39.8135	0.0
28.7815	25.1489	26.1372	61.4737	23.5287	3.33819
0.0	1.4227	0.0	0.0	0.0	2.18031
55.2571	41.3038	50.7449	29.664	48.3214	47.0681
237.343	205.738	240.612	243.06599999999997	229.696	61.5052
