rV1	rV2	rV3	rV4	rV5	rV6
93.5864	78.1262	94.9724	87.2582	108.36200000000001	107.07
99.3567	92.2696	103.897	94.6261	101.199	92.8884
201.178	233.676	243.398	231.768	221.438	227.512
2.00084	0.0	1.95795	7.407310000000001	19.0375	8.0792
38.5234	38.1673	31.543000000000003	52.3902	49.157	43.6504
17.8377	18.5564	13.9643	26.4147	29.095	32.4121
209.957	225.77900000000002	183.295	209.604	192.393	216.71
187.84099999999998	203.283	189.06599999999997	222.377	226.704	169.61700000000002
347.786	429.481	378.336	469.11800000000005	389.485	400.591
7.632560000000001	3.6091300000000004	5.43197	3.85316	3.77256	5.60356
20.6402	17.8932	25.2473	6.82252	17.0335	11.9062
21.1089	20.5312	28.7175	33.3556	25.1932	27.5457
199.53900000000002	122.762	154.32	89.3605	144.361	139.701
1103.84	1117.85	947.52	1045.76	1115.55	981.1339999999999
11.1223	17.0802	18.9691	25.2938	24.6207	20.8515
0.0	0.0	0.0	233.33	0.0	127.24700000000001
1.7015	0.0	3.33006	4.72435	1.15638	0.8588129999999999
94.5396	88.8253	106.64	116.01299999999999	134.007	85.661
0.0	1.03335	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
28.3136	44.628	42.3997	43.675	44.3163	29.8811
276.42	298.43	278.63599999999997	272.416	255.701	179.567
12.8189	7.408580000000001	14.6349	9.88687	8.712060000000001	21.5674
63.5075	122.62299999999999	64.9712	125.571	170.683	150.07399999999998
0.720302	1.8733099999999998	0.352432	0.666658	0.48953500000000005	1.09069
105.541	112.51	114.59200000000001	139.446	126.729	123.48299999999999
2636.38	2820.59	2315.46	2014.15	3000.83	2332.02
28.3289	32.7449	36.7474	23.9834	38.8046	37.4648
19.5311	22.2786	19.6155	19.9793	19.2121	22.051
47.2698	34.6743	40.0298	45.4321	48.1886	50.4707
23.6897	25.1006	33.0558	30.046	22.6594	25.6857
0.0	0.0	0.0	0.0	0.0	0.0
10.4986	16.7464	9.04072	12.4374	10.2745	11.022
225.81	167.548	212.28599999999997	200.78	345.80199999999996	169.22099999999998
47.2244	61.7239	52.6108	48.4143	71.1024	85.0761
0.0	0.0	0.0	0.0	0.0	0.0
21.6091	11.5281	11.9285	8.20502	18.8283	8.38994
40.0432	47.7316	50.9405	37.0611	42.8626	34.3593
95.921	126.759	116.603	143.46	108.426	124.721
65.3607	54.4543	59.8066	58.9218	61.1506	44.558
55.9105	51.4657	59.8849	55.3218	54.9937	56.4404
0.34276799999999996	0.297149	0.335421	0.31724	0.69886	0.0
0.0	0.0	0.0	0.0	0.5908180000000001	0.0
463.226	542.871	450.499	494.889	546.076	456.07
166.646	157.29	145.705	193.479	182.283	135.377
863.188	946.837	936.625	959.77	727.118	662.7139999999999
0.0	0.0	0.0	0.0	0.0	9.76046
96.0503	123.522	89.6344	116.56700000000001	98.5657	55.8647
261.867	245.69	272.064	256.694	290.976	262.98900000000003
21.5297	32.512	35.3402	35.9958	24.5442	21.7337
78.08	72.2774	59.5711	82.0636	67.4555	65.4606
207.06900000000002	234.892	203.35	243.298	207.102	172.34
177.282	217.81599999999997	162.873	178.24400000000003	268.707	157.718
201.148	234.49599999999998	208.085	265.245	209.875	186.423
280.515	281.652	257.57099999999997	301.585	223.199	199.40200000000002
56.0235	51.6028	50.5397	61.5733	48.7835	53.0198
150.102	151.69299999999998	147.697	157.344	142.029	141.898
3.51775	6.86155	1.72118	4.06971	4.18381	5.770519999999999
144.71	123.084	128.249	176.893	137.317	107.494
17.4152	34.5084	29.2147	53.7274	29.3077	35.1605
6.1489199999999995	9.138110000000001	6.876710000000001	11.382	7.16392	5.32045
130.756	137.003	118.74799999999999	125.37100000000001	132.97799999999998	110.155
7.99667	8.75672	4.11857	3.8953300000000004	4.57662	3.8238
285.825	263.676	226.55	221.18200000000002	275.001	330.341
20.8352	16.256	25.4858	26.9969	32.5682	21.0326
36.5812	35.4125	31.3225	41.7568	34.5989	37.6973
147.21200000000002	148.694	85.2444	74.999	242.32	127.475
0.426334	0.0	0.0	0.789166	0.0	0.0
56.6451	65.475	43.113	58.2517	92.6789	67.7712
92.5618	108.36200000000001	87.4812	62.9699	106.458	115.801
72.1556	67.5749	77.3092	72.1439	65.8622	84.5363
46.7297	54.3839	55.1243	62.2082	53.5111	57.1887
77.7522	183.83	72.6273	111.213	139.311	60.6507
2.42021	1.04905	2.96043	1.11999	3.2896699999999996	3.6647300000000005
1.2297799999999999	4.26445	1.2034200000000002	2.27639	1.6715799999999998	1.2414399999999999
68.6608	80.8783	70.2665	63.0622	117.54899999999999	107.935
146.132	98.639	79.687	103.243	133.431	59.6824
80.6507	91.8223	95.1807	100.594	97.8621	102.38
74.5943	77.9425	83.6306	106.073	85.2769	83.2802
273.452	282.028	211.817	139.88	363.856	281.862
58.7764	63.048	56.6214	48.2606	68.0789	58.8717
7.77038	2.2454099999999997	6.336530000000001	2.39723	7.04125	5.22935
34.8232	60.3773	47.9206	30.2154	57.6876	45.0401
2.0687	3.58676	2.0243599999999997	3.0634200000000003	7.87326	3.75895
38.0125	27.2718	20.5229	31.541999999999998	53.45	35.7263
0.0	0.0	0.0	0.0	0.0	0.0
49.4352	48.3503	42.1737	41.452	63.1746	53.7425
5.26264	3.9104900000000002	3.31061	5.56653	9.19702	7.968780000000001
0.0	0.0	0.227096	0.0	0.31544099999999997	0.23426999999999998
57.0309	60.85	66.9702	92.5742	72.7487	66.4285
73.2721	79.6696	82.6391	82.7575	81.0264	72.7128
2.26782	0.0	0.0	0.0	0.0	0.0
20.6614	14.1407	16.4941	35.226	25.8669	18.6617
12.9866	7.5055	4.84125	2.2894200000000002	11.767999999999999	9.98835
61.8414	78.553	66.34100000000001	76.5184	69.2241	72.7764
6.80645	4.16512	5.093369999999999	3.7056199999999997	5.44215	7.679310000000001
106.63600000000001	88.7787	103.891	89.564	95.14	96.2655
97.7552	104.37	105.729	99.9987	140.566	93.4879
51.7631	49.86	47.8396	37.2619	35.1795	49.3507
19.8533	23.7676	24.516	21.8747	12.8503	14.3153
230.99900000000002	275.17400000000004	240.408	258.063	193.562	272.144
