rK1	rK2	rK3	rK4	rK5	rK6
36.0131	33.3189	37.1985	38.1305	23.401	31.1435
28.5313	22.4769	15.5823	25.8656	28.0474	28.155
1309.2	1389.4	1320.79	1494.48	1379.26	1210.78
0.612823	1.39167	0.0	0.44165600000000005	2.7450900000000003	0.442543
220.66	186.014	201.195	224.085	334.156	228.15599999999998
66.0745	62.8115	65.3353	61.6996	65.3899	60.8722
121.09899999999999	121.87700000000001	101.92299999999999	111.07700000000001	95.5456	112.294
28.5439	21.9113	25.9163	31.2917	41.4195	35.419000000000004
38.7754	51.3658	42.3806	49.7773	42.0659	38.5017
209.295	212.768	197.505	187.612	190.797	179.24400000000003
30.2373	18.8127	27.2698	25.0755	20.4096	22.1347
77.4651	73.1176	66.8977	86.155	68.5429	73.2061
58.7228	59.2687	46.2605	68.5818	50.5854	55.2365
382.647	374.88300000000004	338.469	359.35699999999997	311.902	354.57599999999996
0.760415	0.0	0.0	0.0	0.0	0.0
8.659239999999999	8.914530000000001	13.7771	4.49327	4.65461	5.50279
38.6501	38.5661	41.2647	42.4153	45.7417	30.7652
45.5248	41.8651	50.3501	42.2954	35.4299	39.241
5.71863	5.77179	2.61452	2.74758	8.53872	13.7655
0.8337190000000001	1.00976	0.686106	0.240342	0.373458	0.24082399999999998
123.583	107.881	110.012	138.436	123.36	97.4474
58.7844	60.7699	67.9917	63.2321	67.7951	58.9238
616.339	714.591	399.49300000000005	656.915	451.403	938.9910000000001
28.4087	32.5827	30.6995	34.7436	26.9934	21.1367
162.408	157.458	143.19899999999998	161.44299999999998	151.411	145.012
30.2933	27.5174	39.4721	28.3818	27.1393	26.2511
56.4374	49.2265	71.0373	54.9016	62.4215	59.3724
3.4737199999999997	0.0	3.17631	0.0	0.0	1.6723400000000002
34.693000000000005	32.321999999999996	7.32065	30.7729	5.9771	26.9803
66.1487	58.4181	68.046	71.5092	61.7308	45.1147
0.0	0.0	0.0	0.0	0.0	0.0
3.92714	4.8962699999999995	4.75269	2.66377	1.55217	2.00184
124.427	130.178	119.324	138.52	92.8933	112.499
0.0	1.12229	1.01676	0.5342520000000001	0.0	0.0
686.711	666.8710000000001	598.359	708.068	580.569	622.221
19.572	23.8492	24.8802	28.2107	32.0748	26.8884
21.016	16.9691	17.295	23.224	15.6899	12.1412
12.1586	1.71232	5.42954	0.407563	5.69966	0.816761
81.6815	49.2355	50.3109	67.5883	62.6749	65.5393
77.0819	58.0669	46.9883	50.4533	63.3851	53.7814
62.2696	33.7693	42.0664	32.1508	58.2842	64.4307
7.0333	2.42	1.75395	3.2256299999999998	1.43205	4.617290000000001
112.522	100.475	147.216	113.76799999999999	133.349	148.313
60.5242	59.4547	69.7061	73.2538	65.1913	68.7298
25.0047	20.4907	19.1931	22.1539	20.5517	16.8972
81.7056	62.9734	82.521	101.17399999999999	154.716	106.741
310.703	327.512	244.938	306.235	270.983	282.385
55.176	49.8576	59.0369	36.2256	51.1135	68.4244
0.0	0.0	0.0	0.0	0.0	0.365093
2.13496	1.6161	10.2489	7.693230000000001	7.17253	3.08347
179.953	205.843	153.577	213.27	231.59	162.542
468.96	479.664	330.23	396.87300000000005	409.01099999999997	318.226
119.324	80.3407	111.072	96.3865	89.3131	108.985
72.7969	58.1512	64.7246	63.8006	53.2555	51.2486
15.7385	12.4316	14.0782	21.6989	10.7281	13.8361
367.907	446.457	432.44599999999997	358.038	369.06699999999995	453.01099999999997
32.068000000000005	24.403000000000002	20.0138	27.1464	20.9009	18.8691
62.04600000000001	51.283	67.6207	62.8442	53.3325	65.8766
151.929	132.523	140.761	134.148	141.97	140.23
42.2963	40.0214	29.0063	34.293	41.445	38.1797
352.774	280.436	312.322	384.338	340.884	322.06
32.0049	29.8969	40.1613	30.4271	25.9274	37.3725
6.87639	5.20524	11.7894	9.91153	7.70056	19.8628
4.00304	11.0189	1.4974	8.392619999999999	5.705419999999999	33.6378
3.34383	2.02495	0.0	1.9279	4.493530000000001	0.0
63.0878	43.1102	56.5643	42.4594	55.5297	53.5352
2.2277	2.40901	3.05547	5.50453	2.85109	2.2981599999999998
52.9227	52.8316	53.886	56.2954	48.1373	44.0586
206.33	132.584	106.35700000000001	164.137	167.602	93.1977
9.016169999999999	5.02894	17.5733	5.4719	20.1936	19.1901
2279.19	2114.62	1873.63	1993.79	1943.35	1823.84
129.329	134.52700000000002	153.85399999999998	117.935	175.372	132.149
5.06845	3.2885800000000005	5.95866	2.08731	8.919319999999999	6.2745
91.5916	101.398	98.1445	88.2875	97.4409	93.4253
40.6819	37.9185	53.0184	41.9441	47.016999999999996	44.3283
35.7134	29.1136	26.3759	29.6981	35.3792	30.7497
217.465	199.665	222.06	180.89	191.676	199.701
3167.54	3212.0	2597.42	1664.4	3986.27	2229.58
91.4642	62.9417	93.5174	67.1161	78.2167	81.6616
161.582	144.537	158.983	133.534	146.122	148.565
1.7486	2.42667	4.79668	5.25084	3.91636	1.8941
58.093	60.9734	54.9048	64.7358	45.9217	56.0524
0.0	0.0	0.0	0.0	0.0	0.0
151.923	120.11200000000001	105.73	107.867	105.86	95.0813
0.0	0.0	0.0	0.0	0.0	0.0
920.0830000000001	713.587	606.363	674.595	693.11	614.019
25.4039	13.9855	14.7821	22.191999999999997	24.1383	23.3484
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
175.165	139.983	172.61599999999999	177.699	180.628	187.7
123.15799999999999	91.1683	96.7163	96.5988	109.204	97.6342
4.37833	3.7877400000000003	2.0017400000000003	2.1036200000000003	0.46696099999999996	2.40896
10.3783	17.9567	8.13405	19.2331	23.2443	12.8478
5.2430699999999995	7.93772	1.59806	8.396980000000001	2.60955	2.52415
58.1574	52.0278	63.4513	55.2498	47.3657	47.7247
205.571	169.373	199.0	166.295	200.455	213.082
118.387	119.024	134.265	133.162	100.03200000000001	112.22200000000001
4.98075	1.9549599999999998	2.53018	5.5838	5.7843	2.6642900000000003
22.6227	28.8007	22.5664	22.2327	11.5155	37.1289
210.843	158.775	185.05	178.72099999999998	151.7	167.247
40.4392	30.0338	41.3375	42.8915	34.1781	40.2226
195.553	148.028	134.108	213.11900000000003	133.531	158.438
5.79551	4.67951	4.7694	6.9613	3.02873	5.58022
21.1926	28.8759	28.0984	27.1526	27.9518	33.3287
