rM1	rM2	rM3	rM4	rM5	rM6
11.9838	13.4462	10.1379	9.573780000000001	14.4385	19.5216
4.502269999999999	0.986664	7.05333	4.49605	9.04082	16.5529
52.2464	24.7168	35.7283	25.397	40.7998	43.1552
0.0	0.0	0.0	0.0	0.0	0.0
11.3843	2.21765	2.47706	0.842118	1.2700200000000001	2.14642
30.8529	20.0337	19.2444	20.5402	22.3724	25.2073
0.0	0.141771	1.9002599999999998	0.43068199999999995	0.487142	0.914782
31.0055	15.2883	11.764000000000001	16.1264	23.3478	15.3453
25.76	21.9708	26.5405	16.3772	24.9318	26.2533
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
20781.4	16438.7	28409.7	19100.2	16061.0	20123.2
202.602	170.69299999999998	166.635	172.34900000000002	170.645	178.262
1.34054	1.17511	7.87545	4.4623099999999996	2.6918900000000003	3.79123
0.0	0.0	0.0	1.6328	0.0	0.0
14.5216	12.0931	12.5124	7.73417	5.83205	19.7131
831.805	760.813	808.3560000000001	954.584	1089.37	666.7280000000001
36.4667	29.8817	27.9437	33.7775	37.4096	16.1425
60.4241	70.1818	50.2889	60.3408	37.1589	67.5005
8.80073	1.46946	3.93925	1.11601	2.10386	10.4299
343.577	239.921	179.608	336.31800000000004	258.721	237.15599999999998
362.11800000000005	425.54	630.6759999999999	435.57199999999995	516.385	544.711
134.77200000000002	128.399	132.211	140.491	147.066	124.12100000000001
109.912	78.8304	88.4432	74.5041	71.2292	117.556
213.93400000000003	242.715	266.565	223.092	220.49900000000002	161.69899999999998
52.2001	62.0377	21.2307	24.7274	53.4184	30.6614
87.2659	147.529	141.595	120.344	128.297	70.5142
9.46611	6.63835	11.1223	7.56244	6.65298	10.7086
51.1368	60.6472	72.2578	56.0727	134.901	82.803
223.34400000000002	159.07299999999998	200.18	157.269	186.51	178.56099999999998
4.32375	3.36904	0.75263	1.27934	4.82353	3.26084
98.4204	88.992	88.6273	105.25	78.5868	85.9146
127.23700000000001	135.51	88.4885	107.666	126.556	112.99799999999999
67.1579	62.378	69.9134	60.2313	61.3146	63.5729
207.34799999999998	95.9478	105.662	153.95	160.201	151.725
0.0	0.0	0.0	0.0	0.0	0.550519
15.5659	37.7861	38.4546	31.886	28.8529	28.4453
749.5260000000001	704.5260000000001	621.064	769.534	638.305	698.7539999999999
82.3631	68.51	75.8178	49.6298	47.0818	80.9317
54.8017	35.869	49.795	34.5382	49.5203	54.5552
20.1708	10.6089	18.96	5.37145	8.10083	41.0729
35.223	18.7679	14.6067	11.0351	9.70803	25.0015
33.6901	2.46105	4.3983	3.7381800000000003	23.96	7.940010000000001
37.093	13.1111	14.9963	23.1014	24.0274	23.0112
20.3731	23.4398	9.97402	23.7358	19.1767	12.964
