	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
BCLAF1	71.58951969498415	134.20485482930428	94.2056254757115	90.48136174632	111.40811688822234	98.11052136545764	79.89459699381007	127.03528996847928	93.07011303771063	93.67234751649336	118.89494646465073	87.43270601885591	71.2932395748873	115.32365458885093	113.38310583626175
SLC39A9	71.84215653808313	130.7711535644133	97.38668989750352	60.52549297585939	95.22540595654218	144.24910106759845	71.30280178663187	111.60249593596203	117.09470227740609	99.60441328769681	120.06677557037469	80.32881114192851	67.24014936144654	117.95768041915615	114.80217021939731
ANK1	99.67899437618615	114.38164520808374	85.93936041573012	164.63765114637738	30.747590401945025	104.61475845167757	78.76290784475141	87.30519444554571	133.93189770970292	75.24966753898079	92.17670197881712	132.5736304822021	42.76113243006426	76.36874513995531	180.8701224299804
IBSP	208.8762005540736	0.0	91.12379944592638	178.81422566304775	58.52627881387671	62.65949552307551	300.0	0.0	0.0	50.65142745655865	195.5509722014152	53.79760034202617	0.0	118.64939831401156	181.3506016859884
TFB1M	104.27570863609104	61.581848903180806	134.1424424607282	78.61731703727659	82.18675666980315	139.1959262929203	78.92430497745586	77.91388650606177	143.16180851648238	77.14144219618588	87.97769808221665	134.88085972159752	89.81094072766089	85.72978354250492	124.45927572983422
RABEP1	66.06863010045994	102.4884613398678	131.44290855967225	67.47331281886797	115.81704194302134	116.70964523811067	77.50976247563763	109.96883281453749	112.5214047098249	95.38405378279931	115.00180435901942	89.61414185818126	78.47426236924119	106.2658752220043	115.2598624087545
HMGB3	45.31769636091422	222.29812342188242	32.38418021720332	120.03001864469888	127.73395908620242	52.236022269098704	94.41626785631948	162.13748047235572	43.446251671324795	128.6345431690579	121.35557026600002	50.009886564942086	107.23770069420723	132.77416634500463	59.988132960788136
NUP160	90.83959687876325	132.481957531178	76.67844559005874	99.39332325704142	124.24037954032919	76.36629720262945	86.50015434231615	130.90276466431945	82.59708099336444	92.4027803787874	135.80678056619354	71.79043905501905	79.51728507482673	115.05211350838691	105.43060141678635
MUSK	23.702267203320297	176.735530036826	99.5622027598537	0.0	295.34237656120354	4.657623438796454	26.746951329489832	25.298023854639908	247.9550248158703	34.78903025180012	15.456460977460774	249.75450877073916	68.36699090638002	37.93804286554645	193.6949662280736
IKZF2	85.2415413535981	145.5696349970207	69.18882364938116	115.65679125126861	82.72385867892002	101.61935006981138	76.17420930583879	145.4223556329919	78.40343506116932	76.68805977685918	145.19657452563712	78.11536569750372	60.66937581514209	153.65114251487182	85.67948166998612
GRN	103.40640669001291	101.46241970816925	95.13117360181782	138.2657998502525	70.78158906322734	90.95261108652012	85.1396982200449	89.43286598586523	125.42743579408979	88.74273597221826	101.86142276131864	109.39584126646311	103.90808161849301	100.98551268639243	95.10640569511463
FAM13B	73.90713901815937	153.4015268621452	72.69133411969543	87.02741898408952	100.26786856733274	112.70471244857774	86.19664842469076	125.94965492171436	87.85369665359488	102.31620328001372	119.97206518401822	77.7117315359681	74.05640789029613	134.46531750959184	91.47827460011206
ARHGAP31	105.5901691310138	101.22010781648231	93.18972305250387	117.4511420436398	121.12528220093527	61.42357575542494	77.84331524603752	133.24462215567573	88.9120625982868	103.05164318512045	126.19641197951982	70.75194483535978	113.00368106950442	96.88185675350685	90.11446217698877
SARS	101.11782536971707	98.68531769281591	100.19685693746705	102.84854533859409	116.75533640223652	80.39611825916937	87.08827640511115	92.26793309328444	120.64379050160443	99.40751575892148	99.26428701486952	101.328197226209	77.44716865581206	98.14565190199336	124.40717944219462
RANBP3	107.3102226470399	98.7018381471464	93.98793920581372	103.34047044385638	91.5777108061386	105.08181875000504	97.62717302305954	97.55481796062475	104.81800901631568	102.86759773089548	94.76684341207958	102.36555885702488	103.18529146070912	100.2539899400826	96.56071859920831
ARID4A	73.00865276580576	120.80465673115657	106.18669050303768	112.37283072159912	96.38619945140005	91.24096982700088	83.8394406257973	106.87302751694709	109.28753185725562	95.26178368862857	98.69932921311832	106.03888709825308	86.89223525663598	91.43220168043622	121.67556306292782
TSSC1	43.36429368509643	173.83359403727064	82.80211227763292	57.789613692708144	144.28421454587493	97.92617176141692	79.59924675164179	111.91585012424143	108.48490312411685	75.8816572832119	109.75159497290636	114.36674774388176	76.33129803310158	118.24472511847881	105.42397684841957
PNPLA6	142.48582450761603	109.19085887180442	48.32331662057955	82.71771865580712	109.75262115371869	107.5296601904742	80.80899176430518	121.31458657658013	97.87642165911474	97.9655160294008	116.1340740643109	85.90040990628832	95.27377651318828	130.68822063492175	74.03800285188997
IFT88	61.78534911123682	139.0006092236105	99.21404166515268	64.55221277762274	116.41974476494434	119.02804245743293	62.143485867983436	126.83679907837448	111.01971505364212	72.54141497759741	132.01021686181508	95.44836816058753	84.26113159357183	119.45663881884616	96.28222958758195
ALG1	115.76707072022892	115.89379629493597	68.3391329848351	109.14356006587067	117.99501856544946	72.86142136867987	103.1632686389925	98.34484673297077	98.49188462803671	101.22191520219368	135.50357904336985	63.27450575443644	91.97904637060856	132.456845580961	75.56410804843048
ZCCHC8	119.9674244612546	111.73412990883271	68.29844562991273	118.7705801614212	101.36059354709472	79.86882629148408	102.83813135272688	98.82111788854692	98.34075075872626	93.41204676998925	113.90804126546097	92.67991196454977	87.6021847556983	97.6695809103539	114.72823433394781
