	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
GTF2IRD1	55.87181521244139	123.27114285908391	120.85704192847466
PAF1	123.08514945396804	87.43203652293764	89.48281402309426
VPS41	69.19061221087506	142.85665284502207	87.95273494410286
ARHGAP44	92.58490742528804	88.20005668512091	119.21503588959108
ELAC2	142.9199076684827	76.53658939306077	80.54350293845653
SCIN	43.46274978447218	71.54563664529391	184.991613570234
PNPLA4	170.42617407784408	92.86409011896257	36.709735803193375
MYH13	0.0	250.77895015380545	49.221049846194546
ADIPOR2	65.35127896945588	146.6794219843115	87.96929904623259
CDKL3	154.91870244352288	100.01522840953014	45.06606914694695
PRSS21	4.919346245413205	2.968166810932026	292.11248694365486
MARK4	86.22834285669096	104.44941489656487	109.3222422467441
PROM1	77.60770850035425	97.97913093933138	124.41316056031435
CCDC124	102.40308151371585	87.30901431182475	110.28790417445944
PAFAH1B1	75.32952962766282	130.89132837232887	93.77914200000832
NOS2	251.67338694935006	44.43378523721976	3.8928278134301686
DNAH9	40.1348942377134	66.36169303793335	193.5034127243532
KIAA0100	91.4023453161813	99.4895270533726	109.10812763044608
SLC13A2	0.0	0.0	300.0
GAS7	88.05746262058717	116.7654278553242	95.17710952408862
TRAPPC6A	255.82349399723765	0.0	44.17650600276233
MATK	115.63627792137052	74.7476863662063	109.61603571242318
CD79B	165.99921080398906	62.506931539853525	71.49385765615737
SCN4A	100.18606535016713	80.13958532848011	119.67434932135284
ST7L	85.1650877789068	102.79746207399675	112.03745014709642
TKTL1	47.18845321699653	121.4639344068478	131.34761237615572
PAX6	108.8835628989703	105.20572238135242	85.91071471967729
RPUSD1	65.94521191828264	94.357022990767	139.69776509095038
RHBDF1	91.60564914495986	98.9300820762667	109.46426877877344
LUC7L	122.02829863765344	87.61228984767055	90.35941151467603
CACNA2D2	74.55424215794834	105.1829638080775	120.2627940339742
BAIAP3	95.99595076166442	50.83733183038489	153.16671740795073
