	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
PAX6	25.98795690508011	81.38741910259635	192.62462399232362
RPUSD1	170.22855225685097	67.46191223223111	62.30953551091791
RHBDF1	153.9227006750184	88.94001742237002	57.13728190261158
LUC7L	118.4822565038212	103.71220343119951	77.80554006497927
CACNA2D2	126.24120356062276	139.879504596741	33.879291842636235
BAIAP3	158.78047714554117	118.58062915941383	22.63889369504501
TSR3	174.4415501980245	71.84499838281094	53.71345141916456
PIGQ	121.35459126104875	124.46423515065077	54.181173588300425
CRAMP1L	75.07877872432236	132.9908702935103	91.93035098216734
TEAD3	125.62525144393739	102.64310115352208	71.73164740254053
SELE	287.41772187268083	11.849132168198235	0.7331459591209449
DNAJC11	86.51723420646627	124.54493035647378	88.93783543705996
