	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
NOS2	227.36868917370424	68.94821526209462	3.6830955642011496
DNAH9	98.21572267007784	76.18356375769753	125.60071357222459
KIAA0100	104.04810324396767	105.10983125572442	90.84206550030792
SLC13A2	40.09726982073333	163.65287528673517	96.24985489253149
GAS7	94.66587260261036	112.34698846832345	92.98713892906619
TRAPPC6A	168.52079253104736	0.0	131.47920746895267
MATK	128.2242500578891	61.668072399236564	110.10767754287431
CD79B	131.4347509592208	168.5652490407792	0.0
SCN4A	184.6236600864664	0.0	115.37633991353368
ST7L	83.07906846808682	109.37065416601432	107.55027736589888
TKTL1	25.462716609697384	21.894838518111328	252.64244487219133
PAX6	90.38408953978774	113.66713784739923	95.94877261281304
RPUSD1	94.09893339149255	85.49745260522667	120.40361400328077
RHBDF1	96.93465744936223	110.05454935359509	93.01079319704272
LUC7L	103.48060792318492	94.64195335392401	101.8774387228911
CACNA2D2	85.34565583515467	103.20554252266712	111.44880164217818
BAIAP3	157.0062320243063	42.857675729015234	100.13609224667843
TSR3	129.67103217752657	75.82680193436808	94.50216588810537
PIGQ	143.79899694752493	83.23884207708846	72.96216097538665
CRAMP1L	89.569838189221	109.87105542950424	100.55910638127479
TEAD3	112.43187335988092	136.51005316350358	51.05807347661552
SELE	234.50873838035227	54.34182189976787	11.149439719879886
DNAJC11	103.39059103468627	105.38305361287648	91.22635535243724
FMO3	81.41889399505187	3.8225130558315965	214.7585929491165
MYLIP	132.0943402135536	72.36415747923756	95.54150230720886
NOX1	197.24205705218364	102.75794294781635	0.0
PSMB1	85.44051931670472	85.28907758216234	129.2704031011329
SYN1	117.28000581140805	71.50644719439225	111.21354699419972
JARID2	84.60637294839893	107.61966518778772	107.77396186381338
CDKL5	102.96176069424105	111.64016546046741	85.39807384529158
CAMK1G	111.04848474220046	137.43821580042717	51.51329945737236
CDK11A	81.27599487945639	86.91419155231362	131.80981356823006
NADK	75.17786069952211	77.52260222694004	147.29953707353792
TFAP2B	152.9835492958038	56.72825077000625	90.28819993418993
DLEC1	54.603992308588886	222.51560626205932	22.88040142935187
CYTH3	94.10248747575048	96.31136122500791	109.58615129924158
ADAM22	97.79679552538236	113.34827852946634	88.85492594515131
SYPL1	87.7306828005525	119.79097205749514	92.47834514195236
CYB561	116.85316938999995	91.21313014024027	91.9337004697598
SPAG9	98.31582282341968	113.40407208259762	88.28010509398271
CELSR3	86.21705712623371	108.52934700832348	105.2535958654428
AASS	118.49505756319658	122.17070163610455	59.334240800698836
SS18L2	99.76905915391691	55.89034425157213	144.34059659451094
MPND	96.55704397082464	96.96618259757018	106.4767734316052
MGST1	187.50933167682624	27.69983152291123	84.79083680026247
CRY1	93.66062961637176	121.42359773723679	84.91577264639145
NFIX	107.5223336478163	83.27034621566986	109.20732013651384
ST3GAL1	72.52041874414415	104.80862317377313	122.67095808208272
MMP25	151.37790758769717	121.02705492598955	27.595037486313213
PKD1	123.01689884813536	100.59027678342692	76.39282436843777
MAPK8IP2	101.6395540671712	85.25215284479468	113.10829308803415
MED24	91.18187351206934	122.01950025902362	86.79862622890704
RHOBTB2	134.6287509306801	82.7556847942169	82.61556427510305
HEATR5B	104.5619379885603	93.06704400994367	102.37101800149604
SEC62	106.70860197190922	102.70309925146996	90.5882987766208
RPS20	138.053691277813	127.31456072136072	34.631748000826285
CSDE1	100.71236846402812	115.8555359368167	83.43209559915519
UBE3C	98.22356787452662	114.11115071152429	87.66528141394907
REV3L	111.0401164984512	132.1747614779319	56.78512202361689
TENM1	103.24528096294343	104.71634903741851	92.03836999963796
MASP2	78.37476926465912	122.63637840533492	98.98885233000594
FAM76A	112.87864413930878	106.18243866860561	80.93891719208561
TRAF3IP3	65.52304461952943	140.11342073559442	94.36353464487615
POMT2	103.06110259999465	95.60173077837479	101.33716662163057
VTA1	108.7543290806658	110.64232520475088	80.60334571458336
MLXIPL	148.67612088865886	100.1778519796517	51.1460271316894
BAZ1B	79.16383400896832	134.9696377069739	85.86652828405778
RANBP9	111.9343884122963	110.53258822591904	77.53302336178469
SPRTN	134.0366202755704	75.6944500183427	90.26892970608692
METTL13	140.3764771293675	90.42042691628062	69.20309595435191
DYRK4	126.41672727395492	136.90603424771822	36.67723847832683
ZNF207	109.92039305369998	114.10770692487162	75.97190002142843
UQCRC1	90.90077040169695	89.15451447907162	119.94471511923139
STARD3NL	96.32047373558447	115.73367890875623	87.9458473556593
CD9	98.99662412427107	115.89914521855391	85.10423065717498
NCAPD2	64.40114031681999	182.78683484741376	52.81202483576624
IFFO1	84.61170542270867	84.78987329513184	130.59842128215948
PHF7	131.7460995913691	24.895285715056108	143.35861469357476
