cP1	cP2	cP3	cP4	cP5	cP6
43.9357	38.4505	38.8631	39.443000000000005	22.3678	50.7527
9.25791	13.6413	39.8119	9.79538	10.0517	15.7551
2096.23	3018.25	3789.75	2230.69	2668.34	2464.91
13.5092	19.5073	25.8781	12.3144	0.0	11.265
85.2293	72.6197	74.3649	135.115	96.3484	110.359
0.7044819999999999	4.35975	3.85572	2.40815	2.818	4.1961
5.29023	8.18477	6.032109999999999	6.0279300000000005	0.0	1.57551
48.2734	60.7037	54.8922	46.7164	38.6196	52.7795
262.161	280.005	290.758	302.79900000000004	254.43099999999998	263.664
381.499	301.575	435.662	435.36	389.546	505.11300000000006
0.0	0.0	0.727874	0.9092120000000001	0.0	0.0
49.1042	58.7052	77.8775	41.9636	58.4801	47.8601
35.7288	35.0092	24.4435	32.5688	25.7254	40.4341
87.3592	91.574	97.0114	75.1966	98.7562	77.4848
10.4775	14.5039	23.8936	5.02674	7.9410300000000005	9.85372
479.161	418.969	390.31800000000004	577.432	542.6669999999999	493.287
128.264	81.6724	122.374	118.56	103.661	95.8871
32.132	27.6182	12.2127	18.3063	17.1375	35.0876
27.6608	19.3425	31.2191	21.9023	27.3802	23.4567
55.1066	45.4709	38.8736	41.8606	40.5594	39.3877
31.7689	29.225	25.8463	20.5453	31.5979	20.4567
43.9947	52.0507	35.4101	38.3344	55.9005	29.2874
241.046	195.278	210.612	218.88400000000001	201.707	194.732
19.462	20.0737	27.4365	11.088	26.1859	15.8075
25.5315	18.9604	16.7684	23.2733	21.2427	27.9814
71.3905	72.3076	66.2948	71.8185	67.919	64.3579
116.618	99.7699	107.20200000000001	89.6165	106.315	77.5378
133.171	105.53	165.92	131.385	126.02799999999999	129.621
233.761	228.9	344.14300000000003	225.898	264.541	246.745
43.148999999999994	59.9853	43.2104	38.4776	40.1483	35.1989
35.5903	41.763000000000005	43.0514	29.0924	39.2018	31.6442
4.07114	20.9955	22.2819	4.63884	6.51398	0.0
176.951	84.6328	63.4585	130.894	167.822	117.29700000000001
125.72	142.563	103.279	119.795	112.34200000000001	108.602
132.106	125.62799999999999	139.735	130.243	141.291	128.35299999999998
88.8661	107.413	482.57599999999996	85.4364	111.085	176.989
23.9752	9.51106	13.4584	33.6226	20.656	26.3636
222.98	266.998	220.544	229.737	242.635	217.793
61.4632	90.0877	85.5744	51.6039	69.8757	73.2185
40.6743	40.9295	63.7983	29.3902	44.0483	43.1354
4.945930000000001	0.0	0.0	0.0	0.0	0.0
91.1936	88.1811	83.1856	84.4268	36.4783	20.369
7.84863	12.142999999999999	32.2174	17.8861	21.9767	4.67486
107.895	100.9	149.599	75.4034	119.694	90.8283
4.43485	2.0329900000000003	1.34847	2.80737	2.36531	1.76101
352.161	305.291	254.23	354.494	343.959	285.681
53.8295	33.4762	13.7199	31.5699	41.1647	22.6323
68.3215	106.368	186.378	97.6779	98.4885	66.7999
