cK1	cK2	cK3	cK4	cK5	cK6
174.125	873.623	709.072	526.33	168.59	480.091
8.52522	5.96085	11.8376	7.60002	7.1916199999999995	3.12137
0.0	0.0	0.0	0.0	0.0	0.0
5.14806	4.9493599999999995	0.0	5.60922	0.0	0.0
1.6726900000000002	9.64874	3.9305199999999996	7.2901	8.62295	3.36835
0.317639	0.9161370000000001	0.0	0.346093	0.327496	1.27928
28.9511	24.2804	25.3303	22.8194	26.6739	28.5297
0.0	0.6255569999999999	0.764483	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
14.1267	18.1085	27.6627	12.8268	31.5575	18.9649
85.2464	62.8595	61.2611	44.187	74.6652	62.4989
167.957	181.90099999999998	147.407	153.237	157.52100000000002	254.68400000000003
5.58188	22.0971	3.08623	5.36639	2.70828	5.289619999999999
7.60221	5.40214	5.4368300000000005	5.4021	5.79338	4.65921
94.7113	99.6458	88.1823	75.9364	75.5408	118.75200000000001
101.87100000000001	82.676	80.0523	88.6534	62.0646	54.6157
55.8405	26.3798	23.7545	25.7008	31.2682	19.3876
72.8982	45.4251	72.9603	64.7195	69.5928	76.1173
24.0658	2.20352	0.0	3.74595	3.54466	107.309
207.864	193.373	167.55700000000002	134.864	67.9701	69.0865
18.0338	20.6401	16.1433	28.0704	9.73939	57.0668
110.665	84.8062	112.12	57.6677	51.2617	43.6009
0.0	0.0	0.0	0.0	0.0	0.0
1.05029	0.0	0.0	0.0	0.0	0.0
442.11699999999996	610.918	765.211	719.9939999999999	934.546	692.461
2.7184	0.0	3.19389	1.48096	5.60551	0.0
23.5724	17.5635	15.2325	19.584	11.2405	16.614
12.8337	8.35822	12.1601	5.863980000000001	5.9757	5.002
26.2909	10.5317	3.86119	8.355089999999999	4.51778	4.4119
479.657	592.899	523.302	597.286	812.46	689.93
90.0818	120.904	137.275	110.785	119.545	70.0459
122.77600000000001	56.104	86.3726	47.8945	35.1627	33.5756
0.0	0.0	0.0	0.0	0.0	0.0
4.77222	6.88203	4.48555	6.23966	4.67428	3.8439900000000002
83.926	23.4252	21.2055	37.3643	13.9565	14.538
19.6279	7.15769	6.75927	6.63707	4.88477	12.9479
531.0740000000001	502.16	637.68	591.366	365.537	373.13
91.9428	57.0284	81.8898	53.3211	68.8034	23.8901
102.37299999999999	119.12899999999999	128.616	92.7689	95.6217	104.60700000000001
1.46545	0.704444	1.7217799999999999	2.66121	1.51092	0.491838
30.8667	45.3151	53.4185	24.0876	24.9436	26.8789
15.0796	7.248760000000001	6.89001	3.6512	7.773739999999999	1.68701
90.325	86.8387	88.4367	114.819	170.734	121.26100000000001
62.7809	149.582	134.696	113.01700000000001	54.8789	63.211999999999996
70.008	453.02	436.57599999999996	484.08099999999996	408.097	206.044
75.9905	63.3164	56.5454	48.2987	65.9433	118.594
67.5902	30.0539	46.6549	36.8225	25.2617	28.9231
67.7438	48.5883	65.6959	44.5217	54.3246	58.4649
1.98187	1.90537	0.776174	0.719801	5.44897	3.99095
64.6521	43.6714	42.6396	44.2564	24.2844	25.1673
0.911537	6.13448	5.35489	2.97958	0.0	1.83559
121.749	134.16299999999998	161.44899999999998	130.329	121.12299999999999	115.417
34.3289	44.3195	55.3144	27.7859	20.2252	17.7761
35.3226	23.4481	34.3866	25.4746	21.6778	19.9843
507.91900000000004	468.49699999999996	477.602	565.0980000000001	354.504	614.3530000000001
4633.05	3880.39	4412.9	5115.49	4923.15	5474.71
1129.4	1006.59	997.7230000000001	904.372	709.431	1082.53
100.361	94.4199	110.335	94.51100000000001	82.4108	86.6146
37.0658	31.0956	28.7091	23.6658	17.039	26.6234
5.23692	12.4611	12.6135	9.55763	6.6143	12.3913
0.0	0.0	0.0	0.0	0.0	0.0
11.5649	9.18486	8.27081	10.4094	10.3685	3.03765
27.5993	100.24	84.67	38.4249	18.9705	74.1036
31.3127	33.5776	24.0548	20.9955	16.1422	16.9765
27.8387	12.7448	7.00886	15.1662	12.9845	5.33902
20.779	28.9462	35.8729	16.6338	25.796	13.6632
75.815	97.1849	118.76799999999999	66.6649	61.7112	107.13799999999999
61.0805	275.998	233.234	238.47799999999998	122.803	133.25
121.77799999999999	117.07799999999999	126.164	107.744	82.0012	102.179
121.676	125.73700000000001	110.85	114.14200000000001	101.3	145.441
28.2475	21.2535	23.0876	18.7344	18.9939	12.3659
37.2405	48.2148	61.256	43.2816	45.0514	27.9972
59.1766	54.0479	52.8408	48.3583	60.4028	27.4082
413.81199999999995	327.995	393.306	291.01599999999996	371.577	404.462
595.1030000000001	756.877	735.948	654.0930000000001	657.34	680.931
102.971	65.9974	95.5117	98.4164	78.2274	90.9454
1184.41	725.8919999999999	933.405	861.092	842.622	806.1669999999999
82.5887	57.9412	59.3353	63.2341	46.8908	48.8822
26.5484	31.2666	30.4123	30.373	30.1095	21.3846
3.5150099999999997	3.37934	4.12983	2.55326	2.41605	2.35943
115.456	25.5352	37.5748	46.6579	46.945	31.6547
160.531	113.431	121.819	120.76299999999999	110.956	129.595
76.1843	62.4765	46.7856	103.34700000000001	106.48899999999999	11.4156
57.4704	75.4405	70.1198	63.8229	33.0454	75.6698
24.1532	194.739	183.167	169.265	39.6179	75.1681
293.76099999999997	187.418	254.372	170.31599999999997	175.983	231.55700000000002
88.5919	37.7346	32.9392	47.6531	33.5302	18.0659
52.2934	53.2324	59.6332	60.3296	53.9161	99.1108
7.0176	3.9356	1.37418	8.283430000000001	3.01473	0.0
45.0128	20.0545	15.4789	22.7282	21.5069	13.265
69.715	79.1623	114.15700000000001	59.213	109.79799999999999	93.9601
74.9195	45.1603	42.6148	67.3778	57.0136	95.7893
78.3257	50.2016	64.7589	68.4844	96.2095	137.281
200.04	441.314	259.155	256.211	13.6588	580.232
97.7363	109.55	128.437	113.053	98.3812	93.2773
71.1815	101.225	134.16	106.64200000000001	140.665	89.588
30.7413	31.0704	29.6356	17.6064	16.6603	14.2857
116.73	22.8849	26.3538	19.2026	9.91133	15.2099
432.13199999999995	519.315	650.0319999999999	535.048	607.556	451.58099999999996
0.0	0.0	0.638253	0.0	0.0	0.0
222.27599999999998	145.314	182.80900000000003	167.11	169.58900000000003	85.0451
77.4467	51.6338	70.4169	54.7015	49.3545	54.0756
81.1206	103.791	117.525	75.7607	123.885	88.4331
44.1906	43.1702	46.8956	23.298000000000002	19.8414	20.0941
77.3378	93.9736	138.822	121.71700000000001	115.177	110.314
219.261	233.64700000000002	182.851	206.325	162.04	155.92600000000002
27.9053	19.7682	22.4327	16.0027	12.1142	11.8303
23.7373	28.5264	31.8734	29.5585	25.3479	22.1932
77.4145	81.0992	71.5097	64.5709	72.6607	56.9814
543.315	534.609	583.683	464.43	468.875	438.241
1.3481299999999998	0.0	3.16788	1.4689	0.0	0.0
11.0534	8.85561	12.2653	4.01451	3.16566	4.94635
55.2852	58.0172	59.0087	54.2987	34.5215	42.3366
80.0684	60.7179	64.64399999999999	55.0504	34.8753	55.6137
64.2107	19.4944	39.7063	11.0467	146.344	156.525
4.73836	1.13887	1.0438399999999999	2.90409	0.30533699999999997	3.57818
123.89200000000001	107.962	121.899	99.7464	91.8694	68.8235
87.4969	58.323	78.1289	54.6587	53.3253	61.8642
3207.8	1420.65	2337.44	2121.2	711.8560000000001	916.8389999999999
30.6187	23.5495	61.1563	40.0338	41.0394	12.3316
130.491	142.5	153.316	118.999	95.0556	81.4029
69.8188	43.8887	28.3954	58.5179	24.918000000000003	21.6303
51.4699	66.9014	44.9917	47.5564	29.293000000000003	38.141999999999996
0.0	7.894430000000001	0.0	0.0	2.11654	0.0
137.208	86.4252	44.4711	108.258	117.075	9.527610000000001
136.82	150.33100000000002	145.442	198.769	137.707	170.56
0.0	0.0	0.0	0.0	0.0	0.0
2.45428	2.7528099999999998	0.480595	3.56552	0.8434799999999999	0.0
258.258	232.77200000000002	263.395	171.96200000000002	255.17700000000002	263.643
3.2856300000000003	2.52705	0.0	1.43198	0.677517	0.0
176.56400000000002	250.50900000000001	272.197	198.794	457.866	272.591
32.9782	29.2665	22.8506	30.4044	18.3085	11.9196
27.3233	26.2687	26.2657	14.8855	21.7686	12.505
146.511	438.913	1233.17	1732.56	5516.95	57.3958
68.3837	46.4077	60.6526	51.13399999999999	37.3266	39.1519
33.6693	60.2966	86.8737	88.4767	155.192	136.93200000000002
100.51100000000001	69.7014	129.707	52.0644	79.8459	139.359
13.0212	11.4301	5.32132	20.9731	23.932	1.14006
211.769	174.77599999999998	163.033	217.57	188.929	182.06799999999998
58.927	65.3078	87.5043	51.7213	41.3475	62.628
39.8569	36.7545	30.5818	34.1214	33.1265	28.6647
131.028	89.2557	97.4738	142.766	78.0694	63.6437
206.78	290.362	402.227	325.335	403.39300000000003	302.366
43.5329	61.0557	45.7318	95.4233	49.1081	35.0655
0.896324	2.58518	0.526552	0.0	0.0	0.0
