cM1	cM2	cM3	cM4	cM5	cM6
29.9987	65.1908	31.3573	74.6353	23.9663	32.7981
23.6738	38.9742	37.6569	31.1486	14.776	32.3537
44.5411	72.4115	56.3002	71.2579	35.4454	50.7266
841.25	752.0930000000001	576.443	533.109	704.7230000000001	359.543
64.6033	72.3743	137.493	72.3736	56.6476	192.73
2.4201099999999998	0.478108	1.9797799999999999	0.0	0.7250439999999999	0.0
182.785	212.035	131.569	202.71	166.709	162.684
12.6894	1.3194	0.910576	0.9586180000000001	0.0	0.0
285.345	318.959	308.32	352.291	456.347	274.473
52.4598	62.4664	25.4746	34.039	61.3589	17.678
9.98231	11.0777	9.91352	12.2055	5.90738	9.93697
160.697	184.393	171.324	224.58700000000002	170.13099999999997	227.872
3298.53	3345.14	4002.83	3291.61	3363.27	3090.31
5990.21	5030.27	5805.23	8164.84	7513.74	6098.72
251.84799999999998	249.28900000000002	229.87099999999998	159.44799999999998	247.833	196.678
27.3302	32.293	61.2002	48.0425	47.6763	44.5608
0.9592430000000001	0.0947521	0.26156999999999997	0.275371	0.431071	0.13109500000000002
8.72127	8.10795	3.4972800000000004	3.6818	8.45323	0.7011109999999999
14.3678	9.4615	5.5252099999999995	13.2198	8.82969	7.048719999999999
0.0	0.0	0.0	0.0	0.0	0.0
26.4716	27.8914	26.4674	70.9261	23.791999999999998	24.1182
3.88509	2.39851	2.64851	3.4853	1.45492	1.99108
25.7881	35.9077	58.4587	181.953	24.666999999999998	255.61900000000003
195.87900000000002	161.719	147.484	243.389	186.854	197.111
12.6798	36.101	249.149	63.1647	51.3949	187.55900000000003
157.179	159.529	175.166	202.52599999999998	149.71200000000002	133.28
253.62099999999998	260.882	250.24400000000003	422.884	245.658	369.414
24.2956	26.6653	33.1252	29.7065	29.6542	75.0154
38.1993	46.3571	44.6414	50.652	31.0628	37.7864
15.1751	13.7048	15.3697	26.1379	20.7832	13.0359
280.22900000000004	312.372	295.268	322.082	218.093	495.655
1446.12	1443.0	1897.26	1134.97	2032.98	1202.95
29.1188	47.0667	23.4598	53.1946	43.6187	52.4571
57.7512	72.0575	62.1625	85.0748	36.4248	49.8477
47.0185	45.4343	44.038000000000004	86.561	80.2309	51.1268
84.6136	51.3967	57.681999999999995	31.4096	99.7955	11.9624
0.858454	1.69593	0.0	0.0	1.28593	1.1732
16.283	28.2451	21.1176	33.0626	10.7083	83.5848
34.3159	44.7642	51.43	92.1191	32.9612	49.4037
17.1203	37.1245	20.0274	28.936	28.984	18.1365
23.4829	30.3947	36.4332	72.0616	25.4725	40.946
0.8043859999999999	1.58911	2.1934299999999998	1.15458	0.0	1.09931
332.39099999999996	281.518	224.351	319.32599999999996	384.522	215.886
8.21636	9.73915	2.24047	2.35868	2.46155	10.106
57.4712	83.4838	53.7747	129.399	54.0169	72.3826
1.7138799999999998	2.11617	1.75255	1.23001	1.28366	2.9278299999999997
1.60877	3.17823	2.1934299999999998	3.46374	0.0	1.09931
80.4386	95.7441	97.0594	104.48899999999999	106.637	102.786
37.0301	24.9589	23.7589	42.5211	16.3146	29.7689
211.83700000000002	175.657	96.1134	182.53900000000002	144.334	185.90400000000002
