cV1	cV2	cV3	cV4	cV5	cV6
3.15878	0.6299819999999999	2.1122099999999997	1.36419	2.89331	2.6479
0.0	0.0	0.0	0.0	0.0	0.0
389.92199999999997	487.923	494.306	532.085	464.642	456.452
268.421	194.523	172.84	255.092	225.922	232.332
561.118	582.068	630.419	665.2719999999999	878.732	836.923
0.0	0.0	0.0	0.0	0.0	0.0
55.913999999999994	45.2051	61.8451	73.4166	79.7723	89.678
324.978	321.274	348.45599999999996	332.221	382.339	381.575
66.8336	50.9645	53.1609	60.6983	65.2034	76.3124
61.9167	55.132	46.2118	53.5477	70.2161	52.3941
98.3319	129.046	167.338	140.694	178.331	133.946
317.982	254.512	231.21900000000002	241.753	229.732	211.65200000000002
185.233	234.25799999999998	210.915	184.0	234.702	241.96099999999998
189.2	226.13099999999997	190.64	218.907	219.06799999999998	278.145
85.6339	94.3865	85.1086	146.32299999999998	86.5567	79.4564
175.775	165.12	177.157	178.229	178.002	165.764
62.4875	76.6853	42.2484	86.5369	35.6089	19.5774
170.327	143.857	130.863	134.023	131.69799999999998	189.831
18.812	15.2418	13.6275	34.1055	18.0002	12.8127
31.1349	19.3736	27.6665	31.4643	13.7702	13.5716
345.425	360.769	378.722	376.884	406.095	350.62800000000004
12.5309	12.8924	8.64514	23.4508	7.10527	4.87695
334.006	285.332	255.668	343.16	216.132	242.567
33.9705	42.1229	35.6642	37.3151	22.6119	42.2501
30.0378	35.6712	32.7697	29.9269	28.3051	29.730999999999998
96.6972	63.7109	88.7733	142.441	70.0295	88.682
0.604445	1.0447600000000001	2.91908	0.565592	2.0564	0.823363
103.38799999999999	100.84	99.8597	87.0685	124.365	92.5478
63.9333	98.8742	73.6682	85.0128	67.7331	71.81
76.1651	74.2137	64.1896	75.4617	69.8616	64.0812
44.0168	50.9824	44.2677	50.9536	54.8056	40.1786
35.0748	0.0	9.67933	0.0	8.52347	0.0
19.7301	10.3791	15.7425	16.8565	7.2960899999999995	18.6963
8.703619999999999	24.0702	36.9889	131.935	11.8443	2.37118
105.51899999999999	93.1199	71.0555	91.0882	87.8514	71.8682
159.736	143.516	178.725	139.109	131.825	131.415
84.4087	101.365	93.3778	100.10600000000001	78.888	95.5937
32.2176	37.5282	51.4123	41.9432	45.8687	33.3916
