cC1	cC2	cC3	cC4	cC5	cC6
194.13299999999998	207.183	179.17	190.518	168.524	187.65400000000002
121.891	91.5348	136.32	98.1283	106.87	97.9164
18.4496	19.4284	19.3751	8.54192	20.7237	10.6837
0.0	0.0	0.0	0.0	0.0	0.0
138.19799999999998	107.875	55.4972	73.4013	131.217	134.116
47.8377	35.2076	50.3134	55.8979	65.4282	45.5957
20.2241	46.3074	21.8379	23.6316	32.8575	20.9897
133.17700000000002	84.4025	141.937	106.214	141.303	131.872
525.293	450.434	589.289	558.599	623.012	626.615
5.38434	3.8526800000000003	2.37845	5.24295	4.68631	1.19746
9.37247	6.15405	4.87076	7.08635	6.334	3.67838
907.012	764.332	767.6489999999999	805.54	889.913	871.193
545.438	408.89599999999996	476.50199999999995	604.45	588.742	568.4540000000001
154.786	136.732	199.48	186.42	210.69	163.332
27.011999999999997	23.1937	33.2654	34.4327	33.3418	25.1219
59.3781	52.7925	53.946999999999996	52.3241	59.523999999999994	54.508
402.55199999999996	399.416	376.92	431.783	403.189	441.664
1357.68	1570.0	1140.44	2108.15	1887.5	1835.99
845.186	774.5219999999999	834.508	892.929	925.046	846.6469999999999
109.48100000000001	93.235	107.559	117.44200000000001	116.53299999999999	91.4063
93.7848	91.1857	121.586	104.291	83.2386	91.3611
72.0035	58.5417	118.538	97.0302	71.437	92.2897
0.0	0.0	0.0	0.0	0.0	0.0
97.354	95.8429	117.89200000000001	88.7502	121.84	87.9117
0.0	0.0	0.0	0.0	0.0	0.0
23.1167	32.7941	25.7507	17.6163	18.8952	26.8232
3.87212	4.74967	1.9548	2.58545	3.4664300000000003	2.9525200000000003
26.8964	24.006	20.6356	19.0223	21.8079	18.4173
108.78200000000001	101.03	103.95100000000001	138.785	108.978	102.20299999999999
118.941	122.553	88.568	102.25	119.789	109.965
220.78799999999998	185.18099999999998	162.869	194.24	202.005	197.9
135.211	114.23299999999999	121.374	118.65299999999999	137.816	118.109
18.4492	18.4815	14.4883	13.1741	8.56396	21.8829
53.8703	44.4763	38.0742	48.4207	60.1591	48.1068
27.656	22.8986	31.8505	25.9681	23.7269	23.0649
307.305	254.678	232.635	244.482	235.908	268.087
331.92400000000004	294.611	279.51599999999996	444.50199999999995	396.66	426.325
85.934	91.9096	81.2478	86.32	129.11700000000002	84.493
77.8986	194.71599999999998	62.7037	82.9328	39.7759	69.2978
71.2529	71.5775	95.8647	62.5797	98.0091	53.1322
107.45700000000001	103.681	110.105	101.615	115.70200000000001	118.258
0.0	1.6791900000000002	4.31935	3.4277	1.02126	1.3047799999999998
17.6423	38.0653	94.3179	55.5015	62.838	14.4871
503.361	811.637	678.2589999999999	688.932	949.237	580.899
5.07713	9.016119999999999	7.441839999999999	10.9213	5.42324	4.92716
47.9619	46.7259	47.2621	80.8313	65.5062	57.8458
4.12303	7.080430000000001	7.6898800000000005	8.029539999999999	5.26317	4.89041
641.758	713.2639999999999	866.3580000000001	650.896	628.773	577.238
5.61527	6.42868	9.92184	8.748510000000001	5.86477	12.4882
124.507	88.1704	74.8438	149.984	138.082	135.31
1.46413	5.02867	0.0	2.2811	1.52919	2.6049599999999997
3.6649199999999995	3.1468599999999998	3.2378400000000003	2.14121	0.0	3.66781
59.0968	55.4633	79.7319	47.6419	53.1102	58.6849
244.638	206.222	206.924	260.344	259.135	246.32
289.711	219.65599999999998	295.52	328.152	307.64099999999996	298.824
0.0	0.0	0.0	0.0	0.0	0.0
92.7762	79.9936	96.9919	73.6272	94.4761	82.5328
40.8406	18.0651	27.3344	37.599000000000004	41.3627	26.4228
66.1113	59.0254	70.9025	50.7316	74.2018	48.7174
4.584309999999999	9.020660000000001	6.75017	4.01754	5.18701	5.0977
193.97799999999998	193.53599999999997	156.891	311.26	229.705	271.601
1.3600700000000001	1.16781	0.0	1.05948	32.198	0.0
276.39599999999996	232.547	216.327	210.253	306.11400000000003	274.757
40.9235	36.2542	37.5894	34.1562	32.5652	35.5383
