ENSEMBL ID	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000008988	-0.9874900327863818	-1.2482618245875434	-3.742932400114195
ENSG00000009307	-1.7996447895203063	-1.4833454453441433	-1.4937181082723006
ENSG00000009335	-1.9688087744969966	-1.486996379923359	-1.3666837490039423
ENSG00000009413	-1.6534564487565253	-1.2299756367973935	-1.9669248531493773
ENSG00000009694	-1.8268579333715853	-1.793080177713987	-1.2190455202607533
ENSG00000009709	-1.770536720513162	-0.5004212922183252	-inf
ENSG00000009724	-2.0973728927051454	-1.4828254099214588	-1.2914889556417595
ENSG00000009765			
ENSG00000009780	-1.672703153829065	-1.66748742890261	-1.4284346376201675
ENSG00000009790	-2.251690118331476	-1.094104065091666	-1.6366826867877609
ENSG00000009830	-1.4816334614757227	-1.819186694400463	-1.4798094246512803
ENSG00000009844	-2.037381006594257	-1.392445174681307	-1.4132082192953783
ENSG00000009950	-1.035987770573539	-0.9950784596694339	-6.558493167924733
ENSG00000009954	-2.0068412719048854	-1.3554162681718902	-1.472486586770559
ENSG00000010017	-1.6778620189408036	-1.4412014670124365	-1.647494372466507
ENSG00000010072	-1.6126334402862113	-1.7159601723541251	-1.4398752289213914
ENSG00000010165	-1.3811026363146197	-1.730433368943076	-1.667889812961225
ENSG00000010219	-1.0908135686503273	-1.1649930468503302	-3.5642724069891685
ENSG00000010244	-1.706490938045857	-1.4653554476264683	-1.5931400331222179
ENSG00000010256	-1.7674720309080445	-1.5930754516161088	-1.41575736604702
ENSG00000010270	-1.7369750034301799	-1.3776555812053521	-1.665851493325575
ENSG00000010278	-1.0525752989001633	-1.4792750448837295	-2.6508685066446573
ENSG00000010292	-1.920905678427376	-0.9629495160887677	-2.165503617864269
ENSG00000010295	-1.863987752683706	-1.750736735122485	-1.2238652868925952
ENSG00000010318	-1.6279384702360684	-3.104835175961822	-0.8359580652839387
ENSG00000010319	-1.1851001364642306	-1.5285827392559772	-2.227095594764119
ENSG00000010322	-1.8886163880614395	-1.7491964178832153	-1.2093392557268374
ENSG00000010327	-2.7352264307248206	-0.9546794184461082	-1.5826725739578633
ENSG00000010361	-1.4332488753138033	-1.6393292104948676	-1.695730829868708
ENSG00000010379	-1.0962035670369397	-1.7504102406076774	-2.0890401795767506
ENSG00000010404	-1.9412489155812442	-1.3579495004002615	-1.5167484291793378
ENSG00000010610	-1.9071787754829697	-1.1527220861037182	-1.8180155996707141
ENSG00000010626	-1.4816087745033653	-0.7096853016018667	-5.037071911520317
ENSG00000010671	-1.6349919391133838	-0.6519362059151624	-4.587196896809488
ENSG00000010704	-2.9602647335467167	-3.3893634283835454	-0.3657300583653905
ENSG00000010803	-1.5052726886828285	-1.5261676198636704	-1.734380880845657
ENSG00000010810	-1.5038220366470727	-1.6200427886826338	-1.6346156266397593
ENSG00000010818	-2.1777305924099304	-1.6340748902724964	-1.1303657144336294
ENSG00000010932	-inf	-0.8086282879978489	-1.2206963465049887
ENSG00000011007	-1.968910886541581	-1.4933012559707657	-1.360840574722984
ENSG00000011009	-2.328893934828776	-1.775313384862629	-0.974737288493167
ENSG00000011021	-1.8538572092097456	-1.499715640306181	-1.4354747253838949
ENSG00000011028	-2.00819959143325	-2.294923612692129	-0.8687055948855498
ENSG00000011052	-1.2267079732097654	-2.2812303541604555	-1.4462014523189892
ENSG00000011083	-1.5938266273118458	-1.5799869899539285	-1.5811147855510985
ENSG00000011105	-2.3472464665944273	-2.211867152858712	-0.7670335770609068
ENSG00000011114	-1.689428540355658	-1.5734847652719754	-1.4983643548498324
ENSG00000011132	-1.814519133994262	-1.1569773525097882	-1.9037387248597577
ENSG00000011143	-2.425930282705995	-1.3296367917673733	-1.2651990720560613
ENSG00000011198	-1.7091225747859422	-1.299544428961092	-1.7963627505788735
ENSG00000011243	-1.7285314940052945	-1.583669209851118	-1.4555788683370798
ENSG00000011258	-2.241096248083838	-1.6237045117231388	-1.1078862630009658
ENSG00000011260	-1.171396078455613	-3.2109015320387226	-1.1584008049953198
ENSG00000011275	-1.894555228649237	-1.2772580894556098	-1.650795043719165
ENSG00000011304	-1.425849937598857	-1.3348331066444918	-2.1117758701429765
ENSG00000011332	-1.9076893616831068	-1.1011381286845452	-1.9032937983083467
ENSG00000011347	-2.0359568300087783	-1.5935591257012849	-1.2351414730096417
ENSG00000011376	-1.4379618099396076	-1.3997046962407613	-1.9890488163888924
ENSG00000011405	-1.5115777764143012	-1.5686828531762238	-1.679658474155228
ENSG00000011422	-1.428818864243137	-1.3809761663515052	-2.0314669619528205
ENSG00000011426	-1.0015230479798805	-1.4870546237408602	-2.7979903292864634
ENSG00000011451	-1.4590388033070512	-1.6153132296617483	-1.6902625020226971
ENSG00000011454	-1.8168657010206342	-1.4999473898346083	-1.4635620216521945
ENSG00000011465	-1.6658408001671592	-1.208131629617221	-1.9884437568365976
ENSG00000011478	-0.9862266220090986	-2.0787499197935424	-1.95185191748967
ENSG00000011485	-1.809025821688029	-1.3829882140698626	-1.594257508942004
ENSG00000011523	-1.978572449726864	-1.2370051216050542	-1.634837243227569
ENSG00000011566	-2.080634337703062	-1.540086244504644	-1.2524848643675386
ENSG00000011590	-4.967801844935709	-2.2982834109744723	-0.3869590178107826
ENSG00000011600	-2.2404001451079694	-0.5227656990309623	-3.436960603233472
ENSG00000011638	-0.8994881214375217	-1.8228618872404656	-2.463840456988734
