ENSEMBL ID	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
ENSG00000005022	-1.4541843266752739	-1.9120091440124762	-1.437070784063366
ENSG00000005059	-1.3702633548112217	-1.1365378411649345	-2.658997476188435
ENSG00000005073	-2.8695873760791275	-1.4565124417895223	-1.0034629791455412
ENSG00000005075	-2.388119914455723	-1.7966972549160574	-0.9402680469042615
ENSG00000005100	-1.4937515875147291	-1.4033613133766258	-1.9058195238555666
ENSG00000005102	-0.16360008614726473	-3.221548082590922	-inf
ENSG00000005108	-1.1235698201207442	-1.728369924443248	-2.0634063130926523
ENSG00000005156	-1.435185123001169	-1.460378756388815	-1.9061539368543945
ENSG00000005175	-1.639983143112609	-1.4710255107681487	-1.651024399823123
ENSG00000005187	-1.8056319967598182	-1.4702515879538243	-1.50215796499046
ENSG00000005189	-1.8208993009399541	-1.474259373750554	-1.4858528784135845
ENSG00000005194	-1.6879002968416825	-1.6382613097194179	-1.4407400766514413
ENSG00000005206	-1.421219731072621	-2.1119649268714533	-1.339083136580585
ENSG00000005238	-1.515651642608616	-1.4165755913304428	-1.8590322731085467
ENSG00000005243	-1.77408508529564	-1.9901267532946996	-1.1331994295209946
ENSG00000005249	-1.7979483918296069	-0.8812995230671541	-2.5603148961391717
ENSG00000005302	-1.7518729358914191	-1.3499519693532123	-1.6860398883664047
ENSG00000005339	-1.5287120969861867	-1.6048969390392909	-1.623024237651801
ENSG00000005379	-1.4905232951646763	-1.5770948022762545	-1.6945059833086307
ENSG00000005381	-2.7858635746241545	-0.22600564554528405	-inf
ENSG00000005421	-0.32569871735458317	-inf	-2.3069433878931065
ENSG00000005436	-1.056723614842424	-1.5091723901605278	-2.573769547476446
ENSG00000005448	-1.8915462895310071	-2.18377195526983	-0.9703494429954752
ENSG00000005469	-2.55278000583336	-2.0935012370805457	-0.7484024833298923
ENSG00000005471	-0.8274770857884101	-3.259044323728332	-1.590610094279984
ENSG00000005483	-1.5853885404423056	-1.6238987339532835	-1.5466346747248991
ENSG00000005486	-1.0614496330202043	-1.4660816744385647	-2.6539398440901865
ENSG00000005513	-0.9338178388356015	-2.3433385833455014	-1.8392089868398507
ENSG00000005700	-2.02733352673403	-1.3593623528211947	-1.4542789462279315
ENSG00000005810	-1.8355061785749889	-1.6524369588126653	-1.315793716657461
ENSG00000005812	-1.7102563887509117	-1.4841622659760998	-1.5694440656650561
ENSG00000005844	-1.8369039087057941	-0.7234019479187842	-3.1277077268222735
ENSG00000005882	-1.5667118543560683	-1.7799550017134174	-1.4296124283262213
ENSG00000005884	-1.3494301789121215	-1.7988734181022257	-1.6431618360469489
ENSG00000005889	-1.8850606494127573	-1.420380785145934	-1.4914539785211034
ENSG00000005893	-1.4376748202490202	-1.7510945830897133	-1.583108816787649
ENSG00000005955	-1.4908868844922933	-1.4515757275649344	-1.8438137773527359
ENSG00000005961	-0.36356358409244127	-2.7125298895675845	-3.832480075354926
ENSG00000005981	-1.328686557598231	-0.7324774778262935	-inf
